id,name,organization:party,organization:affiliation,organization:list,
2014-577294-1-902-7,Faistaver Zdeněk,nk_party,bezpp_affiliation,902_list,
2014-577294-1-902-3,Farský David,nk_party,bezpp_affiliation,902_list,
2014-577294-1-53-14,Chuchlík Josef,ods_party,bezpp_affiliation,53_list,
2014-577294-1-1-1,Janata Pavel,kdu-csl_party,bezpp_affiliation,1_list,
2014-577294-1-901-7,Janata Pavel,nk_party,bezpp_affiliation,901_list,
2014-577294-1-902-1,Janatová Irena,nk_party,bezpp_affiliation,902_list,
2014-577294-1-902-4,Jiříček Karel,nk_party,bezpp_affiliation,902_list,
2014-577294-1-902-2,Kříž Vítězslav Ing.,nk_party,bezpp_affiliation,902_list,
2014-577294-1-53-15,Mach Stanislav,ods_party,bezpp_affiliation,53_list,
2014-577294-1-1-2,Malík Martin MUDr.,kdu-csl_party,bezpp_affiliation,1_list,
2014-577294-1-1-15,Maťátko Jiří Ing.,kdu-csl_party,bezpp_affiliation,1_list,
2014-577294-1-53-1,Šimůnek Jan Ing.,ods_party,bezpp_affiliation,53_list,
2014-577294-1-1-4,Šimůnek Pavel Bc.,kdu-csl_party,bezpp_affiliation,1_list,
2014-577294-1-53-2,Šlechta Vít MUDr.,ods_party,ods_affiliation,53_list,
2014-577294-1-902-6,Vejnar Pavel,nk_party,bezpp_affiliation,902_list,
