vote_event_id,voter_id,option,group_id,
1001,2014-577294-1-902-7,yes,nk_party,
1001,2014-577294-1-902-3,yes,nk_party,
1001,2014-577294-1-53-14,yes,ods_party,
1001,2014-577294-1-1-1,yes,kdu-csl_party,
1001,2014-577294-1-901-7,yes,nk_party,
1001,2014-577294-1-902-1,yes,nk_party,
1001,2014-577294-1-902-4,yes,nk_party,
1001,2014-577294-1-902-2,yes,nk_party,
1001,2014-577294-1-53-15,yes,ods_party,
1001,2014-577294-1-1-2,yes,kdu-csl_party,
1001,2014-577294-1-1-15,yes,kdu-csl_party,
1001,2014-577294-1-53-1,yes,ods_party,
1001,2014-577294-1-1-4,yes,kdu-csl_party,
1001,2014-577294-1-53-2,yes,ods_party,
1001,2014-577294-1-902-6,yes,nk_party,
1002,2014-577294-1-902-7,yes,nk_party,
1002,2014-577294-1-902-3,yes,nk_party,
1002,2014-577294-1-53-14,yes,ods_party,
1002,2014-577294-1-1-1,yes,kdu-csl_party,
1002,2014-577294-1-901-7,yes,nk_party,
1002,2014-577294-1-902-1,yes,nk_party,
1002,2014-577294-1-902-4,yes,nk_party,
1002,2014-577294-1-902-2,yes,nk_party,
1002,2014-577294-1-53-15,yes,ods_party,
1002,2014-577294-1-1-2,yes,kdu-csl_party,
1002,2014-577294-1-1-15,yes,kdu-csl_party,
1002,2014-577294-1-53-1,yes,ods_party,
1002,2014-577294-1-1-4,yes,kdu-csl_party,
1002,2014-577294-1-53-2,yes,ods_party,
1002,2014-577294-1-902-6,yes,nk_party,
1003,2014-577294-1-902-7,yes,nk_party,
1003,2014-577294-1-902-3,yes,nk_party,
1003,2014-577294-1-53-14,yes,ods_party,
1003,2014-577294-1-1-1,yes,kdu-csl_party,
1003,2014-577294-1-901-7,yes,nk_party,
1003,2014-577294-1-902-1,yes,nk_party,
1003,2014-577294-1-902-4,yes,nk_party,
1003,2014-577294-1-902-2,yes,nk_party,
1003,2014-577294-1-53-15,yes,ods_party,
1003,2014-577294-1-1-2,yes,kdu-csl_party,
1003,2014-577294-1-1-15,yes,kdu-csl_party,
1003,2014-577294-1-53-1,yes,ods_party,
1003,2014-577294-1-1-4,yes,kdu-csl_party,
1003,2014-577294-1-53-2,yes,ods_party,
1003,2014-577294-1-902-6,yes,nk_party,
1004,2014-577294-1-902-7,yes,nk_party,
1004,2014-577294-1-902-3,yes,nk_party,
1004,2014-577294-1-53-14,yes,ods_party,
1004,2014-577294-1-1-1,yes,kdu-csl_party,
1004,2014-577294-1-901-7,yes,nk_party,
1004,2014-577294-1-902-1,yes,nk_party,
1004,2014-577294-1-902-4,yes,nk_party,
1004,2014-577294-1-902-2,yes,nk_party,
1004,2014-577294-1-53-15,yes,ods_party,
1004,2014-577294-1-1-2,yes,kdu-csl_party,
1004,2014-577294-1-1-15,no,kdu-csl_party,
1004,2014-577294-1-53-1,yes,ods_party,
1004,2014-577294-1-1-4,yes,kdu-csl_party,
1004,2014-577294-1-53-2,yes,ods_party,
1004,2014-577294-1-902-6,yes,nk_party,
1005,2014-577294-1-902-7,yes,nk_party,
1005,2014-577294-1-902-3,yes,nk_party,
1005,2014-577294-1-53-14,no,ods_party,
1005,2014-577294-1-1-1,no,kdu-csl_party,
1005,2014-577294-1-901-7,no,nk_party,
1005,2014-577294-1-902-1,yes,nk_party,
1005,2014-577294-1-902-4,yes,nk_party,
1005,2014-577294-1-902-2,yes,nk_party,
1005,2014-577294-1-53-15,no,ods_party,
1005,2014-577294-1-1-2,no,kdu-csl_party,
1005,2014-577294-1-1-15,yes,kdu-csl_party,
1005,2014-577294-1-53-1,no,ods_party,
1005,2014-577294-1-1-4,no,kdu-csl_party,
1005,2014-577294-1-53-2,no,ods_party,
1005,2014-577294-1-902-6,yes,nk_party,
1006,2014-577294-1-902-7,no,nk_party,
1006,2014-577294-1-902-3,no,nk_party,
1006,2014-577294-1-53-14,yes,ods_party,
1006,2014-577294-1-1-1,yes,kdu-csl_party,
1006,2014-577294-1-901-7,yes,nk_party,
1006,2014-577294-1-902-1,no,nk_party,
1006,2014-577294-1-902-4,no,nk_party,
1006,2014-577294-1-902-2,no,nk_party,
1006,2014-577294-1-53-15,yes,ods_party,
1006,2014-577294-1-1-2,yes,kdu-csl_party,
1006,2014-577294-1-1-15,no,kdu-csl_party,
1006,2014-577294-1-53-1,yes,ods_party,
1006,2014-577294-1-1-4,yes,kdu-csl_party,
1006,2014-577294-1-53-2,yes,ods_party,
1006,2014-577294-1-902-6,no,nk_party,
1007,2014-577294-1-902-7,yes,nk_party,
1007,2014-577294-1-902-3,yes,nk_party,
1007,2014-577294-1-53-14,yes,ods_party,
1007,2014-577294-1-1-1,yes,kdu-csl_party,
1007,2014-577294-1-901-7,yes,nk_party,
1007,2014-577294-1-902-1,yes,nk_party,
1007,2014-577294-1-902-4,yes,nk_party,
1007,2014-577294-1-902-2,yes,nk_party,
1007,2014-577294-1-53-15,yes,ods_party,
1007,2014-577294-1-1-2,yes,kdu-csl_party,
1007,2014-577294-1-1-15,yes,kdu-csl_party,
1007,2014-577294-1-53-1,yes,ods_party,
1007,2014-577294-1-1-4,yes,kdu-csl_party,
1007,2014-577294-1-53-2,yes,ods_party,
1007,2014-577294-1-902-6,yes,nk_party,
1008,2014-577294-1-902-7,yes,nk_party,
1008,2014-577294-1-902-3,yes,nk_party,
1008,2014-577294-1-53-14,no,ods_party,
1008,2014-577294-1-1-1,no,kdu-csl_party,
1008,2014-577294-1-901-7,no,nk_party,
1008,2014-577294-1-902-1,yes,nk_party,
1008,2014-577294-1-902-4,yes,nk_party,
1008,2014-577294-1-902-2,yes,nk_party,
1008,2014-577294-1-53-15,no,ods_party,
1008,2014-577294-1-1-2,no,kdu-csl_party,
1008,2014-577294-1-1-15,yes,kdu-csl_party,
1008,2014-577294-1-53-1,no,ods_party,
1008,2014-577294-1-1-4,no,kdu-csl_party,
1008,2014-577294-1-53-2,no,ods_party,
1008,2014-577294-1-902-6,yes,nk_party,
1009,2014-577294-1-902-7,no,nk_party,
1009,2014-577294-1-902-3,no,nk_party,
1009,2014-577294-1-53-14,yes,ods_party,
1009,2014-577294-1-1-1,yes,kdu-csl_party,
1009,2014-577294-1-901-7,yes,nk_party,
1009,2014-577294-1-902-1,no,nk_party,
1009,2014-577294-1-902-4,abstain,nk_party,
1009,2014-577294-1-902-2,no,nk_party,
1009,2014-577294-1-53-15,yes,ods_party,
1009,2014-577294-1-1-2,yes,kdu-csl_party,
1009,2014-577294-1-1-15,yes,kdu-csl_party,
1009,2014-577294-1-53-1,yes,ods_party,
1009,2014-577294-1-1-4,yes,kdu-csl_party,
1009,2014-577294-1-53-2,yes,ods_party,
1009,2014-577294-1-902-6,no,nk_party,
1010,2014-577294-1-902-7,abstain,nk_party,
1010,2014-577294-1-902-3,abstain,nk_party,
1010,2014-577294-1-53-14,yes,ods_party,
1010,2014-577294-1-1-1,yes,kdu-csl_party,
1010,2014-577294-1-901-7,yes,nk_party,
1010,2014-577294-1-902-1,abstain,nk_party,
1010,2014-577294-1-902-4,abstain,nk_party,
1010,2014-577294-1-902-2,abstain,nk_party,
1010,2014-577294-1-53-15,yes,ods_party,
1010,2014-577294-1-1-2,yes,kdu-csl_party,
1010,2014-577294-1-1-15,yes,kdu-csl_party,
1010,2014-577294-1-53-1,yes,ods_party,
1010,2014-577294-1-1-4,yes,kdu-csl_party,
1010,2014-577294-1-53-2,yes,ods_party,
1010,2014-577294-1-902-6,abstain,nk_party,
1011,2014-577294-1-902-7,yes,nk_party,
1011,2014-577294-1-902-3,yes,nk_party,
1011,2014-577294-1-53-14,no,ods_party,
1011,2014-577294-1-1-1,no,kdu-csl_party,
1011,2014-577294-1-901-7,no,nk_party,
1011,2014-577294-1-902-1,yes,nk_party,
1011,2014-577294-1-902-4,yes,nk_party,
1011,2014-577294-1-902-2,yes,nk_party,
1011,2014-577294-1-53-15,no,ods_party,
1011,2014-577294-1-1-2,no,kdu-csl_party,
1011,2014-577294-1-1-15,yes,kdu-csl_party,
1011,2014-577294-1-53-1,no,ods_party,
1011,2014-577294-1-1-4,no,kdu-csl_party,
1011,2014-577294-1-53-2,no,ods_party,
1011,2014-577294-1-902-6,yes,nk_party,
1012,2014-577294-1-902-7,abstain,nk_party,
1012,2014-577294-1-902-3,no,nk_party,
1012,2014-577294-1-53-14,yes,ods_party,
1012,2014-577294-1-1-1,yes,kdu-csl_party,
1012,2014-577294-1-901-7,yes,nk_party,
1012,2014-577294-1-902-1,no,nk_party,
1012,2014-577294-1-902-4,no,nk_party,
1012,2014-577294-1-902-2,no,nk_party,
1012,2014-577294-1-53-15,yes,ods_party,
1012,2014-577294-1-1-2,yes,kdu-csl_party,
1012,2014-577294-1-1-15,no,kdu-csl_party,
1012,2014-577294-1-53-1,yes,ods_party,
1012,2014-577294-1-1-4,yes,kdu-csl_party,
1012,2014-577294-1-53-2,yes,ods_party,
1012,2014-577294-1-902-6,abstain,nk_party,
1013,2014-577294-1-902-7,yes,nk_party,
1013,2014-577294-1-902-3,yes,nk_party,
1013,2014-577294-1-53-14,yes,ods_party,
1013,2014-577294-1-1-1,yes,kdu-csl_party,
1013,2014-577294-1-901-7,yes,nk_party,
1013,2014-577294-1-902-1,yes,nk_party,
1013,2014-577294-1-902-4,yes,nk_party,
1013,2014-577294-1-902-2,yes,nk_party,
1013,2014-577294-1-53-15,yes,ods_party,
1013,2014-577294-1-1-2,yes,kdu-csl_party,
1013,2014-577294-1-1-15,yes,kdu-csl_party,
1013,2014-577294-1-53-1,yes,ods_party,
1013,2014-577294-1-1-4,yes,kdu-csl_party,
1013,2014-577294-1-53-2,yes,ods_party,
1013,2014-577294-1-902-6,yes,nk_party,
1014,2014-577294-1-902-7,yes,nk_party,
1014,2014-577294-1-902-3,yes,nk_party,
1014,2014-577294-1-53-14,yes,ods_party,
1014,2014-577294-1-1-1,yes,kdu-csl_party,
1014,2014-577294-1-901-7,yes,nk_party,
1014,2014-577294-1-902-1,yes,nk_party,
1014,2014-577294-1-902-4,yes,nk_party,
1014,2014-577294-1-902-2,yes,nk_party,
1014,2014-577294-1-53-15,yes,ods_party,
1014,2014-577294-1-1-2,yes,kdu-csl_party,
1014,2014-577294-1-1-15,yes,kdu-csl_party,
1014,2014-577294-1-53-1,yes,ods_party,
1014,2014-577294-1-1-4,yes,kdu-csl_party,
1014,2014-577294-1-53-2,yes,ods_party,
1014,2014-577294-1-902-6,yes,nk_party,
1015,2014-577294-1-902-7,yes,nk_party,
1015,2014-577294-1-902-3,yes,nk_party,
1015,2014-577294-1-53-14,yes,ods_party,
1015,2014-577294-1-1-1,yes,kdu-csl_party,
1015,2014-577294-1-901-7,yes,nk_party,
1015,2014-577294-1-902-1,yes,nk_party,
1015,2014-577294-1-902-4,yes,nk_party,
1015,2014-577294-1-902-2,yes,nk_party,
1015,2014-577294-1-53-15,yes,ods_party,
1015,2014-577294-1-1-2,yes,kdu-csl_party,
1015,2014-577294-1-1-15,yes,kdu-csl_party,
1015,2014-577294-1-53-1,yes,ods_party,
1015,2014-577294-1-1-4,yes,kdu-csl_party,
1015,2014-577294-1-53-2,yes,ods_party,
1015,2014-577294-1-902-6,yes,nk_party,
1016,2014-577294-1-902-7,yes,nk_party,
1016,2014-577294-1-902-3,yes,nk_party,
1016,2014-577294-1-53-14,yes,ods_party,
1016,2014-577294-1-1-1,yes,kdu-csl_party,
1016,2014-577294-1-901-7,yes,nk_party,
1016,2014-577294-1-902-1,abstain,nk_party,
1016,2014-577294-1-902-4,yes,nk_party,
1016,2014-577294-1-902-2,yes,nk_party,
1016,2014-577294-1-53-15,yes,ods_party,
1016,2014-577294-1-1-2,yes,kdu-csl_party,
