id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2012-09-20,Určení ověřovatelů a zapisovatele,1,Zastupitelstvo obce Lužec nad Vltavou určuje ověřovateli zápisu pí. Tomkovou a pí. Peroutkovou a zapisovatelem pí. Prislupskou.,
1002,1,2012-09-20,Schválení programu,2,Zastupitelstvo obce Lužec nad Vltavou schvaluje program zasedání.,
1003,1,2012-09-20,Finanční a majetkové vypořádání mezi základní školou a mateřskou Školou,3,"Zastupitelstvo obce Lužec nad Vltavou schvaluje přílohu č. 1 k zřizovací listině Mateřské školy Lužec nad Vltavou, příspěvková organizace; souhlasí s vyřazením majetku z účtu 028 pod 500,-Kč/kus v celkové hodnotě 217811,30 Kč; k 30.09.2012 bude provedena fyzická inventura ve školní jídelně (materiál na skladě), zjištěné rozdíly mezi skutečným a evidenčním stavem budou proúčtovány",
1004,1,2012-09-20,Stanovení připomínek k veřejnoprávní smlouvě „Revitalizace průmyslového areálu v Lužci nad Vltavou s obnovením betonových prvků,4,Zastupitelstvo obce Lužec nad Vltavou souhlasí s podmínkami stanovenými za Lužec nad Vltaovu k veřejnoprávní smlouvě „Revitalizace průmyslového areálu vLužci nad Vltavou s obnovením betonových prvku"dle přílohy. Podmínky budou uvedeny ve veřejnoprávní smlouvě. Smlouva po vypracováni bude předložena ke schválení radě obce. Současně se starosta obce pověřuje k podpisu smlouvy,
1005,1,2012-09-20,Smlouva o možnosti provést stavbu na cizím pozemku - RD Svcjcarová,5,"Zastupitelstvo obce Lužec nad Vltavou schvaluje smlouvu o možnosti provést stavbu přípojky vodovodní a kanalizace na cizím pozemku p.č. 1417 včetně úhrady za tyto přípojky 500,- Kč/m dle skutečného zaměření.",
1006,1,2012-09-20,Diskuse,6,Zastupitelstvo obce Lužec nad Vltavou schvaluje úpravu rozpočtu č. 6 na dotaci škvárového hřiště.,
2001,2,2012-11-22,Určení ověřovatelů a zapisovatele,1,Zastupitelstvo obce Lužec nad Vltavou určuje ověřovateli zápisu pí. Tomkovou a pí. Peroutkovou a zapisovatelem pí. Prislupskou.,
2002,2,2012-11-22,Schválení programu,2,Zastupitelstvo obce Lužec nad Vltavou schvaluje zařazení požadovaného rozšíření programu o žádost p. Kulhaná a Euro Cold Store.,
2003,2,2012-11-22,Schválení programu,2,Zastupitelstvo obce Lužec nad Vltavou schvaluje program zasedání.,
2004,2,2012-11-22,"Přívoz (kontroly, technické prohlídky, kamera)",3,"Zastupitelstvo obce Lužec nad Vltavou schvaluje, aby kamera nebyla na přívoze on-line z důvodu ochrany soukromí osob přepravovaných přívozem.",
2005,2,2012-11-22,Euro Cold Store - zařazení pozemků do ÚP jako stavební,4,"Zastupitelstvo obce Lužec nad Vltavou opětovně zařazuje pozemky fy. Euro Cold Store do finálního územního plánu obce jako pozemky stavební (p.č. 341, p.č. 337, p.č. 1899)",
2006,2,2012-11-22,Směrnice č. 1/2012 obce o zásadách vztahů obce Lužec nad Vltavou a jejich orgánu k příspěvkovým organizacím zřízeným obcí,5,Zastupitelstvo obce Lužec nad Vltavou schvaluje směrnici č. 1/2012 o zásadách vztahů obce Lužec nad Vltavou a jejich orgánů k příspěvkovým organizacím zřízeným obcí.,
2007,2,2012-11-22,Směrnice c. 2/2012 obce pro zadávání veřejných zakázek malého rozsahu,6,Zastupitelstvo obce Lužec nad Vltavou schvaluje směrnici č. 2/2012 obce Lužec nad Vltavou pro zadávání veřejných zakázek malého rozsahu,
2008,2,2012-11-22,"Obecně závazná vyhláška obce Lužec nad Vltavou č. 2/2012 o místním poplatku za provoz systému shromažďování, sběru, přepravy, třídění, využívání a odstraňování komunálního odpadu",7,"Zastupitelstvo obce Lužec nad Vltavou schvaluje ponecháni místního poplatku za provoz systému shromažďování, sběru, přepravy, třídění, využívání a odstraňování komunálního odpadu na 500,-Kč/os./rok.",
2009,2,2012-11-22,"Obecně závazná vyhláška obce Lužec nad Vltavou č. 2/2012 o místním poplatku za provoz systému shromažďování, sběru, přepravy, třídění, využívání a odstraňování komunálního odpadu",7,"Zastupitelstvo obce Lužec nad Vltavou schvaluje obecně závaznou vyhlášku obce Lužec nad Vltavou č. 2/2012 o místním poplatku za provoz systému shromažďování, sběru, přepravy, třídění, využíváni a odstraňování komunálního odpadu. Poplatek činní 700,-Kč/os./rok.",
2010,2,2012-11-22,Stanovení výše poplatku za kanalizaci od roku 2013,8,"Zastupitelstvo obce Lužec nad Vltavou schvaluje poplatek za kanalizaci od roku 2013 ve výši 1000,-Kč/os./rok.",
2011,2,2012-11-22,Stanovení výše poplatku za kanalizaci od roku 2013,8,"Zastupitelstvo obce Lužec nad Vltavou souhlasí se zvýšením poplatku za kanalizaci od roku 2013 ve výši 1200,-Kč/os./rok.",
2012,2,2012-11-22,Úpravy rozpočtu obce č. 7 roku 2012,9,Zastupitelstvo obce Lužec nad Vltavou souhlasí s úpravami rozpočtu obce Lužec Vltavou č. 7 za rok 2012.,
2013,2,2012-11-22,Rozpočet obce Lužec nad Vltavou na rok 2013,10,Zastupitelstvo obce Lužec nad Vltavou souhlasí s vyškrtnutím přístaviště a přesunutím peněz do rezervy.,
2014,2,2012-11-22,Rozpočet obce Lužec nad Vltavou na rok 2013,10,"Zastupitelstvo obce Lužec nad Vltavou schvaluje rozpočet obce Lužec nad Vltavou pro rok 2013 v paragrafovém znění. Příspěvek na provoz na Základní školu Lužec nad Vltavou, PO je ve výši 1.400.000,-Kč, Mateřskou školu Lužec nad Vltavou, PO je ve výši 750.000,-Kč a Kulturní a společenské středisko Lužec nad Vltavou je ve výši 1.000.000,-Kč.",
2015,2,2012-11-22,"Rozpočet Základní školy Lužec nad Vltavou, PO na rok 2013",11,"Zastupitelstvo obce Lužec nad Vltavou schvaluje rozpočet Základní školy Lužec nad Vltavou, PO na rok 2013. Příspěvek na provoz je ve výši 1.400.000,-Kč.",
2016,2,2012-11-22,"Rozpočet Mateřské školy Lužec nad Vltavou, PO na rok 2013",12,"Zastupitelstvo obce Lužec nad Vltavou schvaluje rozpočet Mateřské školy Lužec nad Vltavou, PO na rok 2013. Příspěvek na provoz je ve výši 750.000,-",
2017,2,2012-11-22,"Rozpočet Kulturního a společenského střediska Lužec nad Vltavou, PO na rok 2013",13,"Zastupitelstvo obce Lužec nad Vltavou schvaluje rozpočet KaSS na rok 2013. Příspěvek na provoz KaSS u je ve výši 1.000.000,-Kč.",
2018,2,2012-11-22,Pozemky ČOV,14,"Zastupitelstvo obce Lužec nad Vltavou souhlasí s bezúplatným převodem, případně s koupí předmětných pozemků pod ČOV dle znaleckých posudků od jednotlivých vlastníků.",
2019,2,2012-11-22,Žádost na KÚ k udělení licence na provozování ČOV,15,"Zastupitelstvo obce Lužec nad Vltavou souhlasí s podáním žádosti o udělení licence na provozování ČOV na Krajský úřad Středočeského kraje a pověřuje starostu obce k zajištění udělení licence, včetně jejich souvislostí.",
2020,2,2012-11-22,Diskuse,16,Zastupitelstvo obce Lužec nad Vltavou souhlasí s objednáním 2 ks vchodových dveří od fy. Breston Saad s.r.o. za celkovou cenu 84442Kč bez DPH pro Kulturní a společenské středisko Lužec nad Vltavou.,
2021,2,2012-11-22,Diskuse,16,"Zastupitelstvo obce Lužec nad Vltavou souhlasí s finanční pomoci pro Maltézskou pomoc na dopravu dětí v roce 2013 ve výši 5000,-Kč.",
3001,3,2012-12-17,Určení ověřovatelů a zapisovatele,1,Zastupitelstvo obce Lužec nad Vltavou určuje ověřovateli zápisu pí. Tomkovou a pí. Szajkovou a zapisovatelem pí. Prislupskou.,
3002,3,2012-12-17,Schválení programu,2,Zastupitelstvo obce Lužec nad Vltavou schvaluje program zasedání.,
3003,3,2012-12-17,Poplatky za kanalizaci,3,"Zastupitelstvo obce Lužec nad Vltavou schvaluje zvýšení poplatku za kanalizaci na 1000,-Kč/os./rok od 01.01.2013.",
3004,3,2012-12-17,Poplatky za kanalizaci,3,"Zastupitelstvo obce Lužec nad Vltavou schvaluje zvýšení poplatku za kanalizaci na 1500,-Kč/os./ rok od 01.01.2013.",
3005,3,2012-12-17,Poplatky za kanalizaci,3,"Zastupitelstvo obce Lužec nad Vltavou schvaluje zvýšení poplatku za kanalizaci na 1200,-Kč/os./rok od 01.01.2013",
3006,3,2012-12-17,Poplatky za kanalizaci,3,"Zastupitelstvo obce Lužec nad Vltavou schvaluje zvýšení poplatku za kanalizaci na 1250,-Kč/os./rok od 01.01.2013.",
3007,3,2012-12-17,Poplatky za kanalizaci,3,"Zastupitelstvo obce Lužec nad Vltavou schvaluje zvýšení poplatku za kanalizaci na 1150,-Kč/os./rok od 01.01.2013.",
3008,3,2012-12-17,Poplatky za kanalizaci,3,"Zastupitelstvo obce Lužec nad Vltavou schvaluje zvýšení poplatku za kanalizaci na 1100,-Kč/os./rok od 01.01.2013.",
3009,3,2012-12-17,Poplatky za kanalizaci,3,"Zastupitelstvo obce Lužec nad Vltavou schvaluje zvýšení poplatku za kanalizaci na 1100,-Kč/os./rok od 01.01.2013.",
3010,3,2012-12-17,Poplatky za kanalizaci,3,"Zastupitelstvo obce Lužec nad Vltavou schvaluje zvýšení poplatku za kanalizaci na 1200,-Kč/os./rok od 01.01.2013.",
3011,3,2012-12-17,Úprava rozpočtu obce č. 8,4,Zastupitelstvo obce Lužec nad Vltavou schvaluje úpravu rozpočtu č.8 Obce Lužec nad Vltavou,
3012,3,2012-12-17,Diskuse,5,Zastupitelstvo obce Lužec nad Vltavou schvaluje úpravu rozpočtu č.1 Kulturního a společenského střediska.,
3013,3,2012-12-17,Diskuse,5,"Zastupitelstvo obce Lužec nad Vltavou schvaluje úpravu rozpočtu č.1 Mateřské školy Lužec nad Vltavou, příspěvkové organizace.",
3014,3,2012-12-17,Diskuse,5,"Zastupitelstvo obce Lužec nad Vltavou schvaluje úpravu rozpočtu č.2 Základní školy Lužec nad Vltavou, příspěvkové organizace o 150000,-Kč, Z toho 50 000,-Kč na výdaje na materiál a 100 000,-Kč na služby.",
3015,3,2012-12-17,Diskuse,5,"Zastupitelstvo obce Lužec nad Vltavou neschvaluje zpracování VPS na plynovou přípojku pro fy. Presbeton nova, s.r.o. a požaduje klasické stavební řízení.",
3016,3,2012-12-17,Diskuse,5,"Zastupitelstvo obce Lužec nad Vltavou schvaluje doplnění usnesení č.5b) zápisu č. 05/2012 ze dne 11.09.2012 o výši příspěvku 400 000,-Kč na mateřskou školu příspěvkovou organizaci a o tuto částku se snižuje příspěvek základní škole, příspěvkové organizaci z celkových 2 400 000,-Kč ze závazných ukazatelů k odděleným organizacím.",
3017,3,2012-12-17,Diskuse,5,"Zastupitelstvo obce Lužec nad Vltavou schvaluje převod nově zbudované kotelny v mateřské škole z majetku obce na zařazení do majetku mateřské školy, příspěvkové organizace v hodnotě 227 577,-KČ.",
3018,3,2012-12-17,Diskuse,5,"Zastupitelstvo obce Lužec nad Vltavou schvaluje dodatek k vnitřnímu řádu Mateřské školy v Lužci nad Vltavou č.j. 143/2012 - kritéria k přijímání dětí do mateřské školy pro případ, kdy se přihlásí více dětí, než je možné přijmout dle zákona č. 561/2004 Sb.",
4001,4,2013-03-05,Určení ověřovatelů a zapisovatele,1,"Zastupitelstvo obce Lužec nad Vltavou určuje ověřovateli zápisu pí. Rampasovou a Bc. Doška, zapisovatelem pí.Prislupskou.",
4002,4,2013-03-05,Schválení programu,2,Zastupitelstvo obce Lužec nad Vltavou schvaluje program zasedání.,
4003,4,2013-03-05,Odpisový plán obce a příspěvkových organizací,3,"Zastupitelstvo obce Lužec nad Vltavou schvaluje odpisový plán na rok 2013 Obce Lužec nad Vltavou a Kulturního a společenského střediska Lužec nad Vltavou, Základní školy Lužec nad Vltavou, příspěvkové organizace a Mateřské školy Lužec nad Vltavou, příspěvkové organizace.",
4004,4,2013-03-05,Příspěvkové organizace - převod hospodářského výsledku,4,"Zastupitelstvo obce Lužec nad Vltavou schvaluje převod hospodářského výsledku Kulturního a společenského střediska Lužec n.Vlt. ve výši 141072,82 Kč na účet neuhrazená ztráta z minulých let.",
4005,4,2013-03-05,Příspěvkové organizace - převod hospodářského výsledku,4,"Zastupitelstvo obce Lužec nad Vltavou schvaluje převod hospodářského výsledku Základní školy Lužec nad Vltavou, příspěvkové organizace ve výši -487137,54 Kč na účet neuhrazená ztráta minulých let.",
