vote_event_id,voter_id,option,group_id,
1001,2010-535028-1-47-4,absent,kscm_party,
1001,2010-535028-1-53-7,yes,ods_party,
1001,2010-535028-1-53-6,yes,ods_party,
1001,2010-535028-1-53-1,yes,ods_party,
1001,2010-535028-1-901-9,yes,nk_party,
1001,2010-535028-1-901-3,yes,nk_party,
1001,2010-535028-1-47-2,yes,kscm_party,
1001,2010-535028-1-53-3,yes,ods_party,
1001,2010-535028-1-901-2,yes,nk_party,
1001,2010-535028-1-53-2,yes,ods_party,
1001,2010-535028-1-901-1,abstain,nk_party,
1001,2010-535028-1-47-1,abstain,kscm_party,
1001,2010-535028-1-901-6,yes,nk_party,
1001,2010-535028-1-47-3,yes,kscm_party,
1001,2010-535028-1-47-5,yes,kscm_party,
1001,2010-535028-1-47-6,absent,kscm_party,
1001,2010-535028-1-901-7,yes,nk_party,
1002,2010-535028-1-47-4,absent,kscm_party,
1002,2010-535028-1-53-7,yes,ods_party,
1002,2010-535028-1-53-6,yes,ods_party,
1002,2010-535028-1-53-1,yes,ods_party,
1002,2010-535028-1-901-9,yes,nk_party,
1002,2010-535028-1-901-3,yes,nk_party,
1002,2010-535028-1-47-2,yes,kscm_party,
1002,2010-535028-1-53-3,yes,ods_party,
1002,2010-535028-1-901-2,yes,nk_party,
1002,2010-535028-1-53-2,yes,ods_party,
1002,2010-535028-1-901-1,abstain,nk_party,
1002,2010-535028-1-47-1,abstain,kscm_party,
1002,2010-535028-1-901-6,yes,nk_party,
1002,2010-535028-1-47-3,yes,kscm_party,
1002,2010-535028-1-47-5,yes,kscm_party,
1002,2010-535028-1-47-6,absent,kscm_party,
1002,2010-535028-1-901-7,yes,nk_party,
1003,2010-535028-1-47-4,absent,kscm_party,
1003,2010-535028-1-53-7,yes,ods_party,
1003,2010-535028-1-53-6,yes,ods_party,
1003,2010-535028-1-53-1,yes,ods_party,
1003,2010-535028-1-901-9,yes,nk_party,
1003,2010-535028-1-901-3,yes,nk_party,
1003,2010-535028-1-47-2,no,kscm_party,
1003,2010-535028-1-53-3,yes,ods_party,
1003,2010-535028-1-901-2,yes,nk_party,
1003,2010-535028-1-53-2,yes,ods_party,
1003,2010-535028-1-901-1,abstain,nk_party,
1003,2010-535028-1-47-1,abstain,kscm_party,
1003,2010-535028-1-901-6,yes,nk_party,
1003,2010-535028-1-47-3,yes,kscm_party,
1003,2010-535028-1-47-5,yes,kscm_party,
1003,2010-535028-1-47-6,no,kscm_party,
1003,2010-535028-1-901-7,abstain,nk_party,
1004,2010-535028-1-47-4,absent,kscm_party,
1004,2010-535028-1-53-7,yes,ods_party,
1004,2010-535028-1-53-6,yes,ods_party,
1004,2010-535028-1-53-1,yes,ods_party,
1004,2010-535028-1-901-9,yes,nk_party,
1004,2010-535028-1-901-3,yes,nk_party,
1004,2010-535028-1-47-2,yes,kscm_party,
1004,2010-535028-1-53-3,yes,ods_party,
1004,2010-535028-1-901-2,yes,nk_party,
1004,2010-535028-1-53-2,yes,ods_party,
1004,2010-535028-1-901-1,abstain,nk_party,
1004,2010-535028-1-47-1,abstain,kscm_party,
1004,2010-535028-1-901-6,yes,nk_party,
1004,2010-535028-1-47-3,yes,kscm_party,
1004,2010-535028-1-47-5,yes,kscm_party,
1004,2010-535028-1-47-6,yes,kscm_party,
1004,2010-535028-1-901-7,yes,nk_party,
1005,2010-535028-1-47-4,absent,kscm_party,
1005,2010-535028-1-53-7,yes,ods_party,
1005,2010-535028-1-53-6,yes,ods_party,
1005,2010-535028-1-53-1,yes,ods_party,
1005,2010-535028-1-901-9,yes,nk_party,
1005,2010-535028-1-901-3,yes,nk_party,
1005,2010-535028-1-47-2,yes,kscm_party,
1005,2010-535028-1-53-3,yes,ods_party,
1005,2010-535028-1-901-2,yes,nk_party,
1005,2010-535028-1-53-2,yes,ods_party,
1005,2010-535028-1-901-1,abstain,nk_party,
1005,2010-535028-1-47-1,abstain,kscm_party,
1005,2010-535028-1-901-6,yes,nk_party,
1005,2010-535028-1-47-3,yes,kscm_party,
1005,2010-535028-1-47-5,yes,kscm_party,
1005,2010-535028-1-47-6,yes,kscm_party,
1005,2010-535028-1-901-7,yes,nk_party,
1006,2010-535028-1-47-4,absent,kscm_party,
1006,2010-535028-1-53-7,yes,ods_party,
1006,2010-535028-1-53-6,yes,ods_party,
1006,2010-535028-1-53-1,yes,ods_party,
1006,2010-535028-1-901-9,yes,nk_party,
1006,2010-535028-1-901-3,yes,nk_party,
1006,2010-535028-1-47-2,absent,kscm_party,
1006,2010-535028-1-53-3,yes,ods_party,
1006,2010-535028-1-901-2,abstain,nk_party,
1006,2010-535028-1-53-2,yes,ods_party,
1006,2010-535028-1-901-1,abstain,nk_party,
1006,2010-535028-1-47-1,abstain,kscm_party,
1006,2010-535028-1-901-6,yes,nk_party,
1006,2010-535028-1-47-3,abstain,kscm_party,
1006,2010-535028-1-47-5,yes,kscm_party,
1006,2010-535028-1-47-6,yes,kscm_party,
1006,2010-535028-1-901-7,yes,nk_party,
2001,2010-535028-1-47-4,absent,kscm_party,
2001,2010-535028-1-53-7,yes,ods_party,
2001,2010-535028-1-53-6,yes,ods_party,
2001,2010-535028-1-53-1,yes,ods_party,
2001,2010-535028-1-901-9,yes,nk_party,
2001,2010-535028-1-901-3,absent,nk_party,
2001,2010-535028-1-47-2,yes,kscm_party,
2001,2010-535028-1-53-3,yes,ods_party,
2001,2010-535028-1-901-2,yes,nk_party,
2001,2010-535028-1-53-2,yes,ods_party,
2001,2010-535028-1-901-1,abstain,nk_party,
2001,2010-535028-1-47-1,abstain,kscm_party,
2001,2010-535028-1-901-6,yes,nk_party,
2001,2010-535028-1-47-3,yes,kscm_party,
2001,2010-535028-1-47-5,yes,kscm_party,
2001,2010-535028-1-47-6,yes,kscm_party,
2001,2010-535028-1-901-7,yes,nk_party,
2002,2010-535028-1-47-4,absent,kscm_party,
2002,2010-535028-1-53-7,yes,ods_party,
2002,2010-535028-1-53-6,yes,ods_party,
2002,2010-535028-1-53-1,no,ods_party,
2002,2010-535028-1-901-9,yes,nk_party,
2002,2010-535028-1-901-3,absent,nk_party,
2002,2010-535028-1-47-2,yes,kscm_party,
2002,2010-535028-1-53-3,yes,ods_party,
2002,2010-535028-1-901-2,yes,nk_party,
2002,2010-535028-1-53-2,yes,ods_party,
2002,2010-535028-1-901-1,abstain,nk_party,
2002,2010-535028-1-47-1,abstain,kscm_party,
2002,2010-535028-1-901-6,yes,nk_party,
2002,2010-535028-1-47-3,yes,kscm_party,
2002,2010-535028-1-47-5,yes,kscm_party,
2002,2010-535028-1-47-6,yes,kscm_party,
2002,2010-535028-1-901-7,yes,nk_party,
2003,2010-535028-1-47-4,absent,kscm_party,
2003,2010-535028-1-53-7,no,ods_party,
2003,2010-535028-1-53-6,yes,ods_party,
2003,2010-535028-1-53-1,abstain,ods_party,
2003,2010-535028-1-901-9,yes,nk_party,
2003,2010-535028-1-901-3,absent,nk_party,
2003,2010-535028-1-47-2,yes,kscm_party,
2003,2010-535028-1-53-3,yes,ods_party,
2003,2010-535028-1-901-2,yes,nk_party,
2003,2010-535028-1-53-2,yes,ods_party,
2003,2010-535028-1-901-1,abstain,nk_party,
2003,2010-535028-1-47-1,abstain,kscm_party,
2003,2010-535028-1-901-6,yes,nk_party,
2003,2010-535028-1-47-3,yes,kscm_party,
2003,2010-535028-1-47-5,yes,kscm_party,
2003,2010-535028-1-47-6,yes,kscm_party,
2003,2010-535028-1-901-7,yes,nk_party,
2004,2010-535028-1-47-4,absent,kscm_party,
2004,2010-535028-1-53-7,no,ods_party,
2004,2010-535028-1-53-6,no,ods_party,
2004,2010-535028-1-53-1,no,ods_party,
2004,2010-535028-1-901-9,abstain,nk_party,
2004,2010-535028-1-901-3,absent,nk_party,
2004,2010-535028-1-47-2,yes,kscm_party,
2004,2010-535028-1-53-3,no,ods_party,
2004,2010-535028-1-901-2,no,nk_party,
2004,2010-535028-1-53-2,no,ods_party,
2004,2010-535028-1-901-1,abstain,nk_party,
2004,2010-535028-1-47-1,abstain,kscm_party,
2004,2010-535028-1-901-6,no,nk_party,
2004,2010-535028-1-47-3,abstain,kscm_party,
2004,2010-535028-1-47-5,no,kscm_party,
2004,2010-535028-1-47-6,yes,kscm_party,
2004,2010-535028-1-901-7,abstain,nk_party,
2005,2010-535028-1-47-4,absent,kscm_party,
2005,2010-535028-1-53-7,no,ods_party,
2005,2010-535028-1-53-6,no,ods_party,
2005,2010-535028-1-53-1,no,ods_party,
2005,2010-535028-1-901-9,no,nk_party,
2005,2010-535028-1-901-3,absent,nk_party,
2005,2010-535028-1-47-2,yes,kscm_party,
2005,2010-535028-1-53-3,no,ods_party,
2005,2010-535028-1-901-2,abstain,nk_party,
2005,2010-535028-1-53-2,no,ods_party,
2005,2010-535028-1-901-1,abstain,nk_party,
2005,2010-535028-1-47-1,abstain,kscm_party,
2005,2010-535028-1-901-6,no,nk_party,
2005,2010-535028-1-47-3,yes,kscm_party,
2005,2010-535028-1-47-5,no,kscm_party,
2005,2010-535028-1-47-6,yes,kscm_party,
2005,2010-535028-1-901-7,abstain,nk_party,
2006,2010-535028-1-47-4,absent,kscm_party,
2006,2010-535028-1-53-7,yes,ods_party,
2006,2010-535028-1-53-6,yes,ods_party,
2006,2010-535028-1-53-1,yes,ods_party,
2006,2010-535028-1-901-9,yes,nk_party,
2006,2010-535028-1-901-3,absent,nk_party,
2006,2010-535028-1-47-2,yes,kscm_party,
2006,2010-535028-1-53-3,yes,ods_party,
2006,2010-535028-1-901-2,yes,nk_party,
2006,2010-535028-1-53-2,yes,ods_party,
2006,2010-535028-1-901-1,abstain,nk_party,
2006,2010-535028-1-47-1,abstain,kscm_party,
2006,2010-535028-1-901-6,yes,nk_party,
2006,2010-535028-1-47-3,yes,kscm_party,
2006,2010-535028-1-47-5,yes,kscm_party,
2006,2010-535028-1-47-6,yes,kscm_party,
2006,2010-535028-1-901-7,yes,nk_party,
2007,2010-535028-1-47-4,absent,kscm_party,
2007,2010-535028-1-53-7,yes,ods_party,
2007,2010-535028-1-53-6,yes,ods_party,
2007,2010-535028-1-53-1,yes,ods_party,
2007,2010-535028-1-901-9,yes,nk_party,
2007,2010-535028-1-901-3,absent,nk_party,
2007,2010-535028-1-47-2,no,kscm_party,
2007,2010-535028-1-53-3,yes,ods_party,
2007,2010-535028-1-901-2,yes,nk_party,
2007,2010-535028-1-53-2,yes,ods_party,
2007,2010-535028-1-901-1,abstain,nk_party,
2007,2010-535028-1-47-1,abstain,kscm_party,
2007,2010-535028-1-901-6,yes,nk_party,
