id,name,organization:party,organization:affiliation,organization:list,
2014-535028-1-47-3,Benčík Zdeněk,kscm_party,kscm_affiliation,47_list,
2014-535028-1-53-4,"Donaufová Pavla Ing., Mgr.",ods_party,ods_affiliation,53_list,
2014-535028-1-901-1,Došek Jiří Bc.,nk_party,bezpp_affiliation,901_list,
2014-535028-1-901-4,Hobík Jaroslav,nk_party,bezpp_affiliation,901_list,
2014-535028-1-47-8,Karták Jindřich,kscm_party,bezpp_affiliation,47_list,
2014-535028-1-47-5,Labuta Ladislav JUDr.,kscm_party,bezpp_affiliation,47_list,
2014-535028-1-901-7,Maštalíř Miroslav,nk_party,bezpp_affiliation,901_list,
2014-535028-1-53-2,Nápravník Vladislav,ods_party,ods_affiliation,53_list,
2014-535028-1-53-11,Peroutková Zdeňka,ods_party,ods_affiliation,53_list,
2014-535028-1-53-7,Peroutková Zdeňka,ods_party,bezpp_affiliation,53_list,
2014-535028-1-901-3,Rampasová Kamila,nk_party,bezpp_affiliation,901_list,
2014-535028-1-53-1,Rollo Patrik,ods_party,ods_affiliation,53_list,
2014-535028-1-47-6,Švejcarová Eva,kscm_party,kscm_affiliation,47_list,
2014-535028-1-901-11,Tejová Eva Mgr.,nk_party,bezpp_affiliation,901_list,
2014-535028-1-901-2,Velická Jana Mgr.,nk_party,bezpp_affiliation,901_list,
