id,classification_id,classification,name,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
cssd_party,party,Navrhující strana,Česká strana sociálně demokratická,
kscm_party,party,Navrhující strana,Komunistická strana Čech a Moravy,
ods_party,party,Navrhující strana,Občanská demokratická strana,
top-09_party,party,Navrhující strana,TOP 09,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
kscm_affiliation,affiliation,Stranická příslušnost,Komunistická strana Čech a Moravy,
902_list,list,Kandidátní listina,listina nezávislých kandidátů,
7_list,list,Kandidátní listina,Česká strana sociálně demokratická,
47_list,list,Kandidátní listina,Komunistická strana Čech a Moravy,
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
53_list,list,Kandidátní listina,Občanská demokratická strana,
721_list,list,Kandidátní listina,TOP 09,
