id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2011-04-27,program,1,hlasování o programu,
1002,1,2011-04-27,Volba návrhové komise a ověřovatelů zápisu,2,"Zastupitelstvo obce po projednání volí návrhovou komisi ve složení: předseda:Jitka Krabcová, členové:Miloslav Haifler, Ing. David Štrougal",
1003,1,2011-04-27,Zpráva o činnosti rady obce.,3,Zastupitelstvo obce po projednání bere na vědomí informativní zprávu o činnosti rady obce od minulého zasedání zastupitelstva,
1004,1,2011-04-27,Rozpočtová opatření.,4,Zastupitelstvo obce po projednání schvaluje  předložená rozpočtová opatření č. 2- č.7.,
1005,1,2011-04-27,Závěrečný účet obce za r. 2010.,5,Zastupitelstvo obce po projednání schvaluje závěrečný účet obce Lužná za rok 2010 bez výhrad.,
1006,1,2011-04-27,Komunitní plán sociálních služeb pro region Rakovnicko na období 2010-2014.,6,"Zastupitelstvo obce po projednání schvaluje vypracovaný Komunitní plán sociálních služeb pro region Rakovnicko na období 2010-2014 ve všech jeho částech a to:-Návrhovou část Komunitního plánu sociálních služeb,-Analytickou část Komunitního plánu sociálních služeb.",
1007,1,2011-04-27,Prodej dřeva z obecních pozemků.,7,"Zastupitelstvo obce po projednání schvaluje záměr prodeje dřeva z obecních pozemků za cenu min. 1000,- Kč/m3, z uskladněného místa na Masarykově nám. Na koupi dřeva má nárok pouze občan s trvalým pobytem v obci Lužná. O prodeji rozhodne nejvyšší nabídka",
1008,1,2011-04-27,"Pronájem obecních pozemků č.p. 2226/6, 2222/6, 2371/2,2370/1,2369/1.",8,"Zastupitelstvo obce po projednání schvaluje záměr pronájmu obecních pozemků na parcelách č. 2226/6,2222/6,2371/2,2370/1,2369/1. Zastupitelstvo zároveň pověřuje radu k uzavření nájemních smluv za ceny obvyklé v obci",
1009,1,2011-04-27,Různé,9,"Zastupitelstvo obce po projednání schvaluje záměr pronájmu obecních pozemků na parcelách č. 2226/6,2222/6,2371/2,2370/1,2369/1. Zastupitelstvo zároveň pověřuje radu k uzavření nájemních smluv za ceny obvyklé v obci",
1010,1,2011-04-27,Různé,9,"Zastupitelstvo obce po projednání schvaluje na základě darovacích smluv příjem darů pozemků v Havlíčkově ulici od majitelů parcel č. 3162/1 o rozloze 225 m2, 761/3 o rozloze 18 m2, 761/4 o rozloze 37 m2, 761/5 o rozloze 19 m2, 761/2 o rozloze 42 m2, 761/12 o rozloze 9 m2 a 761/11 o rozloze 40m2.",
1011,1,2011-04-27,Různé,9,"Zastupitelstvo obce po projednání schvaluje uvolnění částky 118680,- Kč vč. DPH na zpracování projektové dokumentace na zateplení objektu ZŠ Lužná a uvolnění částky 102000,- Kč vč. DPH na projektovou dokumentaci kotelny ZŠ z obecního rozpočtu. Pověřuje starostu k podpisu smlouvy",
1012,1,2011-04-27,Různé,9,"Zastupitelstvo obce po projednání schvaluje uvolnění částky 900000,- Kč z obecního rozpočtu na rekonstrukci MŠ v Lužné I na základě zpracované studie.  ",
1013,1,2011-04-27,Různé,9,Zastupitelstvo obce po projednání bere na vědomí vyhlášení konkurzního řízení na ředitele ZŠ a MŠ Lužná ve smyslu vyhlášky č. 54/2005 Sb. a zákona č. 561/2004 Sb. ,
1014,1,2011-04-27,Různé,9,"Zastupitelstvo obce po projednání schvaluje poplatek za zřízení věcného břemene pro právnické osoby přes pozemky vedené na  LV 10001 pro Obec Lužná  v částce 300,- Kč za bm, v nejnižší hodnotě 1000,- Kč za smlouvu",
1015,1,2011-04-27,Různé,9,"Zastupitelstvo obce po projednání  schvaluje uvolnění částky z obecního rozpočtu na autobusovou dopravu při družebních cestách občanů do Lužné u Vsetína 28000,- Kč vč. DPH a do Liptovské Lužné 33000,- Kč.",
