id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2010-11-11,program,1,hlasování o programu,
1002,1,2010-11-11,Volba starosty a místostarosty,2,ZO schvaluje zvolení jednoho místostarosty,
1003,1,2010-11-11,Volba starosty a místostarosty,2,"ZO určuje, že pro výkon funkce starosty obce bude člen zastupitelstva dlouhodobě uvolněn",
1004,1,2010-11-11,Volba starosty a místostarosty,2,ZO schvaluje způsob volby starosty a místostarosty obce veřejným hlasováním,
1005,1,2010-11-11,Volba starosty a místostarosty,2,ZO volí do funkce starosty obce Malá Morava pana Antonína Marinova,
1006,1,2010-11-11,Volba starosty a místostarosty,2,ZO volí do funkce místostarosty obce Malá Morava pana Waltra Köhlera,
1007,1,2010-11-11,Zřízení finančního a kontrolního výboru obce,3,ZO zřizuje finanční výbor a kontrolní výbor obce. Oba výbory budou tříčlenné,
1008,1,2010-11-11,Zřízení finančního a kontrolního výboru obce,3,ZO volí do funkce předsedy finančního výboru obce pana Pavla Moronga,
1009,1,2010-11-11,Zřízení finančního a kontrolního výboru obce,3,ZO volí do funkce předsedy kontrolního výboru obce pana Karla Svobodu,
1010,1,2010-11-11,Zřízení finančního a kontrolního výboru obce,3, ZO volí členy finančního výboru obce paní Jaroslavu Cehovou a Irenu Kouřilovou,
1011,1,2010-11-11,Zřízení finančního a kontrolního výboru obce,3,ZO volí členy finančního výboru obce paní Mgr. Olgu Špikovou a pana Josefa Temňáka,
1012,1,2010-11-11,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,4,"ZO stanovuje měsíční odměnu za výkon funkce neuvolněného člena zastupitelstva obce, neuvolněného místostarosty obce a člena výboru obce takto : Člen zastupitelstva                             : 460,- Kč Člen zastupitelstva – předseda výboru : 1.060,- KčČlen zastupitelstva – člen výboru         : 750,- Kč Neuvolněný místostarosta obce           : 4.000,- Kč Člen výboru – nečlen zastupitelstva obce      : 270,- Kč Odměna bude poskytována počínaje měsícem prosincem, tj. od 1.12.2010  ",
2001,2,2010-12-16,program,1,hlasování o programu,
2002,2,2010-12-16,Rozpočtové změny 4/2010,4,ZO schvaluje rozpočtové změny č. 4/2010,
2003,2,2010-12-16,Rozpočtové provizorium na rok 2011,6,ZO vyhlašuje na dobu od 1.1.2011 do schválení rozpočtu obce na rok 2011 rozpočtové provizorium a stanovuje podmínky pro hospodaření v tomto období,
2004,2,2010-12-16,Pronájmy bytů,8,ZO souhlasí s uzavřením nájemní smlouvy na pronájem bytu s panem Radkem Fistrem,
2005,2,2010-12-16,Vytvoření pracovních míst na veřejně prospěšné práce v roce 2011,9,ZO schvaluje zřízení aţ 10 pracovních míst na veřejně prospěšné práce v roce 2011 a uzavření smlouvy s úřadem práce,
2006,2,2010-12-16,Změna obecně závazných vyhlášek,10,ZO schvaluje obecně závaznou vyhlášku č. 1/2010 o místních poplatcích,
2007,2,2010-12-16,"Změna obecně závazné vyhlášky o místním poplatku za provoz systému shromaţďování, sběru, přepravy, třídění, vyuţívání a odstraňování odpadů",11," ZO schvaluje obecně závaznou vyhlášku č. 2/2010 o místním poplatku za provoz systému shromaţďování, sběru, přepravy, třídění, vyuţívání a odstraňování odpadů",
2008,2,2010-12-16,Zadání územního plánu,12,ZO schvaluje zadání územního plánu obce Malá Morava,
2009,2,2010-12-16,Rozhodnutí o poskytnutí dotace – Smlouva o poskytnutí dotace,13,"ZO po projednání schvaluje uzavření smlouvy č. 09034053 o poskytnutí podpory ze Státního fondu ţivotního prostředí ČR v rámci Operačního programu Ţivotní prostředí podepsané dne 16.11.2010 vz. Ing. Dušanem Fibingrem, Ph.D. a pověřuje starostuobce jejím podpisem.  ",
2010,2,2010-12-16,Realizace projektu Herní prvky do MŠ Malá Morava,14,ZO vyhlašuje výběrové řízení na výběr dodavatele na realizaci projektu,
2011,2,2010-12-16,Realizace projektu Herní prvky do MŠ Malá Morava,14,"ZO jmenuje výběrovou komisi pro výběr dodavatele na realizaci projektu Herní prvky do MŠ Malá Morava ve sloţení Antonín Marinov, Anna Hošková DiS, Pavel Morong, Josef Hulín a Karel Svoboda",
2012,2,2010-12-16,Realizace projektu Herní prvky do MŠ Malá Morava,14, ZO pověřuje starostu podpisem smlouvy o dílo s vítězem výběrového řízení na základě doporučení výběrové komise,
2013,2,2010-12-16,Realizace projektu Herní prvky do MŠ Malá Morava,14,ZO souhlasí s přijetím finanční podpory na projekt Herní prvky do MŠ Malá Morava v rámci Programu rozvoje venkova,
2014,2,2010-12-16,Žádost o změnu smlouvy o poskytnutí dotace,15,"ZO schvaluje uzavření dodatku ke smlouvě o příspěvku č. 1/2010, kterým se mění forma příspěvku z neinvestičního na investiční",
2015,2,2010-12-16,Souhlas se stavbou trafostanice,16," ZO schvaluje uzavření smlouvy o uzavření budoucí smlouvy o zřízení věcného břemene a právu provést stavbu „Podlesí – Horní DTS SU-1214, NNk na pozemku p.č. 162/1 v k.ú. Podlesí-město",
