vote_event_id,voter_id,option,group_id,
1001,2014-512184-1-721-7,yes,top-09_party,
1001,2014-512184-1-901-8,yes,nk_party,
1001,2014-512184-1-901-6,yes,nk_party,
1001,2014-512184-1-901-1,yes,nk_party,
1001,2014-512184-1-1-2,yes,kdu-csl_party,
1001,2014-512184-1-1-4,yes,kdu-csl_party,
1001,2014-512184-1-901-2,yes,nk_party,
1001,2014-512184-1-901-4,yes,nk_party,
1001,2014-512184-1-721-8,abstain,top-09_party,
1001,2014-512184-1-901-3,yes,nk_party,
1001,2014-512184-1-901-5,yes,nk_party,
1001,2014-512184-1-721-1,yes,top-09_party,
1002,2014-512184-1-721-7,yes,top-09_party,
1002,2014-512184-1-901-8,yes,nk_party,
1002,2014-512184-1-901-6,yes,nk_party,
1002,2014-512184-1-901-1,yes,nk_party,
1002,2014-512184-1-1-2,yes,kdu-csl_party,
1002,2014-512184-1-1-4,abstain,kdu-csl_party,
1002,2014-512184-1-901-2,abstain,nk_party,
1002,2014-512184-1-901-4,yes,nk_party,
1002,2014-512184-1-721-8,abstain,top-09_party,
1002,2014-512184-1-901-3,yes,nk_party,
1002,2014-512184-1-901-5,yes,nk_party,
1002,2014-512184-1-721-1,yes,top-09_party,
1003,2014-512184-1-721-7,yes,top-09_party,
1003,2014-512184-1-901-8,yes,nk_party,
1003,2014-512184-1-901-6,yes,nk_party,
1003,2014-512184-1-901-1,yes,nk_party,
1003,2014-512184-1-1-2,yes,kdu-csl_party,
1003,2014-512184-1-1-4,yes,kdu-csl_party,
1003,2014-512184-1-901-2,yes,nk_party,
1003,2014-512184-1-901-4,yes,nk_party,
1003,2014-512184-1-721-8,abstain,top-09_party,
1003,2014-512184-1-901-3,yes,nk_party,
1003,2014-512184-1-901-5,yes,nk_party,
1003,2014-512184-1-721-1,yes,top-09_party,
1004,2014-512184-1-721-7,yes,top-09_party,
1004,2014-512184-1-901-8,yes,nk_party,
1004,2014-512184-1-901-6,yes,nk_party,
1004,2014-512184-1-901-1,yes,nk_party,
1004,2014-512184-1-1-2,yes,kdu-csl_party,
1004,2014-512184-1-1-4,yes,kdu-csl_party,
1004,2014-512184-1-901-2,yes,nk_party,
1004,2014-512184-1-901-4,yes,nk_party,
1004,2014-512184-1-721-8,abstain,top-09_party,
1004,2014-512184-1-901-3,yes,nk_party,
1004,2014-512184-1-901-5,yes,nk_party,
1004,2014-512184-1-721-1,yes,top-09_party,
1005,2014-512184-1-721-7,yes,top-09_party,
1005,2014-512184-1-901-8,yes,nk_party,
1005,2014-512184-1-901-6,yes,nk_party,
1005,2014-512184-1-901-1,yes,nk_party,
1005,2014-512184-1-1-2,yes,kdu-csl_party,
1005,2014-512184-1-1-4,yes,kdu-csl_party,
1005,2014-512184-1-901-2,yes,nk_party,
1005,2014-512184-1-901-4,yes,nk_party,
1005,2014-512184-1-721-8,abstain,top-09_party,
