id,name,organization:party,organization:affiliation,organization:list,
2010-561835-1-901-2,Balek Petr PhDr.,nk_party,bezpp_affiliation,901_list,
2010-561835-1-103-1,Baloun Stanislav Ing.,sos_party,bezpp_affiliation,103_list,
2010-561835-1-190-4,Frýdová Eva MUDr.,ohmo_party,ohmo_affiliation,190_list,
2010-561835-1-158-1,Grešlová Lenka Ing. Bc.,sn_party,bezpp_affiliation,158_list,
2010-561835-1-190-6,Hons Osvald,ohmo_party,ohmo_affiliation,190_list,
2010-561835-1-53-4,Jirůtka Jaroslav Mgr.,ods_party,bezpp_affiliation,53_list,
2010-561835-1-190-1,Kaiser František,ohmo_party,ohmo_affiliation,190_list,
2010-561835-1-103-2,Konopiský Václav Mgr.,sos_party,bezpp_affiliation,103_list,
2010-561835-1-190-2,Král Petr,ohmo_party,bezpp_affiliation,190_list,
2010-561835-1-721-2,Krousová Šárka Mgr.,top-09_party,top-09_affiliation,721_list,
2010-561835-1-7-1,Ráček Pavel Ing.,cssd_party,cssd_affiliation,7_list,
2010-561835-1-47-4,Řeháček Petr Ing.,kscm_party,bezpp_affiliation,47_list,
2010-561835-1-47-1,Schleier Miroslav Ing.,kscm_party,kscm_affiliation,47_list,
2010-561835-1-190-3,Slavík Petr Bc.,ohmo_party,ohmo_affiliation,190_list,
2010-561835-1-103-7,Steinfest Marek,sos_party,bezpp_affiliation,103_list,
2010-561835-1-7-6,Štaňko Nikolaj MUDr.,cssd_party,bezpp_affiliation,7_list,
2010-561835-1-190-5,Zubko René,ohmo_party,ohmo_affiliation,190_list,
