vote_event_id,voter_id,option,group_id,
1001,2010-561835-1-901-2,yes,nk_party,
1001,2010-561835-1-103-1,yes,sos_party,
1001,2010-561835-1-190-4,absent,ohmo_party,
1001,2010-561835-1-158-1,absent,sn_party,
1001,2010-561835-1-190-6,yes,ohmo_party,
1001,2010-561835-1-53-4,yes,ods_party,
1001,2010-561835-1-190-1,yes,ohmo_party,
1001,2010-561835-1-103-2,yes,sos_party,
1001,2010-561835-1-190-2,yes,ohmo_party,
1001,2010-561835-1-721-2,yes,top-09_party,
1001,2010-561835-1-7-1,yes,cssd_party,
1001,2010-561835-1-47-4,absent,kscm_party,
1001,2010-561835-1-47-1,yes,kscm_party,
1001,2010-561835-1-190-3,absent,ohmo_party,
1001,2010-561835-1-103-7,absent,sos_party,
1001,2010-561835-1-7-6,yes,cssd_party,
1001,2010-561835-1-190-5,absent,ohmo_party,
1002,2010-561835-1-901-2,yes,nk_party,
1002,2010-561835-1-103-1,yes,sos_party,
1002,2010-561835-1-190-4,absent,ohmo_party,
1002,2010-561835-1-158-1,absent,sn_party,
1002,2010-561835-1-190-6,yes,ohmo_party,
1002,2010-561835-1-53-4,yes,ods_party,
1002,2010-561835-1-190-1,yes,ohmo_party,
1002,2010-561835-1-103-2,yes,sos_party,
1002,2010-561835-1-190-2,yes,ohmo_party,
1002,2010-561835-1-721-2,yes,top-09_party,
1002,2010-561835-1-7-1,yes,cssd_party,
1002,2010-561835-1-47-4,absent,kscm_party,
1002,2010-561835-1-47-1,yes,kscm_party,
1002,2010-561835-1-190-3,absent,ohmo_party,
1002,2010-561835-1-103-7,absent,sos_party,
1002,2010-561835-1-7-6,yes,cssd_party,
1002,2010-561835-1-190-5,absent,ohmo_party,
1003,2010-561835-1-901-2,yes,nk_party,
1003,2010-561835-1-103-1,yes,sos_party,
1003,2010-561835-1-190-4,absent,ohmo_party,
1003,2010-561835-1-158-1,absent,sn_party,
1003,2010-561835-1-190-6,yes,ohmo_party,
1003,2010-561835-1-53-4,yes,ods_party,
1003,2010-561835-1-190-1,yes,ohmo_party,
1003,2010-561835-1-103-2,yes,sos_party,
1003,2010-561835-1-190-2,yes,ohmo_party,
1003,2010-561835-1-721-2,yes,top-09_party,
1003,2010-561835-1-7-1,yes,cssd_party,
1003,2010-561835-1-47-4,absent,kscm_party,
1003,2010-561835-1-47-1,yes,kscm_party,
1003,2010-561835-1-190-3,absent,ohmo_party,
1003,2010-561835-1-103-7,absent,sos_party,
1003,2010-561835-1-7-6,yes,cssd_party,
1003,2010-561835-1-190-5,absent,ohmo_party,
1004,2010-561835-1-901-2,yes,nk_party,
1004,2010-561835-1-103-1,yes,sos_party,
1004,2010-561835-1-190-4,absent,ohmo_party,
1004,2010-561835-1-158-1,absent,sn_party,
1004,2010-561835-1-190-6,yes,ohmo_party,
1004,2010-561835-1-53-4,yes,ods_party,
1004,2010-561835-1-190-1,yes,ohmo_party,
1004,2010-561835-1-103-2,yes,sos_party,
1004,2010-561835-1-190-2,yes,ohmo_party,
1004,2010-561835-1-721-2,yes,top-09_party,
1004,2010-561835-1-7-1,yes,cssd_party,
1004,2010-561835-1-47-4,absent,kscm_party,
1004,2010-561835-1-47-1,yes,kscm_party,
1004,2010-561835-1-190-3,absent,ohmo_party,
1004,2010-561835-1-103-7,absent,sos_party,
1004,2010-561835-1-7-6,yes,cssd_party,
1004,2010-561835-1-190-5,absent,ohmo_party,
1005,2010-561835-1-901-2,yes,nk_party,
1005,2010-561835-1-103-1,yes,sos_party,
1005,2010-561835-1-190-4,yes,ohmo_party,
1005,2010-561835-1-158-1,absent,sn_party,
1005,2010-561835-1-190-6,yes,ohmo_party,
1005,2010-561835-1-53-4,yes,ods_party,
1005,2010-561835-1-190-1,yes,ohmo_party,
1005,2010-561835-1-103-2,yes,sos_party,
1005,2010-561835-1-190-2,yes,ohmo_party,
1005,2010-561835-1-721-2,yes,top-09_party,
1005,2010-561835-1-7-1,yes,cssd_party,
1005,2010-561835-1-47-4,absent,kscm_party,
1005,2010-561835-1-47-1,yes,kscm_party,
1005,2010-561835-1-190-3,absent,ohmo_party,
1005,2010-561835-1-103-7,absent,sos_party,
1005,2010-561835-1-7-6,yes,cssd_party,
1005,2010-561835-1-190-5,absent,ohmo_party,
1006,2010-561835-1-901-2,yes,nk_party,
1006,2010-561835-1-103-1,abstain,sos_party,
1006,2010-561835-1-190-4,yes,ohmo_party,
1006,2010-561835-1-158-1,absent,sn_party,
1006,2010-561835-1-190-6,no,ohmo_party,
1006,2010-561835-1-53-4,yes,ods_party,
1006,2010-561835-1-190-1,yes,ohmo_party,
1006,2010-561835-1-103-2,yes,sos_party,
1006,2010-561835-1-190-2,yes,ohmo_party,
1006,2010-561835-1-721-2,no,top-09_party,
1006,2010-561835-1-7-1,no,cssd_party,
1006,2010-561835-1-47-4,absent,kscm_party,
1006,2010-561835-1-47-1,yes,kscm_party,
1006,2010-561835-1-190-3,absent,ohmo_party,
1006,2010-561835-1-103-7,absent,sos_party,
1006,2010-561835-1-7-6,abstain,cssd_party,
1006,2010-561835-1-190-5,absent,ohmo_party,
1007,2010-561835-1-901-2,yes,nk_party,
1007,2010-561835-1-103-1,yes,sos_party,
1007,2010-561835-1-190-4,yes,ohmo_party,
1007,2010-561835-1-158-1,absent,sn_party,
1007,2010-561835-1-190-6,yes,ohmo_party,
1007,2010-561835-1-53-4,yes,ods_party,
1007,2010-561835-1-190-1,abstain,ohmo_party,
1007,2010-561835-1-103-2,yes,sos_party,
1007,2010-561835-1-190-2,yes,ohmo_party,
1007,2010-561835-1-721-2,yes,top-09_party,
1007,2010-561835-1-7-1,yes,cssd_party,
1007,2010-561835-1-47-4,absent,kscm_party,
1007,2010-561835-1-47-1,yes,kscm_party,
1007,2010-561835-1-190-3,absent,ohmo_party,
1007,2010-561835-1-103-7,absent,sos_party,
1007,2010-561835-1-7-6,yes,cssd_party,
1007,2010-561835-1-190-5,absent,ohmo_party,
1008,2010-561835-1-901-2,yes,nk_party,
1008,2010-561835-1-103-1,yes,sos_party,
1008,2010-561835-1-190-4,yes,ohmo_party,
1008,2010-561835-1-158-1,absent,sn_party,
1008,2010-561835-1-190-6,yes,ohmo_party,
1008,2010-561835-1-53-4,yes,ods_party,
1008,2010-561835-1-190-1,yes,ohmo_party,
1008,2010-561835-1-103-2,yes,sos_party,
1008,2010-561835-1-190-2,yes,ohmo_party,
1008,2010-561835-1-721-2,yes,top-09_party,
1008,2010-561835-1-7-1,yes,cssd_party,
1008,2010-561835-1-47-4,absent,kscm_party,
1008,2010-561835-1-47-1,yes,kscm_party,
1008,2010-561835-1-190-3,absent,ohmo_party,
1008,2010-561835-1-103-7,absent,sos_party,
1008,2010-561835-1-7-6,yes,cssd_party,
1008,2010-561835-1-190-5,absent,ohmo_party,
1009,2010-561835-1-901-2,yes,nk_party,
1009,2010-561835-1-103-1,yes,sos_party,
1009,2010-561835-1-190-4,yes,ohmo_party,
1009,2010-561835-1-158-1,absent,sn_party,
1009,2010-561835-1-190-6,yes,ohmo_party,
1009,2010-561835-1-53-4,yes,ods_party,
1009,2010-561835-1-190-1,yes,ohmo_party,
1009,2010-561835-1-103-2,yes,sos_party,
1009,2010-561835-1-190-2,yes,ohmo_party,
1009,2010-561835-1-721-2,yes,top-09_party,
1009,2010-561835-1-7-1,yes,cssd_party,
1009,2010-561835-1-47-4,absent,kscm_party,
1009,2010-561835-1-47-1,yes,kscm_party,
1009,2010-561835-1-190-3,absent,ohmo_party,
1009,2010-561835-1-103-7,absent,sos_party,
1009,2010-561835-1-7-6,yes,cssd_party,
1009,2010-561835-1-190-5,absent,ohmo_party,
1010,2010-561835-1-901-2,yes,nk_party,
1010,2010-561835-1-103-1,yes,sos_party,
1010,2010-561835-1-190-4,yes,ohmo_party,
1010,2010-561835-1-158-1,absent,sn_party,
1010,2010-561835-1-190-6,abstain,ohmo_party,
1010,2010-561835-1-53-4,yes,ods_party,
1010,2010-561835-1-190-1,yes,ohmo_party,
1010,2010-561835-1-103-2,yes,sos_party,
1010,2010-561835-1-190-2,yes,ohmo_party,
1010,2010-561835-1-721-2,yes,top-09_party,
1010,2010-561835-1-7-1,yes,cssd_party,
1010,2010-561835-1-47-4,absent,kscm_party,
1010,2010-561835-1-47-1,yes,kscm_party,
1010,2010-561835-1-190-3,absent,ohmo_party,
1010,2010-561835-1-103-7,absent,sos_party,
1010,2010-561835-1-7-6,yes,cssd_party,
1010,2010-561835-1-190-5,absent,ohmo_party,
1011,2010-561835-1-901-2,yes,nk_party,
1011,2010-561835-1-103-1,yes,sos_party,
1011,2010-561835-1-190-4,yes,ohmo_party,
1011,2010-561835-1-158-1,absent,sn_party,
1011,2010-561835-1-190-6,yes,ohmo_party,
1011,2010-561835-1-53-4,yes,ods_party,
1011,2010-561835-1-190-1,yes,ohmo_party,
1011,2010-561835-1-103-2,yes,sos_party,
1011,2010-561835-1-190-2,yes,ohmo_party,
1011,2010-561835-1-721-2,yes,top-09_party,
1011,2010-561835-1-7-1,yes,cssd_party,
1011,2010-561835-1-47-4,absent,kscm_party,
1011,2010-561835-1-47-1,yes,kscm_party,
1011,2010-561835-1-190-3,absent,ohmo_party,
1011,2010-561835-1-103-7,absent,sos_party,
1011,2010-561835-1-7-6,yes,cssd_party,
1011,2010-561835-1-190-5,absent,ohmo_party,
1012,2010-561835-1-901-2,yes,nk_party,
1012,2010-561835-1-103-1,yes,sos_party,
1012,2010-561835-1-190-4,yes,ohmo_party,
1012,2010-561835-1-158-1,absent,sn_party,
1012,2010-561835-1-190-6,yes,ohmo_party,
1012,2010-561835-1-53-4,yes,ods_party,
1012,2010-561835-1-190-1,yes,ohmo_party,
1012,2010-561835-1-103-2,yes,sos_party,
1012,2010-561835-1-190-2,yes,ohmo_party,
1012,2010-561835-1-721-2,yes,top-09_party,
1012,2010-561835-1-7-1,yes,cssd_party,
1012,2010-561835-1-47-4,absent,kscm_party,
1012,2010-561835-1-47-1,yes,kscm_party,
1012,2010-561835-1-190-3,absent,ohmo_party,
1012,2010-561835-1-103-7,absent,sos_party,
1012,2010-561835-1-7-6,yes,cssd_party,
1012,2010-561835-1-190-5,absent,ohmo_party,
1013,2010-561835-1-901-2,yes,nk_party,
1013,2010-561835-1-103-1,yes,sos_party,
1013,2010-561835-1-190-4,yes,ohmo_party,
1013,2010-561835-1-158-1,absent,sn_party,
1013,2010-561835-1-190-6,yes,ohmo_party,
1013,2010-561835-1-53-4,yes,ods_party,
1013,2010-561835-1-190-1,yes,ohmo_party,
1013,2010-561835-1-103-2,yes,sos_party,
1013,2010-561835-1-190-2,yes,ohmo_party,
1013,2010-561835-1-721-2,yes,top-09_party,
1013,2010-561835-1-7-1,yes,cssd_party,
1013,2010-561835-1-47-4,absent,kscm_party,
1013,2010-561835-1-47-1,yes,kscm_party,
1013,2010-561835-1-190-3,absent,ohmo_party,
1013,2010-561835-1-103-7,absent,sos_party,
1013,2010-561835-1-7-6,yes,cssd_party,
1013,2010-561835-1-190-5,absent,ohmo_party,
2001,2010-561835-1-901-2,absent,nk_party,
2001,2010-561835-1-103-1,yes,sos_party,
2001,2010-561835-1-190-4,absent,ohmo_party,
2001,2010-561835-1-158-1,yes,sn_party,
2001,2010-561835-1-190-6,yes,ohmo_party,
2001,2010-561835-1-53-4,yes,ods_party,
2001,2010-561835-1-190-1,yes,ohmo_party,
2001,2010-561835-1-103-2,yes,sos_party,
