id,name,organization:party,organization:affiliation,organization:list,
2010-584665-1-721-3,Fila Jiří Mgr.,top-09_party,bezpp_affiliation,721_list,
2010-584665-1-53-5,Glos Jaroslav,ods_party,bezpp_affiliation,53_list,
2010-584665-1-53-8,Gréeová Eva,ods_party,bezpp_affiliation,53_list,
2010-584665-1-901-2,Kaňa Pavel Ing.,nk_party,bezpp_affiliation,901_list,
2010-584665-1-721-1,"Košut Marek Mgr., Bc.",top-09_party,bezpp_affiliation,721_list,
2010-584665-1-470-2,Krutáková Jana Ing.,stan_party,bezpp_affiliation,470_list,
2010-584665-1-901-1,Kučera Jaroslav,nk_party,bezpp_affiliation,901_list,
2010-584665-1-53-2,Parma Zbyněk Ing.,ods_party,bezpp_affiliation,53_list,
2010-584665-1-470-4,Petrjanošová Soňa Mgr.,stan_party,bezpp_affiliation,470_list,
2010-584665-1-470-3,Sládek Tomáš Ing.,nk_party,bezpp_affiliation,470_list,
2010-584665-1-901-4,Šrámek Pavel,nk_party,bezpp_affiliation,901_list,
2010-584665-1-1-2,Tuček Jan,kdu-csl_party,kdu-csl_affiliation,1_list,
2010-584665-1-901-5,Valihrach Milan,nk_party,bezpp_affiliation,901_list,
2010-584665-1-1-1,Vaněk Radek Ing.,kdu-csl_party,bezpp_affiliation,1_list,
2010-584665-1-470-1,Zugar Pavel Ing.,stan_party,bezpp_affiliation,470_list,
2010-584665-1-901-3,Maděřič Jan,nk_party,bezpp_affiliation,901_list,
2010-584665-1-721-5,Špačková Kučerová Eva MUDr.,top-09_party,bezpp_affiliation,721_list,
