id,classification_id,classification,name,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
kscm_party,party,Navrhující strana,Komunistická strana Čech a Moravy,
kdu-csl_party,party,Navrhující strana,Křesťan.a demokrat.unie-Českosl.strana lidová,
top-09_party,party,Navrhující strana,TOP 09,
cssd_party,party,Navrhující strana,Česká strana sociálně demokratická,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
kdu-csl_affiliation,affiliation,Stranická příslušnost,Křesťan.a demokrat.unie-Českosl.strana lidová,
cssd_affiliation,affiliation,Stranická příslušnost,Česká strana sociálně demokratická,
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
47_list,list,Kandidátní listina,Komunistická strana Čech a Moravy,
1_list,list,Kandidátní listina,Křesťan.a demokrat.unie-Českosl.strana lidová,
480_list,list,Kandidátní listina,"Sdružení TOP 09, NK",
902_list,list,Kandidátní listina,listina nezávislých kandidátů,
7_list,list,Kandidátní listina,Česká strana sociálně demokratická,
