id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-06,"Zahájení, program ustavujícího zasedání zastupitelstva městyse",1,"Zastupitelstvo Městyse Moravská Nová Ves jednohlasně schválilo, že volba starosty,
místostarosty a členů rady proběhne veřejným hlasováním.",
1002,1,2014-11-06,"Zahájení, program ustavujícího zasedání zastupitelstva městyse",1,Zastupitelstvo Městyse Moravská Nová Ves jednohlasně schválilo zapisovatelku zápisu p. 
Martinu Janulíkovou.,
1003,1,2014-11-06,"Zahájení, program ustavujícího zasedání zastupitelstva městyse",1,Zastupitelstvo Městyse Moravská Nová Ves schválilo ověřovatele zápisu p. Mgr. Jiřího Filu.,
1004,1,2014-11-06,"Zahájení, program ustavujícího zasedání zastupitelstva městyse",1,Zastupitelstvo Městyse Moravská Nová Ves schválilo ověřovatele zápisu p. Jaroslava Glose.,
1005,1,2014-11-06,"Zahájení, program ustavujícího zasedání zastupitelstva městyse",1,Zastupitelstvo Městyse Moravská Nová Ves jednohlasně schválilo program ustavujícího
zasedání.,
1006,1,2014-11-06,Volba starosty a místostarosty,1,Zastupitelstvo Městyse Moravská Nová Ves jednohlasně schválilo počet místostarostů na
jednoho místostarostu.,
1007,1,2014-11-06,Volba starosty a místostarosty,1,"Zastupitelstvo Městyse Moravská Nová Ves jednohlasně schválilo, že jako dlouhodobě
uvolnění budou funkci vykonávat starosta a místostarosta.",
1008,1,2014-11-06,Volba starosty a místostarosty,1,"Zastupitelstvo Městyse Moravská Nová Ves schválilo, že funkci starosty Městyse Moravská 
Nová Ves bude vykonávat pan Mgr. Marek Košut.",
1009,1,2014-11-06,Volba starosty a místostarosty,1,"Zastupitelstvo Městyse Moravská Nová Ves schválilo, že funkci místostarosty Městyse 
Moravská Nová Ves bude vykonávat pan Ing. Igor Antal.",
1010,1,2014-11-06,Volba členů rady městyse,2,"Zastupitelstvo Městyse Moravská Nová Ves jednohlasně schválilo, že funkci členů rady
budou mimo starosty a místostarosty vykonávat další tři členové zastupitelstva.",
1011,1,2014-11-06,Volba členů rady městyse,2,"Zastupitelstvo Městyse Moravská Nová Ves schválilo, že funkci člena Rady Městyse
Moravská Nová Ves bude vykonávat paní Eva Gréeová.",
1012,1,2014-11-06,Volba členů rady městyse,2,"Zastupitelstvo Městyse Moravská Nová Ves schválilo, že funkci člena Rady Městyse 
Moravská Nová Ves bude vykonávat p. Mgr. Soňa Petrjanošová.",
1013,1,2014-11-06,Volba členů rady městyse,2,"Zastupitelstvo Městyse Moravská Nová Ves schválilo, že funkci člena Rady městyse 
Moravská Nová Ves bude vykonávat p. JUDr. Rostislav Silný.",
1014,1,2014-11-06,Zřízení finančního a kontrolního výboru,3,Zastupitelstvo Městyse Moravská Nová Ves jednohlasně schválilo počet členů Finančního
výboru Zastupitelstva Městyse Moravská Nová Ves na pět členů.,
1015,1,2014-11-06,Zřízení finančního a kontrolního výboru,3,Zastupitelstvo Městyse Moravská Nová Ves jednohlasně schválilo počet členů Kontrolního
výboru Zastupitelstva Městyse Moravská Nová Ves na tři členy.,
1016,1,2014-11-06,Zřízení finančního a kontrolního výboru,3,"Zastupitelstvo Městyse Moravská Nová Ves schválilo, že funkci předsedy Finančního výboru 
Zastupitelstva Městyse Moravská Nová Ves bude vykonávat p. JUDr. Rostislav Silný.",
1017,1,2014-11-06,Zřízení finančního a kontrolního výboru,3,"Zastupitelstvo Městyse Moravská Nová Ves schválilo, že funkci člena Finančního výboru
Zastupitelstva Městyse Moravská Nová Ves bude vykonávat pan Ing. Michal Košut.",
1018,1,2014-11-06,Zřízení finančního a kontrolního výboru,3,"Zastupitelstvo Městyse Moravská Nová Ves schválilo, že funkci člena Finančního výboru
Zastupitelstva Městyse Moravská Nová Ves bude vykonávat p. Ing. Radek Vaněk.",
1019,1,2014-11-06,Zřízení finančního a kontrolního výboru,3,"Zastupitelstvo Městyse Moravská Nová Ves schválilo, že funkci člena Finančního výboru
Zastupitelstva Městyse Moravská Nová Ves bude vykonávat p. Pavel Časný.",
1020,1,2014-11-06,Zřízení finančního a kontrolního výboru,3,"Zastupitelstvo Městyse Moravská Nová Ves schválilo, že funkci člena Finančního výboru 
Zastupitelstva Městyse Moravská Nová Ves bude vykonávat p. Lenka Schwartzová.",
1021,1,2014-11-06,Zřízení finančního a kontrolního výboru,3,"Zastupitelstvo Městyse Moravská Nová Ves schválilo, že funkci předsedy Kontrolního
výboru Zastupitelstva Městyse Moravská Nová Ves bude vykonávat p. Bohumír Bezchleba.",
1022,1,2014-11-06,Zřízení finančního a kontrolního výboru,3,"Zastupitelstvo Městyse Moravská Nová Ves jednohlasně schválilo, že funkci člena 
Kontrolního výboru Zastupitelstva Městyse Moravská Nová Ves bude vykonávat p. Marcel 
Seibert.",
1023,1,2014-11-06,Zřízení finančního a kontrolního výboru,3,"Zastupitelstvo Městyse Moravská Nová Ves schválilo, že funkci člena Kontrolního výboru
Zastupitelstva Městyse Moravská Nová Ves bude vykonávat p. Ing. Josef Tuček.",
1024,1,2014-11-06,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva.,4,"Zastupitelstvo městyse Moravská Nová Ves schválilo odměnu za výkon funkce člena 
Zastupitelstva Městyse Moravská Nová Ves ve výši 360,- Kč měsíčně ode dne schválení.",
1025,1,2014-11-06,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva.,4,"Zastupitelstvo Městyse Moravská Nová Ves schválilo odměnu za výkon funkce člena Rady
Městyse Moravská Nová Ves ve výši 1 300,- Kč měsíčně ode dne schválení.",
1026,1,2014-11-06,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva.,4,"Zastupitelstvo Městyse Moravská Nová Ves schválilo odměnu za výkon funkce předsedy 
Kontrolního a Finančního výboru Zastupitelstva Městyse Moravská Nová Ves ve výši 1 120,-
Kč měsíčně ode dne schválení.",
1027,1,2014-11-06,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva.,4,"Zastupitelstvo Městyse Moravská Nová Ves schválilo odměnu za výkon funkce člena
Kontrolního a Finančního výboru Zastupitelstva Městyse Moravská Nová Ves ve výši 880,-
Kč měsíčně ode dne schválení.",
1028,1,2014-11-06,Volba statutárních zástupců městyse,5,"Zastupitelstvo Městyse Moravská Nová Ves schválilo, že práva akcionáře na jednáních
orgánů společnosti Hantály a.s., se sídlem Tovární 22, Velké Pavlovice, IČ 42324068 bude 
vykonávat starosta městyse p. Mgr. Marek Košut.",
1029,1,2014-11-06,Volba statutárních zástupců městyse,5,"Zastupitelstvo Městyse Moravská Nová Ves schválilo, že zastupovat při výkonu práv
akcionáře na jednáních orgánů společnosti Hantály a.s., se sídlem Tovární 22, Velké 
Pavlovice, IČ 42324068 bude pan Ing. Igor Antal.",
1030,1,2014-11-06,Volba statutárních zástupců městyse,5,"Zastupitelstvo Městyse Moravská Nová Ves schválilo, že práva akcionáře na jednáních
orgánů společnosti Vodovody a kanalizace Hodonín, se sídlem Purkyňova 2933/2, Hodonín, 
IČ 49454544 bude vykonávat pan Ing. Igor Antal.",
1031,1,2014-11-06,Volba statutárních zástupců městyse,5,"Zastupitelstvo Městyse Moravská Nová Ves jednohlasně schválilo, že zastupovat při výkonu
práv akcionáře na jednáních orgánů společnosti Vodovody a kanalizace Hodonín, se sídlem 
Purkyňova 2933/2, Hodonín, IČ 49454544 bude pan Mgr. Marek Košut.",
1032,1,2014-11-06,Volba statutárních zástupců městyse,5,"Zastupitelstvo Městyse Moravská Nová Ves jednohlasně schválilo, že zastupovat při výkonu
práv člena na jednáních orgánů Honebního společenstva Moravská nová Ves, se sídlem U 
Trati 921, IČ 46215981 bude p. Mgr. Marek Košut.",
1033,1,2014-11-06,Volba statutárních zástupců městyse,5,"Zastupitelstvo Městyse Moravská Nová Ves schválilo, že pověřen k přijímání prohlášení o
uzavření manželství bude pan Mgr. Marek Košut.",
1034,1,2014-11-06,Volba statutárních zástupců městyse,5,"Zastupitelstvo Městyse Moravská Nová Ves schválilo, že pověřen k přijímání prohlášení o 
uzavření manželství bude pan Ing. Igor Antal.",
1035,1,2014-11-06,Volba statutárních zástupců městyse,5,"Zastupitelstvo Městyse Moravská Nová Ves schválilo, že pověřena k přijímání prohlášení o
uzavření manželství bude paní Eva Gréeová.",
2001,2,2014-12-18,"Zahájení, program 2. veřejného zasedání zastupitelstva městyse.",1,Zastupitelstvo městyse neschválilo odstranění bodu „Pravomoci rady městyse“ z programu.,
2002,2,2014-12-18,"Zahájení, program 2. veřejného zasedání zastupitelstva městyse.",1,Zastupitelstvo Městyse Moravská Nová Ves schválilo program 2. veřejného zasedání
zastupitelstva.,
2003,2,2014-12-18,"Zahájení, program 2. veřejného zasedání zastupitelstva městyse.",1,Zastupitelstvo Městyse Moravská Nová Ves schválilo zapisovatelku zápisu 2. veřejného
zasedání zastupitelstva Bc. Petru Frýdkovou.,
2004,2,2014-12-18,"Zahájení, program 2. veřejného zasedání zastupitelstva městyse.",1,Zastupitelstvo Městyse Moravská Nová Ves schválilo ověřovatele zápisu 2. veřejného
zasedání zastupitelstva pana Mgr. Jiřího Filu.,
2005,2,2014-12-18,"Zahájení, program 2. veřejného zasedání zastupitelstva městyse.",1,Zastupitelstvo Městyse Moravská Nová Ves schválilo ověřovatele zápisu 2. veřejného
zasedání zastupitelstva Ing. Josefa Tučka.,
2006,2,2014-12-18,"Zahájení, program 2. veřejného zasedání zastupitelstva městyse.",1,"Zastupitelstvo Městyse Moravská Nová Ves vzalo na vědomí zápis z ustavujícího zasedání 
zastupitelstva městyse, konaného dne 6.11.2014.",
2007,2,2014-12-18,Zpráva o činnosti rady městyse,2,Zastupitelstvo Městyse Moravská Nová Ves vzalo na vědomí zprávu o činnosti Rady 
městyse Moravská Nová Ves ze zasedání č. 1-2.,
2008,2,2014-12-18,Zpráva Finančního výboru zastupitelstva,3,Zastupitelstvo Městyse Moravská Nová Ves vzalo na vědomí zápis Finančního výboru 
zastupitelstva městyse.,
2009,2,2014-12-18,Převody majetku,4,"Zastupitelstvo Městyse Moravská Nová Ves schválilo nákup pozemku parc.č. 1717/109
v obci a k.ú. Moravská Nová Ves za 294 400,- Kč, kdy náklady s převodem pozemku nese 
kupující.",
2010,2,2014-12-18,Převody majetku,4,"Zastupitelstvo Městyse Moravská Nová Ves schválilo nákup pozemku parc.č. 1717/110 a
parc.č. 1717/111 v obci a k.ú. Moravská Nová Ves, za 248 600,- Kč, kdy náklady 
s převodem pozemku nese kupující.",
2011,2,2014-12-18,Převody majetku,4,"Zastupitelstvo Městyse Moravská Nová Ves schválilo nákup pozemku parc.č. 1717/38 a
parc.č. 1717/114 v obci a k.ú. Moravská Nová Ves, za 102 400,- Kč, kdy náklady s převodem 
pozemku nese kupující.",
2012,2,2014-12-18,Převody majetku,4,"Zastupitelstvo Městyse Moravská Nová Ves schválilo nákup pozemku parc.č. 1717/40, parc. 
č. 1717/41, parc.č. 1717/116 a parc.č. 1717/117 v obci a k.ú. Moravská Nová Ves v obci a
k.ú. Moravská Nová Ves, za 206 800,- Kč, kdy náklady s převodem pozemku nese kupující.",
2013,2,2014-12-18,Převody majetku,4,"Zastupitelstvo Městyse Moravská Nová Ves schválilo nákup pozemku parc.č. 1717/42 a 
parc.č. 1717/118 v obci a k.ú. Moravská Nová Ves, za 188 800,- Kč, kdy náklady s převodem 
pozemku nese kupující.",
2014,2,2014-12-18,Převody majetku,4,"Zastupitelstvo Městyse Moravská Nová Ves schválilo nákup pozemku parc.č. 1717/120, parc. 
č. 1717/121, parc.č. 1717/132 v obci a k.ú. Moravská Nová Ves, za 506 200,- Kč, kdy 
náklady s převodem pozemku nese kupující.",
2015,2,2014-12-18,Převody majetku,4,"Zastupitelstvo Městyse Moravská Nová Ves schválilo nákup pozemku parc.č. 1717/122 a
parc.č. 1717/133 v obci a k.ú. Moravská Nová Ves, za 483 800,- Kč, kdy náklady s převodem 
pozemku nese kupující.",
2016,2,2014-12-18,Převody majetku,4,"Zastupitelstvo Městyse Moravská Nová Ves schválilo nákup pozemku parc.č. 1717/124 
v obci a k.ú. Moravská Nová Ves, za 255 000,- Kč, kdy náklady s převodem pozemku nese 
kupující.",
2017,2,2014-12-18,Převody majetku,4,"Zastupitelstvo Městyse Moravská Nová Ves schválilo nákup pozemku parc.č. 1717/126
v obci a k.ú. Moravská Nová Ves, za 234 800,- Kč, kdy náklady s převodem pozemku nese 
kupující.",
2018,2,2014-12-18,Převody majetku,4,"Zastupitelstvo Městyse Moravská Nová Ves schválilo nákup pozemku parc.č. 1717/129
v obci a k.ú. Moravská Nová Ves, za 125 600,- Kč, kdy náklady s převodem pozemku nese 
kupující.",
2019,2,2014-12-18,Převody majetku,4,"Zastupitelstvo Městyse Moravská Nová Ves schválilo nákup pozemku parc.č. 1717/130
v obci a k.ú. Moravská Nová Ves, za 234 200,- Kč, kdy náklady s převodem pozemku nese 
kupující.",
2020,2,2014-12-18,Převody majetku,4,"Zastupitelstvo Městyse Moravská Nová Ves schválilo nákup pozemku parc.č. 1717/131
v obci a k.ú. Moravská Nová Ves, za 240 000,- Kč, kdy náklady s převodem pozemku nese 
kupující.",
2021,2,2014-12-18,Převody majetku,4,"Zastupitelstvo Městyse Moravská Nová Ves schválilo nákup pozemku parc.č. 1717/134
v obci a k.ú. Moravská Nová Ves, za 224 800,- Kč, kdy náklady s převodem pozemku nese 
kupující.",
2022,2,2014-12-18,Převody majetku,4,"Zastupitelstvo Městyse Moravská Nová Ves schválilo nákup pozemku parc.č. 1717/103 a
parc.č. 1482/143 v obci a k.ú. Moravská Nová Ves, za 68 000,- Kč, kdy náklady s převodem 
pozemku a daň z nabití nemovitostí nese kupující.",
2023,2,2014-12-18,Převody majetku,4,"Zastupitelstvo Městyse Moravská Nová Ves schválilo nákup pozemku parc.č. 1717/125 
v obci a k.ú. Moravská Nová Ves, za 251 600,- Kč, kdy náklady s převodem pozemku nese 
kupující.",
