vote_event_id,voter_id,option,group_id,
1001,2014-584665-1-901-2,yes,nk_party,
1001,2014-584665-1-47-1,yes,kscm_party,
1001,2014-584665-1-1-6,yes,kdu-csl_party,
1001,2014-584665-1-480-8,yes,nk_party,
1001,2014-584665-1-902-7,yes,nk_party,
1001,2014-584665-1-480-2,yes,nk_party,
1001,2014-584665-1-901-9,yes,nk_party,
1001,2014-584665-1-480-9,yes,top-09_party,
1001,2014-584665-1-480-1,yes,top-09_party,
1001,2014-584665-1-902-9,yes,nk_party,
1001,2014-584665-1-901-12,yes,nk_party,
1001,2014-584665-1-1-1,yes,kdu-csl_party,
1001,2014-584665-1-7-1,yes,cssd_party,
1001,2014-584665-1-480-3,yes,top-09_party,
1001,2014-584665-1-7-2,yes,cssd_party,
1001,2014-584665-1-902-1,abstain,nk_party,
1002,2014-584665-1-901-2,yes,nk_party,
1002,2014-584665-1-47-1,yes,kscm_party,
1002,2014-584665-1-1-6,yes,kdu-csl_party,
1002,2014-584665-1-480-8,yes,nk_party,
1002,2014-584665-1-902-7,yes,nk_party,
1002,2014-584665-1-480-2,yes,nk_party,
1002,2014-584665-1-901-9,yes,nk_party,
1002,2014-584665-1-480-9,yes,top-09_party,
1002,2014-584665-1-480-1,yes,top-09_party,
1002,2014-584665-1-902-9,yes,nk_party,
1002,2014-584665-1-901-12,yes,nk_party,
1002,2014-584665-1-1-1,yes,kdu-csl_party,
1002,2014-584665-1-7-1,yes,cssd_party,
1002,2014-584665-1-480-3,yes,top-09_party,
1002,2014-584665-1-7-2,yes,cssd_party,
1002,2014-584665-1-902-1,abstain,nk_party,
1003,2014-584665-1-901-2,yes,nk_party,
1003,2014-584665-1-47-1,yes,kscm_party,
1003,2014-584665-1-1-6,yes,kdu-csl_party,
1003,2014-584665-1-480-8,abstain,nk_party,
1003,2014-584665-1-902-7,yes,nk_party,
1003,2014-584665-1-480-2,yes,nk_party,
1003,2014-584665-1-901-9,yes,nk_party,
1003,2014-584665-1-480-9,yes,top-09_party,
1003,2014-584665-1-480-1,yes,top-09_party,
1003,2014-584665-1-902-9,yes,nk_party,
1003,2014-584665-1-901-12,yes,nk_party,
1003,2014-584665-1-1-1,yes,kdu-csl_party,
1003,2014-584665-1-7-1,yes,cssd_party,
1003,2014-584665-1-480-3,yes,top-09_party,
1003,2014-584665-1-7-2,yes,cssd_party,
1003,2014-584665-1-902-1,abstain,nk_party,
1004,2014-584665-1-901-2,yes,nk_party,
1004,2014-584665-1-47-1,yes,kscm_party,
1004,2014-584665-1-1-6,yes,kdu-csl_party,
1004,2014-584665-1-480-8,yes,nk_party,
1004,2014-584665-1-902-7,abstain,nk_party,
1004,2014-584665-1-480-2,yes,nk_party,
1004,2014-584665-1-901-9,yes,nk_party,
1004,2014-584665-1-480-9,yes,top-09_party,
1004,2014-584665-1-480-1,yes,top-09_party,
1004,2014-584665-1-902-9,yes,nk_party,
1004,2014-584665-1-901-12,yes,nk_party,
1004,2014-584665-1-1-1,yes,kdu-csl_party,
1004,2014-584665-1-7-1,yes,cssd_party,
1004,2014-584665-1-480-3,yes,top-09_party,
1004,2014-584665-1-7-2,yes,cssd_party,
1004,2014-584665-1-902-1,abstain,nk_party,
1005,2014-584665-1-901-2,yes,nk_party,
1005,2014-584665-1-47-1,yes,kscm_party,
1005,2014-584665-1-1-6,yes,kdu-csl_party,
1005,2014-584665-1-480-8,yes,nk_party,
1005,2014-584665-1-902-7,yes,nk_party,
1005,2014-584665-1-480-2,yes,nk_party,
1005,2014-584665-1-901-9,yes,nk_party,
1005,2014-584665-1-480-9,yes,top-09_party,
1005,2014-584665-1-480-1,yes,top-09_party,
1005,2014-584665-1-902-9,yes,nk_party,
1005,2014-584665-1-901-12,yes,nk_party,
1005,2014-584665-1-1-1,yes,kdu-csl_party,
1005,2014-584665-1-7-1,yes,cssd_party,
1005,2014-584665-1-480-3,yes,top-09_party,
1005,2014-584665-1-7-2,yes,cssd_party,
1005,2014-584665-1-902-1,abstain,nk_party,
1006,2014-584665-1-901-2,yes,nk_party,
1006,2014-584665-1-47-1,yes,kscm_party,
1006,2014-584665-1-1-6,yes,kdu-csl_party,
1006,2014-584665-1-480-8,yes,nk_party,
1006,2014-584665-1-902-7,yes,nk_party,
1006,2014-584665-1-480-2,yes,nk_party,
1006,2014-584665-1-901-9,yes,nk_party,
1006,2014-584665-1-480-9,yes,top-09_party,
1006,2014-584665-1-480-1,yes,top-09_party,
1006,2014-584665-1-902-9,yes,nk_party,
1006,2014-584665-1-901-12,yes,nk_party,
1006,2014-584665-1-1-1,yes,kdu-csl_party,
1006,2014-584665-1-7-1,yes,cssd_party,
1006,2014-584665-1-480-3,yes,top-09_party,
1006,2014-584665-1-7-2,yes,cssd_party,
1006,2014-584665-1-902-1,abstain,nk_party,
1007,2014-584665-1-901-2,yes,nk_party,
