id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2010-11-08,Změna jednacího řádu – určení způsobu hlasování,2,"Zastupitelstvo města mění §11 odst. 12 Jednacího řádu zastupitelstva města Morkovice-Slížany následovně: slova „§107 odst. 2, 3“ se nahrazují slovy „§ 102a odst. 1 a § 107“. Po dobu funkčního období zastupitelstva bude ke všem bodům programu hlasováno veřejně, pokud nebude podán návrh na tajné hlasování.",
1002,1,2010-11-08,Určení počtu členů rady,3,"Zastupitelstvo města stanoví podle § 84 odst. 2 písm. m) zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění, počet členů rady města na pět.",
1003,1,2010-11-08,"Určení funkcí, pro které budou členové rady uvolněni",4,"Zastupitelstvo města stanoví podle § 84 odst. 2 písm. m) zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění, že počet dlouhodobě uvolněných členů zastupitelstva je jeden, a podle § 84 odst. 2 písm. k) zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění, je uvolněná funkce starosta.",
1004,1,2010-11-08,"Volba starosty, místostarosty a členů rady",5,"Zastupitelstvo města volí: starostou Mgr. Pavla Horáka, narozen 4.1.1961, bytem Olejna 780, Morkovice, místostarostou Jana Jablunku, narozen 30.3.1953, bytem 1. máje 652, Morkovice, členy rady Ing. Jana Blešu, Moniku Ševčíkovou, Petra Tlacha",
1005,1,2010-11-08,"Volba starosty, místostarosty a členů rady",5,"Zastupitelstvo města volí: starostou Mgr. Pavla Horáka, narozen 4.1.1961, bytem Olejna 780, Morkovice, místostarostou Jana Jablunku, narozen 30.3.1953, bytem 1. máje 652, Morkovice, členy rady Ing. Jana Blešu, Moniku Ševčíkovou, Vladimíra Štětinu",
1006,1,2010-11-08,"Určení místostarosty, zastupujícího starostu v době jeho nepřítomnosti",6,"Zastupitelstvo města určuje podle §104 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění, místostarostu Jana Jablunku k zastupování starosty v době jeho nepřítomnosti nebo v době, kdy starosta nevykonává funkci.",
1007,1,2010-11-08,Stanovení výše odměn neuvolněným členům zastupitelstva,7,"Zastupitelstvo města stanoví podle § 72 a § 84 odst. 2 písm. n) zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění, výši odměny místostarosty ve výši uvedené ve sloupci č. 7 a ostatním neuvolněným členům zastupitelstva jako součet odměn za jednotlivé funkce ve výši uvedené ve sloupcích 10 až 13 a příplatku uvedeného ve sloupci 14 Přílohy č. 1 k Nařízení vlády č. 37/2003 Sb., o odměnách za výkon funkce členů zastupitelstev ve znění pozdějších předpisů, a to ode dne prvního zasedání zastupitelstva, jehož se zúčastní, po celé funkční období zastupitelstva.",
1008,1,2010-11-08,Zřízení kontrolního výboru a volba jeho členů,8,"Zastupitelstvo města zřizuje podle § 84 odst. 2 písm. l a § 117 a násl. zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění, kontrolní výbor a stanoví počet jeho členů na 5. Zastupitelstvo města volí předsedu kontrolního výboru Petra Tlacha a členy kontrolního výboru Bronislavu Albrechtovou, Květoslava Blešu, Petra Jablunku a Evu Lejsalovou.",
1009,1,2010-11-08,Zřízení finančního výboru a volba jeho členů,9,"Zastupitelstvo města zřizuje podle § 84 odst. 2 písm. l a § 117 a násl. zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění, finanční výbor a stanoví počet jeho členů na 9. Zastupitelstvo města volí předsedu finančního výboru Mgr. Milana Budína a členy finančního výboru Tomáše Kocourka, Ing. Marii Pěnčíkovou, JUDr. Dagmar Šestákovou, Jenu Štěpánkovou, Miladu Teuchnerovou, Danuši Vabrouškovou a Jaromíra Kubíčka.",
1010,1,2010-11-08,Majetkoprávní úkony,10,Zastupitelstvo města schvaluje koupi pozemku p.č. 508/4 ostatní plocha o výměře 55 m2 v k.ú. Slížany od Ing. MVDr. Vladimíra Krpce za 1 100 Kč.,
