id,name,organization:party,organization:affiliation,organization:list,
2010-588768-1-470-7,Albrechtová Bronislava Mgr.,nk_party,bezpp_affiliation,470_list,
2010-588768-1-1-1,Bleša Jan Ing.,kdu-csl_party,kdu-csl_affiliation,1_list,
2010-588768-1-470-3,Budín Milan Mgr.,nk_party,bezpp_affiliation,470_list,
2010-588768-1-901-1,Frkal Zdeněk,nk_party,bezpp_affiliation,901_list,
2010-588768-1-901-5,Gavenda Pavel,nk_party,bezpp_affiliation,901_list,
2010-588768-1-470-1,Horák Pavel Mgr.,nk_party,bezpp_affiliation,470_list,
2010-588768-1-470-8,Charvátová Kamila,nk_party,bezpp_affiliation,470_list,
2010-588768-1-47-1,Jablunka Jan,kscm_party,kscm_affiliation,47_list,
2010-588768-1-901-8,Kocourek Tomáš,nk_party,bezpp_affiliation,901_list,
2010-588768-1-470-2,Kříčková Věra Mgr.,stan_party,bezpp_affiliation,470_list,
2010-588768-1-1-2,Lejsalová Eva,kdu-csl_party,bezpp_affiliation,1_list,
2010-588768-1-47-3,Pátík Miroslav,kscm_party,kscm_affiliation,47_list,
2010-588768-1-47-2,Pěnčíková Marie Ing.,kscm_party,kscm_affiliation,47_list,
2010-588768-1-470-4,Ševčíková Monika,nk_party,bezpp_affiliation,470_list,
2010-588768-1-167-2,Štětina Vladimír,hnpd_party,bezpp_affiliation,167_list,
2010-588768-1-901-3,Navrátil Jiří,nk_party,bezpp_affiliation,901_list,
2010-588768-1-901-2,Tlach Petr,nk_party,bezpp_affiliation,901_list,
2010-588768-1-47-8,Minks Jiří,kscm_party,kscm_affiliation,47_list,
