id,classification_id,classification,name,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
kdu-csl_party,party,Navrhující strana,Křesťan.a demokrat.unie-Českosl.strana lidová,
kscm_party,party,Navrhující strana,Komunistická strana Čech a Moravy,
usvit_party,party,Navrhující strana,Úsvit přímé demokracie,
cssd_party,party,Navrhující strana,Česká strana sociálně demokratická,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
kdu-csl_affiliation,affiliation,Stranická příslušnost,Křesťan.a demokrat.unie-Českosl.strana lidová,
kscm_affiliation,affiliation,Stranická příslušnost,Komunistická strana Čech a Moravy,
cssd_affiliation,affiliation,Stranická příslušnost,Česká strana sociálně demokratická,
470_list,list,Kandidátní listina,"Sdružení STAN, NK",
1_list,list,Kandidátní listina,Křesťan.a demokrat.unie-Českosl.strana lidová,
47_list,list,Kandidátní listina,Komunistická strana Čech a Moravy,
792_list,list,Kandidátní listina,Úsvit přímé demokracie,
7_list,list,Kandidátní listina,Česká strana sociálně demokratická,
