vote_event_id,voter_id,option,group_id,
1001,2010-538523-1-901-5,yes,nk_party,
1001,2010-538523-1-901-3,yes,nk_party,
1001,2010-538523-1-721-2,absent,top-09_party,
1001,2010-538523-1-721-4,yes,top-09_party,
1001,2010-538523-1-901-11,absent,nk_party,
1001,2010-538523-1-721-5,yes,top-09_party,
1001,2010-538523-1-7-11,yes,cssd_party,
1001,2010-538523-1-901-6,yes,nk_party,
1001,2010-538523-1-901-1,yes,nk_party,
1001,2010-538523-1-901-12,absent,nk_party,
1001,2010-538523-1-901-7,yes,nk_party,
1001,2010-538523-1-901-9,yes,nk_party,
1001,2010-538523-1-901-2,yes,nk_party,
1002,2010-538523-1-901-5,yes,nk_party,
1002,2010-538523-1-901-3,yes,nk_party,
1002,2010-538523-1-721-2,absent,top-09_party,
1002,2010-538523-1-721-4,yes,top-09_party,
1002,2010-538523-1-901-11,absent,nk_party,
1002,2010-538523-1-721-5,yes,top-09_party,
1002,2010-538523-1-7-11,yes,cssd_party,
1002,2010-538523-1-901-6,yes,nk_party,
1002,2010-538523-1-901-1,yes,nk_party,
1002,2010-538523-1-901-12,absent,nk_party,
1002,2010-538523-1-901-7,yes,nk_party,
1002,2010-538523-1-901-9,yes,nk_party,
1002,2010-538523-1-901-2,yes,nk_party,
1003,2010-538523-1-901-5,yes,nk_party,
1003,2010-538523-1-901-3,yes,nk_party,
1003,2010-538523-1-721-2,absent,top-09_party,
1003,2010-538523-1-721-4,yes,top-09_party,
1003,2010-538523-1-901-11,absent,nk_party,
1003,2010-538523-1-721-5,yes,top-09_party,
1003,2010-538523-1-7-11,yes,cssd_party,
1003,2010-538523-1-901-6,yes,nk_party,
1003,2010-538523-1-901-1,yes,nk_party,
1003,2010-538523-1-901-12,absent,nk_party,
1003,2010-538523-1-901-7,yes,nk_party,
1003,2010-538523-1-901-9,abstain,nk_party,
1003,2010-538523-1-901-2,yes,nk_party,
1004,2010-538523-1-901-5,abstain,nk_party,
1004,2010-538523-1-901-3,yes,nk_party,
1004,2010-538523-1-721-2,absent,top-09_party,
1004,2010-538523-1-721-4,yes,top-09_party,
1004,2010-538523-1-901-11,absent,nk_party,
1004,2010-538523-1-721-5,yes,top-09_party,
1004,2010-538523-1-7-11,yes,cssd_party,
1004,2010-538523-1-901-6,yes,nk_party,
1004,2010-538523-1-901-1,yes,nk_party,
1004,2010-538523-1-901-12,absent,nk_party,
1004,2010-538523-1-901-7,yes,nk_party,
1004,2010-538523-1-901-9,yes,nk_party,
1004,2010-538523-1-901-2,yes,nk_party,
1005,2010-538523-1-901-5,no,nk_party,
1005,2010-538523-1-901-3,abstain,nk_party,
1005,2010-538523-1-721-2,absent,top-09_party,
1005,2010-538523-1-721-4,no,top-09_party,
1005,2010-538523-1-901-11,absent,nk_party,
1005,2010-538523-1-721-5,no,top-09_party,
1005,2010-538523-1-7-11,abstain,cssd_party,
1005,2010-538523-1-901-6,no,nk_party,
1005,2010-538523-1-901-1,yes,nk_party,
1005,2010-538523-1-901-12,absent,nk_party,
1005,2010-538523-1-901-7,no,nk_party,
1005,2010-538523-1-901-9,no,nk_party,
1005,2010-538523-1-901-2,abstain,nk_party,
8001,2010-538523-1-901-5,yes,nk_party,
8001,2010-538523-1-901-3,absent,nk_party,
8001,2010-538523-1-721-2,yes,top-09_party,
8001,2010-538523-1-721-4,yes,top-09_party,
8001,2010-538523-1-901-11,yes,nk_party,
8001,2010-538523-1-721-5,yes,top-09_party,
8001,2010-538523-1-7-11,yes,cssd_party,
8001,2010-538523-1-901-6,absent,nk_party,
8001,2010-538523-1-901-1,yes,nk_party,
8001,2010-538523-1-901-12,absent,nk_party,
8001,2010-538523-1-901-7,yes,nk_party,
8001,2010-538523-1-901-9,yes,nk_party,
8001,2010-538523-1-901-2,yes,nk_party,
8002,2010-538523-1-901-5,yes,nk_party,
8002,2010-538523-1-901-3,absent,nk_party,
8002,2010-538523-1-721-2,yes,top-09_party,
8002,2010-538523-1-721-4,yes,top-09_party,
8002,2010-538523-1-901-11,yes,nk_party,
8002,2010-538523-1-721-5,yes,top-09_party,
8002,2010-538523-1-7-11,yes,cssd_party,
8002,2010-538523-1-901-6,absent,nk_party,
8002,2010-538523-1-901-1,yes,nk_party,
8002,2010-538523-1-901-12,absent,nk_party,
8002,2010-538523-1-901-7,yes,nk_party,
8002,2010-538523-1-901-9,yes,nk_party,
