id,name,organization:party,organization:affiliation,organization:list,
2014-538523-1-470-6,Bergmann Tomáš,nk_party,bezpp_affiliation,470_list,
2014-538523-1-470-9,Budínová Kateřina,nk_party,bezpp_affiliation,470_list,
2014-538523-1-470-7,Čadilová Kateřina Dr.,nk_party,bezpp_affiliation,470_list,
2014-538523-1-901-1,Doležel Petr Ing.,nk_party,bezpp_affiliation,901_list,
2014-538523-1-470-1,Eichnerová Marcela Ing.,nk_party,bezpp_affiliation,470_list,
2014-538523-1-470-4,Hegyi Robert,nk_party,bezpp_affiliation,470_list,
2014-538523-1-901-8,Hejduk Radek Ing.,nk_party,bezpp_affiliation,901_list,
2014-538523-1-721-5,Jakob Ondřej Mgr.,top-09_party,top-09_affiliation,721_list,
2014-538523-1-721-6,Klimentová Jana JUDr.,top-09_party,top-09_affiliation,721_list,
2014-538523-1-470-8,Křepelka Karel,nk_party,bezpp_affiliation,470_list,
2014-538523-1-901-2,Pokorný František,nk_party,kscm_affiliation,901_list,
2014-538523-1-470-2,Semanský Rudolf,stan_party,stan_affiliation,470_list,
2014-538523-1-721-1,Šavrda Jiří Ing.,top-09_party,top-09_affiliation,721_list,
2014-538523-1-470-5,Třeštík Patrik Ing.,nk_party,bezpp_affiliation,470_list,
2014-538523-1-470-3,Zima Přemysl Ing.,nk_party,bezpp_affiliation,470_list,
