id,legislative_session:number,start_date,item:number,motion:title,
1001,1,2014-11-11,2,"schválení kupní smlouvy na pozemek p. č. 1473/3 o výměře 55 m2 za cenu v místě obvyklou 50 Kč, za 1 m2, celková cena 2750 Kč",
1002,1,2014-11-11,3,"schválení výše místního poplatku za provoz systému shromažďování,  sběru, přepravy, třídění, využívání a odstraňování komunálních odpadů ve výši 450 Kč, pro osobu s trvalým pobytem v obci Mydlovary a 450 Kč, pro osobu, která nemá v obci trvalý pobyt, ale vlastní nemovitost",
1003,1,2014-11-11,5,schválení opravy hospody do POV 2015,
2001,2,2014-12-02,1,zveřejnění návrhu rozpočtu obce Mydlovary na úřední desce a na www.mydlovary.cz,
2002,2,2014-12-02,2,zrušení usnesení č. 47/2014 o místním poplatku,
2003,2,2014-12-02,3,schválení návrhu vyhlášky č.1/2014,
2004,2,2014-12-02,4,"schválení ceny vody na r. 2015, 36,18 Kč., za 1m3",
2005,2,2014-12-02,5,"schválení dodatku č. 1, smlouvy o dílo „Oprava požární zbrojnice Mydlovary“",
2006,2,2014-12-02,7,"schválení příspěvku na vánoční besídku ve výši 3000 Kč, ZŠ a MŠ Zahájí",
3001,3,2014-12-30,1,"OZ schvaluje rozpočet obce Mydlovary, na r. 2015, jako vyrovnaný na straně příjmů 3 083 000 Kč., na straně výdajů 3 083 000 Kč.",
3002,3,2014-12-30,2,"OZ schvaluje zařazení projektu POV 2015, „Oprava hospody Mydlovary“, do realizace v r. 2015.",
3003,3,2014-12-30,3,OZ schvaluje zakoupení badmintonové sítě.,
3004,3,2014-12-30,4,OZ schvaluje zjištění potřebnosti sociálních služeb formou ankety.,
3005,3,2014-12-30,6,OZ schvaluje změnu provozovatele hospody a nájemní smlouvu.,
4001,4,2015-01-27,2,"OZ schvaluje odkoupení pozemku KN 10/1 o výměře 284 m2 od ZOD Blata Sedlec, za dohodnutou cenu. OZ schvaluje kupní smlouvu na výše uvedený pozemek.",
4002,4,2015-01-27,3,OZ schvaluje návrh vyhlášky 1/2015,
4003,4,2015-01-27,4,OZ schvaluje návrh opravy hřiště s asfaltovým povrchem.,
4004,4,2015-01-27,5,OZ schvaluje zhotovení 2 ks závor do Obecního lesa.,
5001,5,2015-02-24,1,"OZ schvaluje účetní uzávěrku r. 2014, včetně inventarizační zprávy obce Mydlovary za rok 2014.",
5002,5,2015-02-24,2,OZ schvaluje výběr firmy na zhotovení díla „Oprava hospody Mydlovary“ a SOD.,
5003,5,2015-02-24,3,OZ schvaluje návrh změny a doplnění stanov Svazku Blata.,
5004,5,2015-02-24,4,"OZ schvaluje odkoupení pozemku p. č. 1669/12 o výměře 357 m2 a pozemku p. č. 1669/11 o výměře 53 m2 a cenu pro vyjednávání 25 až 30 Kč, za 1 m2.",
5005,5,2015-02-24,5,OZ schvaluje účast v projektu „Oranžový rok s JE Temelín 2015“ a program projektu.,
5006,5,2015-02-24,6,"OZ schvaluje odstranění 6 ks, tůjí a 1 ks jedle.",
5007,5,2015-02-24,8,"OZ schvaluje vybavení domácností v obci Mydlovary domácími kompostéry, s podmínkou obdržení dotace.",
6001,6,2015-03-31,1,OZ schvaluje odkoupení pozemku p. č. 1669/12 o výměře 357 m2 a pozemku p. č. 1669/11 o výměře 53 m2 a kupní smlouvy na oba pozemky,
6002,6,2015-03-31,2,"OZ schvaluje cenu stočného na r. 2015, 10 Kč za 1m3 odebrané a vypuštěné vody a smlouvu o provozování obecní kanalizace v Mydlovarech firmou ČEVAK, a.s.",
6003,6,2015-03-31,3,OZ schvaluje smlouvu o odebírání bioodpadu,
6004,6,2015-03-31,4,"schválení smlouvy mezi obcí Mydlovary a obcí Zahájí o finančním příspěvku 50 000 Kč, na pořízení herních prvků v MŠ Zahájí",
6005,6,2015-03-31,5,OZ schvaluje odpisový plán pro rok 2015.,
6006,6,2015-03-31,6,OZ schvaluje darovací smlouvu ve výši 30 000 Kč.,
7001,7,2015-04-28,1,OZ schvaluje dodatek č. 1 k SOD na akci „Oprava hospody Mydlovary“.,
7002,7,2015-04-28,2,OZ schvaluje doplnění opravy hospody.,
7003,7,2015-04-28,3,OZ schvaluje realizaci projektu „Oprava cesty na Blata“ v rámci Podpory regionů Nadace ČEZ.,
7004,7,2015-04-28,5,OZ schvaluje postup při vymáhání nezaplacených poplatků.,
7005,7,2015-04-28,6,OZ schvaluje řešení sezonních prací uzavřením dohody o provedení práce s příslušným pracovníkem.,
8001,8,2015-05-26,1,"OZ schvaluje celoroční hospodaření obce Mydlovary za r. 2014 a „Závěrečný účet r. 2014“, včetně zprávy o výsledku přezkoumání hospodaření, bez výhrad.",
8002,8,2015-05-26,2,"OZ schvaluje výběr zhotovitele, Rudolf Hlad a SOD na akci „Přístřešky na hasičském hřišti“.",
8003,8,2015-05-26,4,"OZ pověřuje starostu, aby získal informace, které by lépe vysvětlili problematiku uzavírání věcných břemen věcných břemen.",
8004,8,2015-05-26,5,OZ schvaluje úpravu stránek www.mydlovary.cz za cenu 8 000 Kč.,
8005,8,2015-05-26,6,OZ schvaluje postup pro vymáhání nezaplacených obecních poplatků.,
9001,9,2015-06-30,1,OZ schvaluje návrh smluv o zřízení věcných břemen pro plynovodní přípojky.,
9002,9,2015-06-30,2,"OZ schvaluje výběr zhotovitele, Signistav s.r.o, Petr Švejda, a SOD na akci „Zajištění bezpečnosti dopravy a chodců v obci Mydlovary“.",
9003,9,2015-06-30,3,OZ vyjadřuje kladné stanovisko k výstavbě distribuční trafostanice.,
