vote_event_id,voter_id,option,group_id,
1001,2014-550451-1-166-3,yes,stan_party,
1001,2014-550451-1-901-5,yes,nk_party,
1001,2014-550451-1-47-5,yes,kscm_party,
1001,2014-550451-1-901-1,yes,nk_party,
1001,2014-550451-1-47-2,yes,kscm_party,
1001,2014-550451-1-901-4,yes,nk_party,
1001,2014-550451-1-901-2,yes,nk_party,
1001,2014-550451-1-47-1,yes,kscm_party,
1001,2014-550451-1-901-3,yes,nk_party,
1002,2014-550451-1-166-3,yes,stan_party,
1002,2014-550451-1-901-5,yes,nk_party,
1002,2014-550451-1-47-5,yes,kscm_party,
1002,2014-550451-1-901-1,yes,nk_party,
1002,2014-550451-1-47-2,yes,kscm_party,
1002,2014-550451-1-901-4,yes,nk_party,
1002,2014-550451-1-901-2,yes,nk_party,
1002,2014-550451-1-47-1,yes,kscm_party,
1002,2014-550451-1-901-3,yes,nk_party,
1003,2014-550451-1-166-3,yes,stan_party,
1003,2014-550451-1-901-5,yes,nk_party,
1003,2014-550451-1-47-5,yes,kscm_party,
1003,2014-550451-1-901-1,yes,nk_party,
1003,2014-550451-1-47-2,yes,kscm_party,
1003,2014-550451-1-901-4,yes,nk_party,
1003,2014-550451-1-901-2,yes,nk_party,
1003,2014-550451-1-47-1,yes,kscm_party,
1003,2014-550451-1-901-3,yes,nk_party,
1004,2014-550451-1-166-3,yes,stan_party,
1004,2014-550451-1-901-5,yes,nk_party,
1004,2014-550451-1-47-5,yes,kscm_party,
1004,2014-550451-1-901-1,yes,nk_party,
1004,2014-550451-1-47-2,abstain,kscm_party,
1004,2014-550451-1-901-4,yes,nk_party,
1004,2014-550451-1-901-2,yes,nk_party,
1004,2014-550451-1-47-1,abstain,kscm_party,
1004,2014-550451-1-901-3,yes,nk_party,
1005,2014-550451-1-166-3,abstain,stan_party,
1005,2014-550451-1-901-5,no,nk_party,
1005,2014-550451-1-47-5,yes,kscm_party,
1005,2014-550451-1-901-1,no,nk_party,
1005,2014-550451-1-47-2,yes,kscm_party,
1005,2014-550451-1-901-4,no,nk_party,
1005,2014-550451-1-901-2,no,nk_party,
1005,2014-550451-1-47-1,yes,kscm_party,
1005,2014-550451-1-901-3,no,nk_party,
1006,2014-550451-1-166-3,yes,stan_party,
1006,2014-550451-1-901-5,yes,nk_party,
1006,2014-550451-1-47-5,yes,kscm_party,
1006,2014-550451-1-901-1,yes,nk_party,
1006,2014-550451-1-47-2,yes,kscm_party,
1006,2014-550451-1-901-4,yes,nk_party,
1006,2014-550451-1-901-2,yes,nk_party,
1006,2014-550451-1-47-1,yes,kscm_party,
1006,2014-550451-1-901-3,yes,nk_party,
