id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-06,schválení programu,4,"schvalujeme program zasedání tak, jak byl uveřejněn na pozvánce.",
1002,1,2014-11-06,volba starosty,6,neschvalujeme p. Kuchynku Vladimíra-Bohuslava jako starostu obce Obora,
1003,1,2014-11-06,volba starosty,6,schvalujeme Mgr. Helenu Jurkovou jako starostku obce Obora,
1004,1,2014-11-06,určení počtu místostarostů,5,neschvalujeme dva místostarosty,
1005,1,2014-11-06,volba místostarosty,7,neschvalujeme p. Kuchynku Vladimíra-Bohuslava jako místostarostu obce Obora,
1006,1,2014-11-06,volba místostarosty,7,neschvalujem e p. Goubeje Jiřího jako místostarostu obce Obora.,
1007,1,2014-11-06,volba místostarosty,7,schvalujeme p. Kopču Luku jako místostarostu obce Obora.,
1008,1,2014-11-06,zřízení výborů,8,neschvalujeme p. Goubeje Jiřího jako předsedu finančního výboru obce Obora.,
1009,1,2014-11-06,zřízení výborů,8,schvalujeme p. Veselou Martinu jako předsedkyni finančního výboru obce Obora,
1010,1,2014-11-06,zřízení výborů,8,schvalujeme p. Kletečkovou Petru a p. Goubeje Jiřího jako členy finančního výboru obce Obora.,
1011,1,2014-11-06,zřízení výborů,8,neschvalujeme p. Kuchynku Vladimíra-Bohuslava jako předsedu kontrolního výboru obce Obora.,
1012,1,2014-11-06,zřízení výborů,8,schvalujeme p. Kopču Petra jako předsedu kontrolního výboru obce Obora.,
1013,1,2014-11-06,zřízení výborů,8,schvalujeme p. Nussbauera Zbyňka a p. Mikésku Jana jako členy kontrolního výboru obce Obora.,
1014,1,2014-11-06,odměny,9,schvalujeme výši odměn pro členy zastupitelstva dle přílohy č. 4,
1015,1,2014-11-06,jednací řád,10,"neschvalujeme změnu v Jednacím řádu tak, aby se zastupitelé střídali ve vedení zasedání zastupitelstva obce Obora",
2001,2,2014-12-17,program,0,schválen návrh na doplnění bodu Vodovod a vodojem do programu schůze.,
2002,2,2014-12-17,program,0,schválen program zasedáni doplněný o nový bod.,
2003,2,2014-12-17,rozpočet,3,"schvalujeme rozpočet na rok 2015 jako vyrovnaný ve výši 3106200,- Kč na",
2004,2,2014-12-17,rozpočet,3,"schvalujeme rozpočtové opatření č. 72014 kde na příjmech se navyšuje o 142117,- Kč , na výdajích se snižuje o 512332,50 Kč.",
2005,2,2014-12-17,územní plán,6,"schvalujeme zadání územního plánu Obora, které bylo doručeno odborem výstavby a územního plánování MěÚ Tachov, dne 10. 12. 2014 poď Č.J.2388/20I4-OVÚP/TC.",
2006,2,2014-12-17,pozemky,7,"schvalujeme prodej stavebního pozemku č. 481/24 manželům Krausovým za 50,Kč m2, s postupem nejprve na smlouvu o budoucí kupní smlouvě.",
2007,2,2014-12-17,pozemky,7,"neschvalujeme kompenzaci manželům Petříšťovým, dle jejich požadavku",
2008,2,2014-12-17,znak,8,schvalujeme znak obce Obory dle návrhu v příloze č. 8,
2009,2,2014-12-17,různé,9,schvalujeme zadání žádosti na krajský úřad PK na ÚP obce Obora s odpovědnou osobou za žádost starostkou iVlgr. Helenou Jurkovou,
2010,2,2014-12-17,různé,9,schvalujem e zadání žádosti na krajský úřad PK na místní komunikace obce Obora s odpovědnou osobou za žádost starostkou Mgr. Helenou Jurkovou,
2011,2,2014-12-17,různé,9,"schvalujeme podání žádosti na ÚPČR pro Plzeňský kraj, pracoviště Tachov na jedno pracovní místo na VPP na rok 2015.",
3001,3,2015-03-05,program,0,schvalujeme program dnešního zasedání dle návrhu.,
3002,3,2015-03-05,pozemky,4,schvalujeme prodej p.p.č. 481/19 v k.ú. Obora u Tachova na stavbu RD,
3003,3,2015-03-05,pozemky,4,schvalujeme prodej p.p.č. 481/23 v k.ú. Obora u Tachova na stavbu RD,
3004,3,2015-03-05,pozemky,4,schvalujeme zveřejnění záměru prodeje části pozemku 778/5 k.ú. Obora u Tachova o výměře cca 250 m 2 dle přílohy č.,
3005,3,2015-03-05,pozemky,4,schvalujeme zveřejnění záměru prodeje části pozemku 493/1 o výměře cca 151 m2 a pozemku 1037 o výměře 64 m2 v k.ú. Obora u Tachova,
3006,3,2015-03-05,pozemky,4,"schvalujeme prodej p.p.č. 762/1 o výměře 14596 m2 v k.ú. Obora u Tachova panu Aleši Turnérovi za cenu 12,- Kč za m2",
3007,3,2015-03-05,závěrka,5,"schvalujeme účetní závěrku obce Obora za rok 2014 s výsledkem hospodaření 1024469,82 Kč. Účetní závěrka za rok 2014 byla schválena, bez připomínek.",
3008,3,2015-03-05,odpady,9,"schvalujeme Obecně závaznou vyhlášku obce Obora č. 1/2015, která se týká systému shromažďování, sběru, přepravy, třídění, využívání a odstraňování komunálních odpadů vznikajících na území obce Obora, včetně nakládání se stavebním odpadem.",
