vote_event_id,voter_id,option,group_id,
1001,2014-541443-1-901-2,yes,nk_party,
1001,2014-541443-1-166-1,yes,stan_party,
1001,2014-541443-1-166-2,yes,stan_party,
1001,2014-541443-1-166-5,yes,stan_party,
1001,2014-541443-1-901-1,yes,nk_party,
1001,2014-541443-1-166-6,yes,stan_party,
1001,2014-541443-1-166-4,yes,stan_party,
1002,2014-541443-1-901-2,yes,nk_party,
1002,2014-541443-1-166-1,no,stan_party,
1002,2014-541443-1-166-2,no,stan_party,
1002,2014-541443-1-166-5,no,stan_party,
1002,2014-541443-1-901-1,yes,nk_party,
1002,2014-541443-1-166-6,no,stan_party,
1002,2014-541443-1-166-4,no,stan_party,
1003,2014-541443-1-901-2,no,nk_party,
1003,2014-541443-1-166-1,yes,stan_party,
1003,2014-541443-1-166-2,yes,stan_party,
1003,2014-541443-1-166-5,yes,stan_party,
1003,2014-541443-1-901-1,no,nk_party,
1003,2014-541443-1-166-6,yes,stan_party,
1003,2014-541443-1-166-4,yes,stan_party,
1004,2014-541443-1-901-2,yes,nk_party,
1004,2014-541443-1-166-1,no,stan_party,
1004,2014-541443-1-166-2,no,stan_party,
1004,2014-541443-1-166-5,no,stan_party,
1004,2014-541443-1-901-1,yes,nk_party,
1004,2014-541443-1-166-6,no,stan_party,
1004,2014-541443-1-166-4,no,stan_party,
1005,2014-541443-1-901-2,yes,nk_party,
1005,2014-541443-1-166-1,no,stan_party,
1005,2014-541443-1-166-2,no,stan_party,
1005,2014-541443-1-166-5,no,stan_party,
1005,2014-541443-1-901-1,yes,nk_party,
1005,2014-541443-1-166-6,no,stan_party,
1005,2014-541443-1-166-4,no,stan_party,
1006,2014-541443-1-901-2,yes,nk_party,
1006,2014-541443-1-166-1,no,stan_party,
1006,2014-541443-1-166-2,no,stan_party,
1006,2014-541443-1-166-5,no,stan_party,
1006,2014-541443-1-901-1,yes,nk_party,
1006,2014-541443-1-166-6,no,stan_party,
1006,2014-541443-1-166-4,no,stan_party,
1007,2014-541443-1-901-2,no,nk_party,
1007,2014-541443-1-166-1,yes,stan_party,
1007,2014-541443-1-166-2,yes,stan_party,
1007,2014-541443-1-166-5,yes,stan_party,
1007,2014-541443-1-901-1,no,nk_party,
1007,2014-541443-1-166-6,yes,stan_party,
1007,2014-541443-1-166-4,yes,stan_party,
1008,2014-541443-1-901-2,yes,nk_party,
1008,2014-541443-1-166-1,abstain,stan_party,
1008,2014-541443-1-166-2,no,stan_party,
1008,2014-541443-1-166-5,no,stan_party,
1008,2014-541443-1-901-1,yes,nk_party,
1008,2014-541443-1-166-6,abstain,stan_party,
1008,2014-541443-1-166-4,abstain,stan_party,
1009,2014-541443-1-901-2,no,nk_party,
1009,2014-541443-1-166-1,yes,stan_party,
1009,2014-541443-1-166-2,yes,stan_party,
1009,2014-541443-1-166-5,yes,stan_party,
1009,2014-541443-1-901-1,no,nk_party,
1009,2014-541443-1-166-6,yes,stan_party,
1009,2014-541443-1-166-4,abstain,stan_party,
1010,2014-541443-1-901-2,yes,nk_party,
1010,2014-541443-1-166-1,abstain,stan_party,
1010,2014-541443-1-166-2,yes,stan_party,
1010,2014-541443-1-166-5,yes,stan_party,
1010,2014-541443-1-901-1,yes,nk_party,
