id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-12-16,U 2.01/ 07 /2014,2,Zastupitelstvo obce odročuje schválení předloženého Jednacího řádu zastupitelstva obce na příští jednání zastupitelstva obce.,
1002,1,2014-12-16,U 3.01/ 07 /2014,3,"Zastupitelstvo obce schvaluje přijetí kontokorentního úvěru ve výši 2,0 mil. Kč pro rok 2015 se splatností do 23.12.2015 u České spořitelny a.s., pobočka Pardubice.",
1003,1,2014-12-16,U 4.01/ 07 /2014,4,Zastupitelstvo obce schvaluje plán kontrolní činnosti kontrolního výboru na rok 2015.,
1004,1,2014-12-16,U 5.01/ 07 /2014,5,"Zastupitelstvo odročuje projednání tohoto bodu do doby, než budou předloženy ekonomické a právní rozbory stávající situace týkající se smlouvy o smlouvě budoucí kupní a jejího doplňku č. 1.",
1005,1,2014-12-16,U 6.01/ 07 /2014,6,"Zastupitelstvo schvaluje převedení plánovaného přebytku rozpočtu 2015 ve výši 226,6 tis. Kč na pokrytí investice do § 3111 pol. 6xxx.",
1006,1,2014-12-16,U 6.02/ 07 /2014,6,"Zastupitelstvo obce schvaluje: 1. rozpočet obce Opatovice nad Labem na rok 2015 o celkových příjmech ve výši 42 281 600,- Kč, celkových výdajích 37 581 600,-Kč a celkovém financování ve výši 4 700 000,- Kč; 2. závazné ukazatele rozpočtu obce Opatovice nad Labem na rok 2015 a to tak, že stanoví dle platné rozpočtové skladby členění příjmové části rozpočtu do tříd 1,2,3,4 a závazné ukazatele pro výdajovou část rozpočtu stanoví v členění do jednotlivých paragrafů na běžné a kapitálové výdaje dle přílohy č. 4, která je nedílnou součástí tohoto usnesení, 3. příspěvek příspěvkovým organizacím takto a) Základní škole v Opatovicích nad Labem: b) Mateřské škole v Opatovicích nad Labem: ;4. příděl do Sociálního fondu ve výši 204 000 Kč; 1. příspěvek na provoz ve výši 2 361 000 Kč; 2. příspěvek na investice ve výši 5 000 000 Kč; 1. příspěvek na provoz ve výši 1 750 000 Kč; 2. příspěvek na investice ve výši 576 600 Kč",
1007,1,2014-12-16,U 7.01/ 07 /2014,7,"Na základě schváleného rozpočtu obce na rok 2015 zastupitelstvo obce schvaluje zahájení těchto investičních akci v roce 2015; 1. Zemědělská a potrav. činnost - Výkup pozemku par.č. 11/32, k.ú. Pohřebačka; 2. Mateřská škola - Rekonstrukce místnosti po kadeřnici, nová elektroinstalace ve ŠJ, Rekonstrukce venkovního WC ; 3. Základní škola - Rekonstrukce zařízení kuchyně v ZŠ – gastro, Rekonstrukce zařízení kuchyně v ZŠ - stavební úpravy, Rekonstrukce kanalizace k budově MV2.; 4. Činnosti knihovnické - Realizace technického zázemí; 5. Veřejné osvětlení - Rekonstrukce rozvodů a sloupů veřejného osvětlení; 6. Územní plánování - Zpracování územního plánu; 7. Péče o vzhled obcí a veř. zeleň - Nákup žacího traktoru; 8. Činnost místní správy - Chlazení místnosti serveru, Nové serverové řešení",
1008,1,2014-12-16,U 8.01/ 07 /2014,8,Zastupitelstvo obce schvaluje provedení rekonstrukce válečného hrobu č. CZE 5309-06787 na hřbitově v Pohřebačce.,
1009,1,2014-12-16,U 9.02 / 07 / 2014,9,"Zastupitelstvo obce schvaluje směnu pozemku p.č. 1669/44, k.ú. Opatovice nad Labem v majetku Jiřího Kadlece o výměře 109 m2 za část pozemku a výměře 109m2 oddělené z parcely p.č. 215/1 k.ú. Opatovice nad Labem v majetku obce. Současně ukládá starostovi zajistit zpracování veškerých podkladů pro provedení směny a předložit zastupitelstvu návrh směnné smlouvy ke schválení.",
2001,2,2015-01-22,U 2.01/ 01 /2015,2,"Zastupitelstvo obce schvaluje: 1. rozpočet obce Opatovice nad Labem na rok 2015 o celkových příjmech ve výši  42 281 600,-Kč, celkových výdajích 37 581 600,-Kč a celkovém financování ve výši 4 700 000,- Kč; 2. závazné ukazatele rozpočtu obce Opatovice nad Labem na rok 2015 a to tak, že stanoví dle platné rozpočtové skladby členění příjmové části rozpočtu do tříd 1,2,3,4 a závazné ukazatele pro výdajovou část rozpočtu stanoví v členění do jednotlivých paragrafů na běžné a kapitálové výdaje dle přílohy č.4, která je nedílnou součástí tohoto usnesení; 3. příspěvek příspěvkovým organizacím takto a) Základní škole v Opatovicích nad Labem: b) Mateřské škole v Opatovicích nad Labem: 1. příspěvek na provoz ve výši 2 361 000 Kč; 2. příspěvek na investice ve výši 5 000 000 Kč; 1. příspěvek na provoz ve výši 1 750 000 Kč; 2. příspěvek na investice ve výši 576 600 Kč; 4. příděl do Sociálního fondu ve výši 204 000 Kč",
2002,2,2015-01-22,U 3.01/ 01 /2015,3,Zastupitelstvo obce schvaluje níže uvedenou rozpočtovou změnu,
2003,2,2015-01-22,U 4.01/ 01 /2015,4,"Zastupitelstvo obce schvaluje předložený návrh jednacího řádu zastupitelstva obce ( Příloha č.3 ) s následující změnou: Článek III (Příprava jednání), bod č.3 bude obsahovat následující: „Písemné materiály pro jednání Zastupitelstva musí být zpracovány tak, aby umožnily členům Zastupitelstva řádně posoudit projednávanou problematiku a zaujmout stanovisko. Podklady pro jednání Zastupitelstva musí být členům Zastupitelstva dodány nejpozději 7 dní před veřejným zasedáním zastupitelstva k prostudování (s výjimkou neodkladných záležitostí, kde bude patřičně zdůvodněna zkrácená lhůta dodání materiálů k prostudování a v průběhu zasedání bude zastupitelům poskytnut dostatečný čas k prostudování těchto nových materiálů). Předkladatel odpovídá za věcnou správnost předkládaného materiálu a jeho soulad s platnými právními předpisy.“",
2004,2,2015-01-22,U 5.01/ 01 /2015,5,"Zastupitelstvo obce pověřuje starostu obce, aby v souladu s odborným názorem právního zástupce obce a ve spolupráci s ním, učinil veškeré nezbytné kroky vedoucí k vrácení části kupní ceny ve výši 4 500 000,- Kč. Starosta je povinen informovat zastupitele o stavu věci na nejbližším příštím zasedání zastupitelstva.",
2005,2,2015-01-22,U 6.01/ 01 /2015,6,"Zastupitelstvo obce schvaluje kupní smlouvy s Ředitelstvím silnic a dálnic ČR, státní příspěvkovou organizací, se sídlem Na Pankráci 546/46, Praha 4, PSČ: 140 00, IČ: 65993390 na odprodej pozemků parc. č. 2489/3 o výměře 93m2 , parc. č. 2710/36 o výměře 223m2, parc.č. 2701/14 o výměře  98m2, parc. č. 2710/20 o výměře 17m2, parc. č. 2710/56 o výměře 223m parc.č. 2710/54 o výměře 1126m2 to vše v k.ú.  Opatovice nad Labem pro výstavbu veřejně prospěšné stavby Rychlostní silnice R35 Opatovice – Časy za celkovou kupní cenu 213.600,- Kč.",
2006,2,2015-01-22,U 7.01/ 01 /2015,7,"Zastupitelstvo obce schvaluje uzavření Smlouvy o přeložkách pozemních komunikací s Ředitelstvím silnic a dálnic ČR, státní příspěvkovou organizací, se sídlem Na Pankráci 546/46, Praha 4. PSČ: 140 00, IČ: 65993390 v souvislosti se stavbou veřejně prospěšné stavby Rychlostní silnice R35 Opatovice – Časy.",
2007,2,2015-01-22,U 8.01/ 01 /2015,8,"Zastupitelstvo obce schvaluje starostu obce Ing. Pavla Kohouta, nar. 16.05.1968, bytem Pardubická 69, Opatovice nad Labem delegátem obce na jednání valných hromad společnosti Vodovody a kanalizace Pardubice, a.s. konaných v období 2015 až 2018.",
2008,2,2015-01-22,U 9.01/ 01 /2015,9,"Zastupitelstvo obce Opatovice nad Labem schvaluje bezúplatný převod pozemků p.č. 1622/48, 1622/49, 1622/77, 1622/78, 1622/79, 1622/80, 1622/81, 1622/82, 1622/83 a 1622/84 vše v k.ú. Opatovice nad Labem z vlastnictví Pardubického kraje do vlastnictví obce Opatovice nad Labem podle geometrického plánu pro rozdělení pozemku číslo 1191-303/2014.",
2009,2,2015-01-22,U 9.02 / 01 / 2015,9,"Zastupitelstvo obce Opatovice nad Labem schvaluje bezúplatný převod pozemků p.č. 1613/12, 1615/3, 1622/85, 1622/86 vše v k.ú. Opatovice nad Labem z vlastnictví obce Opatovice nad Labem do vlastnictví Pardubického kraje podle geometrického plánu pro rozdělení pozemku číslo 1191-303/2014.",
3001,3,2015-03-12,U 3.01 / 02 / 2015,3,"Zastupitelstvo obce schvaluje tyto investiční záměry obce a ukládá starostovi zahájit jejich přípravu tak, aby mohly být realizovány v příštích letech na základě schválení zastupitelstvem obce.",
3002,3,2015-03-12,U 4.01 / 02 / 2015,4,Zastupitelstvo obce schvaluje rozpočtovou změnu,
4001,4,2015-04-28,U 2.01 / 03 / 2015,2,"Zastupitelstvo obce odročuje jednání o obecně závazné vyhlášce 1/2015 o systému shromažďování, sběru, přepravy, třídění, využívání a odstraňování komunálních odpadů na území obce Opatovice nad Labem do příštího zastupitelstva.",
4002,4,2015-04-28,U 3.01 / 03 / 2015,3,"Zastupitelstvo obce schvaluje kupní smlouvu na odprodej pozemku p.č. 1605/12 o výměře 79 m2 v k.ú. Opatovice nad Labem za cenu dle znaleckého posudku č. 2643/22-15 ve výši 16.560,- Kč.",
4003,4,2015-04-28,U 4.01 / 03 / 2015,4,Zastupitelstvo obce schvaluje předložený návrh pravidel pro poskytování příspěvku z rozpočtu obce Opatovice nad Labem pro zákonné zástupce dětí neumístěných v MŠ Opatovice nad Labem ve školním roce 2015 - 2016.,
4004,4,2015-04-28,U 5.01 / 03 / 2015,5,Zastupitelstvo obce schvaluje tuto rozpočtovou změnu,
4005,4,2015-04-28,U 6.01 / 03 / 2015,6,"Zastupitelstvo obce schvaluje vypsání výběrového řízení na dodavatele stavebních prací na akci Základní škola Opatovice nad Labem – Pavilon MV2, Oprava a stavební úpravy kuchyně a jídelny na adrese Školní čp. 247, Opatovice nad Labem.",
