id,classification_id,classification,name,
kdu-csl_party,party,Navrhující strana,Křesťan.a demokrat.unie-Českosl.strana lidová,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
stan_party,party,Navrhující strana,STAROSTOVÉ A NEZÁVISLÍ,
ano-2011_party,party,Navrhující strana,ANO 2011,
kscm_party,party,Navrhující strana,Komunistická strana Čech a Moravy,
cssd_party,party,Navrhující strana,Česká strana sociálně demokratická,
kdu-csl_affiliation,affiliation,Stranická příslušnost,Křesťan.a demokrat.unie-Českosl.strana lidová,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
top-09_affiliation,affiliation,Stranická příslušnost,TOP 09,
kscm_affiliation,affiliation,Stranická příslušnost,Komunistická strana Čech a Moravy,
cssd_affiliation,affiliation,Stranická příslušnost,Česká strana sociálně demokratická,
1_list,list,Kandidátní listina,Křesťan.a demokrat.unie-Českosl.strana lidová,
449_list,list,Kandidátní listina,"Sdružení SNK ED, NK",
470_list,list,Kandidátní listina,"Sdružení STAN, NK",
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
768_list,list,Kandidátní listina,ANO 2011,
47_list,list,Kandidátní listina,Komunistická strana Čech a Moravy,
7_list,list,Kandidátní listina,Česká strana sociálně demokratická,
