vote_event_id,voter_id,option,group_id,
1001,2014-576590-1-1-2,yes,kdu-csl_party,
1001,2014-576590-1-449-2,yes,nk_party,
1001,2014-576590-1-470-1,yes,stan_party,
1001,2014-576590-1-901-6,yes,nk_party,
1001,2014-576590-1-768-2,yes,ano-2011_party,
1001,2014-576590-1-449-4,yes,nk_party,
1001,2014-576590-1-470-4,yes,stan_party,
1001,2014-576590-1-768-3,yes,ano-2011_party,
1001,2014-576590-1-901-1,yes,nk_party,
1001,2014-576590-1-47-1,yes,kscm_party,
1001,2014-576590-1-7-1,yes,cssd_party,
1001,2014-576590-1-470-7,absent,stan_party,
1001,2014-576590-1-470-15,yes,stan_party,
1001,2014-576590-1-449-1,yes,nk_party,
1001,2014-576590-1-1-1,absent,kdu-csl_party,
1001,2014-576590-1-1-3,abstain,kdu-csl_party,
1002,2014-576590-1-1-2,yes,kdu-csl_party,
1002,2014-576590-1-449-2,yes,nk_party,
1002,2014-576590-1-470-1,yes,stan_party,
1002,2014-576590-1-901-6,yes,nk_party,
1002,2014-576590-1-768-2,yes,ano-2011_party,
1002,2014-576590-1-449-4,yes,nk_party,
1002,2014-576590-1-470-4,yes,stan_party,
1002,2014-576590-1-768-3,yes,ano-2011_party,
1002,2014-576590-1-901-1,yes,nk_party,
1002,2014-576590-1-47-1,yes,kscm_party,
1002,2014-576590-1-7-1,yes,cssd_party,
1002,2014-576590-1-470-7,absent,stan_party,
1002,2014-576590-1-470-15,yes,stan_party,
1002,2014-576590-1-449-1,yes,nk_party,
1002,2014-576590-1-1-1,absent,kdu-csl_party,
1002,2014-576590-1-1-3,abstain,kdu-csl_party,
1003,2014-576590-1-1-2,yes,kdu-csl_party,
1003,2014-576590-1-449-2,yes,nk_party,
1003,2014-576590-1-470-1,no,stan_party,
1003,2014-576590-1-901-6,yes,nk_party,
1003,2014-576590-1-768-2,yes,ano-2011_party,
1003,2014-576590-1-449-4,yes,nk_party,
1003,2014-576590-1-470-4,yes,stan_party,
1003,2014-576590-1-768-3,yes,ano-2011_party,
1003,2014-576590-1-901-1,yes,nk_party,
1003,2014-576590-1-47-1,yes,kscm_party,
1003,2014-576590-1-7-1,yes,cssd_party,
1003,2014-576590-1-470-7,absent,stan_party,
1003,2014-576590-1-470-15,yes,stan_party,
1003,2014-576590-1-449-1,yes,nk_party,
1003,2014-576590-1-1-1,absent,kdu-csl_party,
1003,2014-576590-1-1-3,abstain,kdu-csl_party,
1004,2014-576590-1-1-2,yes,kdu-csl_party,
1004,2014-576590-1-449-2,yes,nk_party,
