id,classification_id,classification,name,
vpm_party,party,Navrhující strana,Volba pro město,
snk-ed_party,party,Navrhující strana,SNK Evropští demokraté,
ods_party,party,Navrhující strana,Občanská demokratická strana,
stan_party,party,Navrhující strana,STAROSTOVÉ A NEZÁVISLÍ,
cssd_party,party,Navrhující strana,Česká strana sociálně demokratická,
top-09_party,party,Navrhující strana,TOP 09,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
ano-2011_party,party,Navrhující strana,ANO 2011,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
ods_affiliation,affiliation,Stranická příslušnost,Občanská demokratická strana,
sz_affiliation,affiliation,Stranická příslušnost,Strana zelených,
cssd_affiliation,affiliation,Stranická příslušnost,Česká strana sociálně demokratická,
top-09_affiliation,affiliation,Stranická příslušnost,TOP 09,
113_list,list,Kandidátní listina,Volba pro město,
449_list,list,Kandidátní listina,"Sdružení SNK ED, NK",
53_list,list,Kandidátní listina,Občanská demokratická strana,
470_list,list,Kandidátní listina,"Sdružení STAN, NK",
7_list,list,Kandidátní listina,Česká strana sociálně demokratická,
480_list,list,Kandidátní listina,"Sdružení TOP 09, NK",
768_list,list,Kandidátní listina,ANO 2011,
