id,name,organization:party,organization:affiliation,organization:list,
2014-537683-1-113-5,Dlabová Jindra Mgr.,vpm_party,bezpp_affiliation,113_list,
2014-537683-1-449-1,Ďurčanský Jozef Ing.,snk-ed_party,bezpp_affiliation,449_list,
2014-537683-1-113-9,Felkr Jiří,vpm_party,bezpp_affiliation,113_list,
2014-537683-1-53-3,Fiala Petr Ing.,ods_party,ods_affiliation,53_list,
2014-537683-1-470-2,Holas Miroslav Ing.,stan_party,bezpp_affiliation,470_list,
2014-537683-1-113-7,Jirásková Klára JUDr.,vpm_party,sz_affiliation,113_list,
2014-537683-1-470-1,Káninský Miroslav PaedDr.,stan_party,bezpp_affiliation,470_list,
2014-537683-1-113-1,Langr Ladislav PhDr.,vpm_party,bezpp_affiliation,113_list,
2014-537683-1-113-3,Lukavec Zbyněk Ing.,vpm_party,bezpp_affiliation,113_list,
2014-537683-1-113-6,Mareš Jiří,vpm_party,bezpp_affiliation,113_list,
2014-537683-1-470-4,Mikolanda Miloš RNDr.,stan_party,bezpp_affiliation,470_list,
2014-537683-1-7-1,Novák Jaromír Mgr.,cssd_party,cssd_affiliation,7_list,
2014-537683-1-53-1,Schulz Roman Mgr.,ods_party,ods_affiliation,53_list,
2014-537683-1-470-7,Slauková Lucie Mgr.,stan_party,bezpp_affiliation,470_list,
2014-537683-1-113-4,Smejkal Radek Ing.,vpm_party,bezpp_affiliation,113_list,
2014-537683-1-113-8,Sýkorová Věra Mgr.,vpm_party,bezpp_affiliation,113_list,
2014-537683-1-480-1,Uhlíř Ivan Mgr.,top-09_party,top-09_affiliation,480_list,
2014-537683-1-7-2,Vavřička Stanislav Mgr.,cssd_party,bezpp_affiliation,7_list,
2014-537683-1-113-2,Veberová Jana Ing.,vpm_party,bezpp_affiliation,113_list,
2014-537683-1-480-5,Vlasák Roman Ing.,nk_party,bezpp_affiliation,480_list,
2014-537683-1-768-1,Vondra Jindřich Ing.,ano-2011_party,bezpp_affiliation,768_list,
