id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2010-11-10,program,2,hlasování o programu,
1002,1,2010-11-10,volba starosty a místostarosty,3,určení jednoho místostarosty,
1003,1,2010-11-10,volba starosty a místostarosty,3,"funkce starosty, místostarosty a předsedů výborů neuvolněné",
1004,1,2010-11-10,volba starosty a místostarosty,3,veřejná volba,
1005,1,2010-11-10,volba starosty a místostarosty,3,Sehnula zvolen starostou,
1006,1,2010-11-10,volba starosty a místostarosty,3,Dočekalíková zvolena místostarostkou,
1007,1,2010-11-10,"volba předsedů kontrolního, finančního a kulturního výboru",4,určení počtu členů výborů počtem tří,
1008,1,2010-11-10,"volba předsedů kontrolního, finančního a kulturního výboru",4,předsedou finančního výboru Silvie Heviánková,
1009,1,2010-11-10,"volba předsedů kontrolního, finančního a kulturního výboru",4,předsedou kontrolního výboru Josef Sehnal,
1010,1,2010-11-10,"volba předsedů kontrolního, finančního a kulturního výboru",4,předsedou kulturního výboru Michal Stiskálek,
1011,1,2010-11-10,"volba předsedů kontrolního, finančního a kulturního výboru",4,členy finančního výboru Heviánek Jaromír a Borková Lenka,
1012,1,2010-11-10,"volba předsedů kontrolního, finančního a kulturního výboru",4,členem kontrolního výboru Josef Novák,
2001,2,2010-12-02,program,1,hlasování o programu,
2002,2,2010-12-02,schválení odměn zastupitelů obce,3,plat starosty 12 000 Kč,
2003,2,2010-12-02,schválení odměn zastupitelů obce,3,plat místostarosty 4000 Kč,
2004,2,2010-12-02,schválení odměn zastupitelů obce,3,plat zastupitelů 500 Kč,
2005,2,2010-12-02,schválení odměn zastupitelů obce,3,plat předsedy finančního výboru 1000 Kč,
2006,2,2010-12-02,schválení odměn zastupitelů obce,3,plat předsedy kontrolního výboru 1000 Kč,
2007,2,2010-12-02,schválení odměn zastupitelů obce,3,plat předsedy kulturního výboru 1000 kč,
2008,2,2010-12-02,schválení odměn zastupitelů obce,3,plat členů výboru 200 Kč,
2009,2,2010-12-02,příprava inventarizace majetku a závazků obce,4,zastupoitelstvo obce schvaluje plán inventarizace majetku,
2010,2,2010-12-02,volba členů kontrolního a kulturního výboru,5,členem kontrolního výboru Richard Vodička,
2011,2,2010-12-02,volba členů kontrolního a kulturního výboru,5,členem kulturního výboru Lukáš Sehnal a Stanislav Buliček,
3001,3,2010-12-30,program,1,hlasování o programu,
3002,3,2010-12-30,rozpočtové opatření č 04/2010,3,schválení rozpočtového opatření,
