vote_event_id,voter_id,option,group_id,
1001,2010-599221-1-901-3,yes,nk_party,
1001,2010-599221-1-902-1,yes,nk_party,
1001,2010-599221-1-901-2,yes,nk_party,
1001,2010-599221-1-902-2,no,nk_party,
1001,2010-599221-1-901-1,yes,nk_party,
1001,2010-599221-1-903-4,yes,nk_party,
1002,2010-599221-1-901-3,yes,nk_party,
1002,2010-599221-1-902-1,yes,nk_party,
1002,2010-599221-1-901-2,yes,nk_party,
1002,2010-599221-1-902-2,yes,nk_party,
1002,2010-599221-1-901-1,yes,nk_party,
1002,2010-599221-1-903-4,yes,nk_party,
1003,2010-599221-1-901-3,yes,nk_party,
1003,2010-599221-1-902-1,yes,nk_party,
1003,2010-599221-1-901-2,yes,nk_party,
1003,2010-599221-1-902-2,yes,nk_party,
1003,2010-599221-1-901-1,yes,nk_party,
1003,2010-599221-1-903-4,yes,nk_party,
1004,2010-599221-1-901-3,yes,nk_party,
1004,2010-599221-1-902-1,yes,nk_party,
1004,2010-599221-1-901-2,yes,nk_party,
1004,2010-599221-1-902-2,yes,nk_party,
1004,2010-599221-1-901-1,yes,nk_party,
1004,2010-599221-1-903-4,yes,nk_party,
1005,2010-599221-1-901-3,yes,nk_party,
1005,2010-599221-1-902-1,yes,nk_party,
1005,2010-599221-1-901-2,yes,nk_party,
1005,2010-599221-1-902-2,yes,nk_party,
1005,2010-599221-1-901-1,yes,nk_party,
1005,2010-599221-1-903-4,yes,nk_party,
1006,2010-599221-1-901-3,yes,nk_party,
1006,2010-599221-1-902-1,yes,nk_party,
1006,2010-599221-1-901-2,yes,nk_party,
1006,2010-599221-1-902-2,yes,nk_party,
1006,2010-599221-1-901-1,yes,nk_party,
1006,2010-599221-1-903-4,yes,nk_party,
2001,2010-599221-1-901-3,yes,nk_party,
2001,2010-599221-1-902-1,yes,nk_party,
2001,2010-599221-1-901-2,yes,nk_party,
2001,2010-599221-1-902-2,yes,nk_party,
2001,2010-599221-1-901-1,yes,nk_party,
2001,2010-599221-1-903-4,yes,nk_party,
3001,2010-599221-1-901-3,yes,nk_party,
3001,2010-599221-1-902-1,yes,nk_party,
3001,2010-599221-1-901-2,yes,nk_party,
3001,2010-599221-1-902-2,yes,nk_party,
3001,2010-599221-1-901-1,yes,nk_party,
3001,2010-599221-1-903-4,yes,nk_party,
3002,2010-599221-1-901-3,yes,nk_party,
3002,2010-599221-1-902-1,yes,nk_party,
3002,2010-599221-1-901-2,yes,nk_party,
3002,2010-599221-1-902-2,yes,nk_party,
3002,2010-599221-1-901-1,yes,nk_party,
3002,2010-599221-1-903-4,yes,nk_party,
3003,2010-599221-1-901-3,yes,nk_party,
3003,2010-599221-1-902-1,yes,nk_party,
3003,2010-599221-1-901-2,yes,nk_party,
3003,2010-599221-1-902-2,yes,nk_party,
3003,2010-599221-1-901-1,yes,nk_party,
3003,2010-599221-1-903-4,yes,nk_party,
3004,2010-599221-1-901-3,yes,nk_party,
3004,2010-599221-1-902-1,yes,nk_party,
3004,2010-599221-1-901-2,yes,nk_party,
3004,2010-599221-1-902-2,yes,nk_party,
3004,2010-599221-1-901-1,yes,nk_party,
3004,2010-599221-1-903-4,yes,nk_party,
4001,2010-599221-1-901-3,absent,nk_party,
4001,2010-599221-1-902-1,absent,nk_party,
4001,2010-599221-1-901-2,yes,nk_party,
4001,2010-599221-1-902-2,yes,nk_party,
4001,2010-599221-1-901-1,yes,nk_party,
4001,2010-599221-1-903-4,yes,nk_party,
4002,2010-599221-1-901-3,absent,nk_party,
4002,2010-599221-1-902-1,absent,nk_party,
4002,2010-599221-1-901-2,yes,nk_party,
4002,2010-599221-1-902-2,yes,nk_party,
4002,2010-599221-1-901-1,yes,nk_party,
4002,2010-599221-1-903-4,yes,nk_party,
4003,2010-599221-1-901-3,absent,nk_party,
4003,2010-599221-1-902-1,absent,nk_party,
4003,2010-599221-1-901-2,yes,nk_party,
4003,2010-599221-1-902-2,yes,nk_party,
4003,2010-599221-1-901-1,yes,nk_party,
4003,2010-599221-1-903-4,yes,nk_party,
5001,2010-599221-1-901-3,yes,nk_party,
5001,2010-599221-1-902-1,absent,nk_party,
5001,2010-599221-1-901-2,yes,nk_party,
5001,2010-599221-1-902-2,yes,nk_party,
5001,2010-599221-1-901-1,yes,nk_party,
5001,2010-599221-1-903-4,yes,nk_party,
5002,2010-599221-1-901-3,yes,nk_party,
5002,2010-599221-1-902-1,absent,nk_party,
5002,2010-599221-1-901-2,yes,nk_party,
5002,2010-599221-1-902-2,yes,nk_party,
5002,2010-599221-1-901-1,yes,nk_party,
5002,2010-599221-1-903-4,yes,nk_party,
5003,2010-599221-1-901-3,yes,nk_party,
5003,2010-599221-1-902-1,absent,nk_party,
5003,2010-599221-1-901-2,yes,nk_party,
5003,2010-599221-1-902-2,abstain,nk_party,
5003,2010-599221-1-901-1,yes,nk_party,
5003,2010-599221-1-903-4,yes,nk_party,
5004,2010-599221-1-901-3,yes,nk_party,
5004,2010-599221-1-902-1,absent,nk_party,
5004,2010-599221-1-901-2,yes,nk_party,
5004,2010-599221-1-902-2,yes,nk_party,
5004,2010-599221-1-901-1,yes,nk_party,
5004,2010-599221-1-903-4,yes,nk_party,
5005,2010-599221-1-901-3,yes,nk_party,
5005,2010-599221-1-902-1,absent,nk_party,
5005,2010-599221-1-901-2,yes,nk_party,
5005,2010-599221-1-902-2,yes,nk_party,
5005,2010-599221-1-901-1,yes,nk_party,
5005,2010-599221-1-903-4,yes,nk_party,
5006,2010-599221-1-901-3,yes,nk_party,
5006,2010-599221-1-902-1,absent,nk_party,
5006,2010-599221-1-901-2,yes,nk_party,
