id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-12,Stanovení zapisovatele a ověřovatele zápisu,1,Zastupitelstvo schvaluje ověřovatele zápisu pana J.Zajíčka a pana V . Bažanta,
1002,1,2014-11-12,Schválení programu zasedání,2,Zastupitelstvo obce Přehvozdí schvaluje program zasedání se změnou :,
1003,1,2014-11-12,Schválení záměru p. Malá ,4,"Zastupitelstvo obce Přehvozdí schvaluje směnou smlouvu s paní Malou Zdeňkou, která byl projednána zastupitelstvem na svém zasedání dne 30.4.2014. ale administrativní' chybou nebyl schválena. ",
1004,1,2014-11-12,Úprava rozpočtu č. 5,5,Zastupitelstvo obce Přehvozdí schvaluje Úpravu rozpočtu č. 5 r.2014. která je nedílnou součástí tohoto zápisu. ,
1005,1,2014-11-12,Schválení smlouvy o dodávce vody č. 01/2014 ,6,Zastupitelstvo obce Přehvozdí schvaluje smlouvu o dodávce vody č. 01/2014 uzavřenou mezi Obcí Přehvozdí. Městem Kostelec nad Černými lesy a provozovatelem Vodos a pověřuje paní starostku podpisem této smlouvy,
1006,1,2014-11-12,Odsouhlasení Smlouvy o zřízení věcného břemene - služebnosti IV-12-601 5969/1 ,7,"Zastupitelstvo obce Přehvozdí schvalujte smluvil o zřízení věcného břemene-služebnosti IV-126015969/1 Přehvozdí p.č. 431/1,436/2. 444/7-knn za účelem umístění kabelového vedení NN. Věcné břemeno dle této smlouvy se zřizuje úplatně a jednorázová náhrada za zřízení věcného břemene se sjednává ve výši 1000,- Kč + DPH. tj.celkem 1210.- Kč. Zastupitelstvo obce pověřuje paní starostku podpisem této smlouvy",
1007,1,2014-11-12,Žádost o sponzorský dar - „Lipanci Přehvozdí" ,8,"Zastupitelstvo obce Přehvozdí na základě žádosti schvaluje příspěvek na chod sdružení Lipánci ve výši 3.000.- Kč pro rok 2015 za předpokladu, že Lipánci provedou brigádu určenou OÚ.",
1008,1,2014-11-12,Volba členů kontrolního výboru,9,Volba členů kontrolního výboru K volbě členů kontrolního výboru byly podány následující návrhy V. Bažantem: Petra Škopková Doležalová a Michal Ilanykýř. Před hlasováním byl dán zastupitelům prostor k diskusi. Žádné stanovisko nebylo vzneseno. Návrh usnesení: Cleny kontrolního výboru obce Prelno/dí se volí: Petra Škopková Doležalová a Michal Ilanykýř.,
1009,1,2014-11-12,Volba členu finančního výboru ,10,Volba členů finančního výboru K volbě členů finančního výboru byly podány následující návrhy K.Šebkem: Aneta Nováková a Michal Olejník. Před hlasováním byl dán zastupitelům prostor k diskusi. Žádné stanovisko nebylo vzneseno. ,
1010,1,2014-11-12,,11,Zastupitelstvo obce Přehvozdí projednalo a schválilo koncept návrhu Smlouvy č. 14198053 o poskytnutí podpory ze Státního fondu životního prostředí ČR v rámci Operačního programu Životního prostředí na akci „Snížení energetické náročnosti OU Obce Přehvozdí" Smlouva bude podepsána pani starostkou až po obdržení Rozhodnutí o poskytnutí dotace z MŽP na jejím oficiálním návrhu podepsaným ředitelem fondu. ,
2001,2,2014-12-17,Stanovení zapisovatele a ověřovatele zápisu,1,"Zastupitelstvo obce Přehvozdí schvaluje ověřovatele zápisu pana Jana Zajíčka a paní Petru Škopkovou Doležalovou, zapisovatelskou paní Evu Drábkovou.",
2002,2,2014-12-17,Schválení programu zasedání,2,Zastupitelstvo obce Přehvozdí schvaluje program zasedání se změnou: - přidání bodu -plán inventur r. 2014,
2003,2,2014-12-17,Příspěvek MŠ Tuchoraz,3,"Zastupitelstvo obce schvaluje príspěvok MŠ ve výši 3.000,-Kč.",
2004,2,2014-12-17,Úprava rozpočtu č. 6/2014,4,"Zastupitelstvo obce Přehvozdí schvaluje úpravu rozpočtu Č. 6, která je nedílnou součástí tohoto zápisu.",
2005,2,2014-12-17,Zimní údržba v obci,5,Zastupitelstvo obce Přehvozdí vybírá pro zimní sezonu 2014/2015 na údržbu komunikací ,
2006,2,2014-12-17,Schválení inventarizační a likvidační komise,7,Zastupitelstvo obce dle § 122 odst. 1 schvaluje inventarizační komisi ve složení: Ing. Věra,
2007,2,2014-12-17,Schválení rozpočtu na rok 2015,8,Zastupitelstvo obce Přehvozdí schvaluje rozpočet na rok 2015.,
2008,2,2014-12-17,,9,Zastupitelstvo obce Přehvozdí schvaluje plán inventur pro rok 2014.,
3001,3,2014-12-29,Stanovení zapisovatele a ověřovatele zápisu,1,"Zastupitelstvo obce Přehvozdí schvaluje ověřovatele zápisu pana Jana Zajíčka a pana Bc. Petra Mejstříka, zapisovatelem paní Petru Škopkovou Doležalovou",
3002,3,2014-12-29,Schválení programu zasedání,2,Zastupitelstvo obce Přehvozdí schvaluje program zasedání se změnou:,
3003,3,2014-12-29,Doplnění člena zastupitelstva,4,Zastupitelstvo obce Přehvozdí schvaluje úpravu rozpočtu č. 6/2014. která je nedílnou součástí tohoto zápisu.,
