id,name,organization:party,organization:affiliation,organization:list,
2014-578657-1-47-1,Bureš Jiří,kscm_party,kscm_affiliation,47_list,
2014-578657-1-901-2,Češka Josef,nk_party,bezpp_affiliation,901_list,
2014-578657-1-47-5,Doležal Vlastislav,kscm_party,bezpp_affiliation,47_list,
2014-578657-1-901-7,Franěk Václav,nk_party,bezpp_affiliation,901_list,
2014-578657-1-903-1,Hájíček Antonín Ing.,nk_party,bezpp_affiliation,903_list,
2014-578657-1-901-3,Hozák Pavel,nk_party,bezpp_affiliation,901_list,
2014-578657-1-904-1,Kopecký Miloslav,nk_party,bezpp_affiliation,904_list,
2014-578657-1-47-3,Štarhová Anežka Ing.,kscm_party,bezpp_affiliation,47_list,
2014-578657-1-903-8,Olšer Ladislav,nk_party,bezpp_affiliation,903_list,
2014-578657-1-902-1,Peňázová Anna,nk_party,bezpp_affiliation,902_list,
2014-578657-1-901-6,Pomykal David Bc.,nk_party,bezpp_affiliation,901_list,
2014-578657-1-901-1,Satrapa Roman,nk_party,bezpp_affiliation,901_list,
2014-578657-1-902-3,Satrapová Radka Mgr.,nk_party,bezpp_affiliation,902_list,
2014-578657-1-901-5,Šedaj Mlčková Aneta,nk_party,bezpp_affiliation,901_list,
2014-578657-1-901-4,Škorpík Radek Mgr.,nk_party,bezpp_affiliation,901_list,
