vote_event_id,voter_id,option,group_id,
1001,2014-578657-1-47-1,yes,kscm_party,
1001,2014-578657-1-901-2,yes,nk_party,
1001,2014-578657-1-47-5,yes,kscm_party,
1001,2014-578657-1-901-7,yes,nk_party,
1001,2014-578657-1-903-1,yes,nk_party,
1001,2014-578657-1-901-3,yes,nk_party,
1001,2014-578657-1-904-1,yes,nk_party,
1001,2014-578657-1-47-3,yes,kscm_party,
1001,2014-578657-1-903-8,yes,nk_party,
1001,2014-578657-1-902-1,yes,nk_party,
1001,2014-578657-1-901-6,yes,nk_party,
1001,2014-578657-1-901-1,yes,nk_party,
1001,2014-578657-1-902-3,yes,nk_party,
1001,2014-578657-1-901-5,yes,nk_party,
1001,2014-578657-1-901-4,yes,nk_party,
1002,2014-578657-1-47-1,yes,kscm_party,
1002,2014-578657-1-901-2,yes,nk_party,
1002,2014-578657-1-47-5,yes,kscm_party,
1002,2014-578657-1-901-7,yes,nk_party,
1002,2014-578657-1-903-1,yes,nk_party,
1002,2014-578657-1-901-3,yes,nk_party,
1002,2014-578657-1-904-1,yes,nk_party,
1002,2014-578657-1-47-3,yes,kscm_party,
1002,2014-578657-1-903-8,yes,nk_party,
1002,2014-578657-1-902-1,yes,nk_party,
1002,2014-578657-1-901-6,yes,nk_party,
1002,2014-578657-1-901-1,yes,nk_party,
1002,2014-578657-1-902-3,yes,nk_party,
1002,2014-578657-1-901-5,yes,nk_party,
1002,2014-578657-1-901-4,yes,nk_party,
1003,2014-578657-1-47-1,yes,kscm_party,
1003,2014-578657-1-901-2,yes,nk_party,
1003,2014-578657-1-47-5,yes,kscm_party,
1003,2014-578657-1-901-7,yes,nk_party,
1003,2014-578657-1-903-1,yes,nk_party,
1003,2014-578657-1-901-3,yes,nk_party,
1003,2014-578657-1-904-1,yes,nk_party,
1003,2014-578657-1-47-3,yes,kscm_party,
1003,2014-578657-1-903-8,yes,nk_party,
1003,2014-578657-1-902-1,yes,nk_party,
1003,2014-578657-1-901-6,yes,nk_party,
1003,2014-578657-1-901-1,yes,nk_party,
1003,2014-578657-1-902-3,yes,nk_party,
