id,name,organization:party,organization:affiliation,organization:list,
2014-562017-1-47-7,Bilický Václav,kscm_party,kscm_affiliation,47_list,
2014-562017-1-129-2,Fleková Renata,snk-ed_party,bezpp_affiliation,129_list,
2014-562017-1-47-3,Golier Ján,kscm_party,bezpp_affiliation,47_list,
2014-562017-1-129-3,Hanuš Petr,snk-ed_party,bezpp_affiliation,129_list,
2014-562017-1-7-3,Hlaváč Jaroslav,cssd_party,bezpp_affiliation,7_list,
2014-562017-1-47-2,Kalvová Šárka Mgr.,kscm_party,bezpp_affiliation,47_list,
2014-562017-1-7-1,Králík Miroslav Ing.,cssd_party,cssd_affiliation,7_list,
2014-562017-1-129-4,Kulísek Zdeněk Ing.,snk-ed_party,bezpp_affiliation,129_list,
2014-562017-1-47-1,Procházka František,kscm_party,kscm_affiliation,47_list,
2014-562017-1-901-4,Šerý Michal,nk_party,bezpp_affiliation,901_list,
2014-562017-1-902-1,Tita Miloš,nk_party,bezpp_affiliation,902_list,
2014-562017-1-7-2,Tůma Miloslav,cssd_party,cssd_affiliation,7_list,
2014-562017-1-721-1,Tůma Miloslav,top-09_party,top-09_affiliation,721_list,
2014-562017-1-129-1,Váradi Oto DiS.,snk-ed_party,bezpp_affiliation,129_list,
2014-562017-1-902-2,Vrbová Lenka,nk_party,bezpp_affiliation,902_list,
2014-562017-1-47-4,Šveňha Jaromír,kscm_party,kscm_affiliation,47_list,
