vote_event_id,voter_id,option,group_id,
1001,2010-526622-1-814-1,yes,nk_party,
1001,2010-526622-1-801-1,yes,nk_party,
1001,2010-526622-1-806-1,yes,nk_party,
1001,2010-526622-1-805-1,yes,nk_party,
1001,2010-526622-1-807-1,yes,nk_party,
1001,2010-526622-1-810-1,yes,nk_party,
1001,2010-526622-1-808-1,yes,nk_party,
1002,2010-526622-1-814-1,yes,nk_party,
1002,2010-526622-1-801-1,yes,nk_party,
1002,2010-526622-1-806-1,yes,nk_party,
1002,2010-526622-1-805-1,yes,nk_party,
1002,2010-526622-1-807-1,yes,nk_party,
1002,2010-526622-1-810-1,yes,nk_party,
1002,2010-526622-1-808-1,yes,nk_party,
1003,2010-526622-1-814-1,yes,nk_party,
1003,2010-526622-1-801-1,yes,nk_party,
1003,2010-526622-1-806-1,yes,nk_party,
1003,2010-526622-1-805-1,yes,nk_party,
1003,2010-526622-1-807-1,yes,nk_party,
1003,2010-526622-1-810-1,yes,nk_party,
1003,2010-526622-1-808-1,yes,nk_party,
1004,2010-526622-1-814-1,yes,nk_party,
1004,2010-526622-1-801-1,yes,nk_party,
1004,2010-526622-1-806-1,yes,nk_party,
1004,2010-526622-1-805-1,yes,nk_party,
1004,2010-526622-1-807-1,yes,nk_party,
1004,2010-526622-1-810-1,yes,nk_party,
1004,2010-526622-1-808-1,yes,nk_party,
1005,2010-526622-1-814-1,yes,nk_party,
1005,2010-526622-1-801-1,yes,nk_party,
1005,2010-526622-1-806-1,yes,nk_party,
1005,2010-526622-1-805-1,yes,nk_party,
1005,2010-526622-1-807-1,yes,nk_party,
1005,2010-526622-1-810-1,yes,nk_party,
1005,2010-526622-1-808-1,yes,nk_party,
1006,2010-526622-1-814-1,yes,nk_party,
1006,2010-526622-1-801-1,yes,nk_party,
1006,2010-526622-1-806-1,yes,nk_party,
1006,2010-526622-1-805-1,yes,nk_party,
1006,2010-526622-1-807-1,yes,nk_party,
1006,2010-526622-1-810-1,yes,nk_party,
1006,2010-526622-1-808-1,yes,nk_party,
1007,2010-526622-1-814-1,yes,nk_party,
1007,2010-526622-1-801-1,yes,nk_party,
1007,2010-526622-1-806-1,yes,nk_party,
1007,2010-526622-1-805-1,yes,nk_party,
1007,2010-526622-1-807-1,yes,nk_party,
1007,2010-526622-1-810-1,yes,nk_party,
1007,2010-526622-1-808-1,yes,nk_party,
1008,2010-526622-1-814-1,yes,nk_party,
1008,2010-526622-1-801-1,yes,nk_party,
1008,2010-526622-1-806-1,yes,nk_party,
1008,2010-526622-1-805-1,yes,nk_party,
1008,2010-526622-1-807-1,yes,nk_party,
1008,2010-526622-1-810-1,yes,nk_party,
1008,2010-526622-1-808-1,yes,nk_party,
1009,2010-526622-1-814-1,yes,nk_party,
1009,2010-526622-1-801-1,yes,nk_party,
1009,2010-526622-1-806-1,yes,nk_party,
1009,2010-526622-1-805-1,yes,nk_party,
1009,2010-526622-1-807-1,yes,nk_party,
1009,2010-526622-1-810-1,yes,nk_party,
1009,2010-526622-1-808-1,yes,nk_party,
2001,2010-526622-1-814-1,yes,nk_party,
2001,2010-526622-1-801-1,yes,nk_party,
2001,2010-526622-1-806-1,yes,nk_party,
2001,2010-526622-1-805-1,yes,nk_party,
2001,2010-526622-1-807-1,yes,nk_party,
2001,2010-526622-1-810-1,yes,nk_party,
2001,2010-526622-1-808-1,yes,nk_party,
2002,2010-526622-1-814-1,yes,nk_party,
2002,2010-526622-1-801-1,yes,nk_party,
2002,2010-526622-1-806-1,yes,nk_party,
2002,2010-526622-1-805-1,yes,nk_party,
2002,2010-526622-1-807-1,yes,nk_party,
2002,2010-526622-1-810-1,yes,nk_party,
2002,2010-526622-1-808-1,yes,nk_party,
2003,2010-526622-1-814-1,yes,nk_party,
2003,2010-526622-1-801-1,yes,nk_party,
2003,2010-526622-1-806-1,yes,nk_party,
2003,2010-526622-1-805-1,yes,nk_party,
2003,2010-526622-1-807-1,yes,nk_party,
2003,2010-526622-1-810-1,yes,nk_party,
2003,2010-526622-1-808-1,yes,nk_party,
2004,2010-526622-1-814-1,yes,nk_party,
2004,2010-526622-1-801-1,yes,nk_party,
2004,2010-526622-1-806-1,yes,nk_party,
2004,2010-526622-1-805-1,yes,nk_party,
2004,2010-526622-1-807-1,yes,nk_party,
2004,2010-526622-1-810-1,yes,nk_party,
2004,2010-526622-1-808-1,yes,nk_party,
2005,2010-526622-1-814-1,yes,nk_party,
2005,2010-526622-1-801-1,yes,nk_party,
2005,2010-526622-1-806-1,yes,nk_party,
2005,2010-526622-1-805-1,yes,nk_party,
2005,2010-526622-1-807-1,yes,nk_party,
2005,2010-526622-1-810-1,yes,nk_party,
2005,2010-526622-1-808-1,yes,nk_party,
2006,2010-526622-1-814-1,yes,nk_party,
2006,2010-526622-1-801-1,yes,nk_party,
2006,2010-526622-1-806-1,yes,nk_party,
2006,2010-526622-1-805-1,yes,nk_party,
2006,2010-526622-1-807-1,yes,nk_party,
2006,2010-526622-1-810-1,yes,nk_party,
2006,2010-526622-1-808-1,yes,nk_party,
2007,2010-526622-1-814-1,yes,nk_party,
2007,2010-526622-1-801-1,yes,nk_party,
2007,2010-526622-1-806-1,yes,nk_party,
2007,2010-526622-1-805-1,yes,nk_party,
2007,2010-526622-1-807-1,yes,nk_party,
2007,2010-526622-1-810-1,yes,nk_party,
2007,2010-526622-1-808-1,yes,nk_party,
2008,2010-526622-1-814-1,yes,nk_party,
2008,2010-526622-1-801-1,yes,nk_party,
2008,2010-526622-1-806-1,yes,nk_party,
2008,2010-526622-1-805-1,yes,nk_party,
2008,2010-526622-1-807-1,yes,nk_party,
2008,2010-526622-1-810-1,yes,nk_party,
2008,2010-526622-1-808-1,yes,nk_party,
2009,2010-526622-1-814-1,yes,nk_party,
2009,2010-526622-1-801-1,yes,nk_party,
2009,2010-526622-1-806-1,yes,nk_party,
2009,2010-526622-1-805-1,yes,nk_party,
2009,2010-526622-1-807-1,yes,nk_party,
2009,2010-526622-1-810-1,yes,nk_party,
2009,2010-526622-1-808-1,yes,nk_party,
2010,2010-526622-1-814-1,yes,nk_party,
2010,2010-526622-1-801-1,yes,nk_party,
2010,2010-526622-1-806-1,yes,nk_party,
2010,2010-526622-1-805-1,yes,nk_party,
2010,2010-526622-1-807-1,yes,nk_party,
2010,2010-526622-1-810-1,yes,nk_party,
2010,2010-526622-1-808-1,yes,nk_party,
2011,2010-526622-1-814-1,yes,nk_party,
2011,2010-526622-1-801-1,yes,nk_party,
2011,2010-526622-1-806-1,yes,nk_party,
2011,2010-526622-1-805-1,yes,nk_party,
2011,2010-526622-1-807-1,yes,nk_party,
2011,2010-526622-1-810-1,yes,nk_party,
2011,2010-526622-1-808-1,yes,nk_party,
2012,2010-526622-1-814-1,yes,nk_party,
2012,2010-526622-1-801-1,yes,nk_party,
2012,2010-526622-1-806-1,yes,nk_party,
2012,2010-526622-1-805-1,yes,nk_party,
2012,2010-526622-1-807-1,yes,nk_party,
2012,2010-526622-1-810-1,yes,nk_party,
2012,2010-526622-1-808-1,yes,nk_party,
3001,2010-526622-1-814-1,yes,nk_party,
3001,2010-526622-1-801-1,yes,nk_party,
3001,2010-526622-1-806-1,yes,nk_party,
3001,2010-526622-1-805-1,yes,nk_party,
3001,2010-526622-1-807-1,yes,nk_party,
3001,2010-526622-1-810-1,yes,nk_party,
3001,2010-526622-1-808-1,yes,nk_party,
3002,2010-526622-1-814-1,yes,nk_party,
3002,2010-526622-1-801-1,yes,nk_party,
3002,2010-526622-1-806-1,yes,nk_party,
3002,2010-526622-1-805-1,yes,nk_party,
