id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-07,,,Zastupitelstvo obce Siřejovice určuje ověřovateli zápisu p. Luďka Tučku a p. Františka Tajče a zapisovatelem p. Evu Krejzovou.,
1002,1,2014-11-07,,,Předsedající dal hlasovat o návrhu o doplnění programu o rozhodnutí o odměnách neuvolněným zastupitelů obce,
1003,1,2014-11-07,,,Program ,
1004,1,2014-11-07,Volba starosty a místostarosty ,1,Zastupitelstvo obce Siřejovice schválilo zvolení jednoho místostarosty.,
1005,1,2014-11-07,Volba starosty a místostarosty ,1,"Zastupitelstvo obce Siřejovice v souladu s § 84 odst. 2 písm. K) zákona o obcích určuje, že pro výkon starosty obce bude člen zastupitelstva neuvolněn.",
1006,1,2014-11-07,Volba starosty a místostarosty ,1,Zastupitelstvo obce Siřejovice schvaluje veřejný způsob volby starosty a místostarosty.,
1007,1,2014-11-07,Volba starosty a místostarosty ,1,Zastupitelstvo obce Siřejovice volí starostou p. Josefa Krejzu,
1008,1,2014-11-07,Volba starosty a místostarosty ,1,Zastupitelstvo obce Siřejovice volí místostarostou p. Oldřich Najmana,
1009,1,2014-11-07,Zřízení finančního a kontrolního výboru ,2,Zastupitelstvo obce Siřejovice zřizuje finanční a kontrolní výbor. Oba výbory budou tříčlenné.,
1010,1,2014-11-07,Zřízení finančního a kontrolního výboru ,2,Zastupitelstvo obce Siřejovice volí předsedou finančního výboru p. Miroslava Hejnu.,
1011,1,2014-11-07,Zřízení finančního a kontrolního výboru ,2,Zastupitelstvo obce Siřejovice volí předsedou kontrolního výboru p. Luďka Tučku,
1012,1,2014-11-07,Zřízení finančního a kontrolního výboru ,2,Zastupitelstvo obce Siřejovice odkládá volbu členů finančního a kontrolního výboru z důvodu nedostatku kandidátů na členství ve výborech na nejbližší zasedání.,
1013,1,2014-11-07,Zřízení kulturní komise ,3,Zastupitelstvo obce zřizuje kulturní komisi. Komise bude tříčlenná.,
1014,1,2014-11-07,Zřízení kulturní komise ,3,Zastupitelstvo obce Siřejovice volí předsedkyní kulturní komise p. Hanu Paulenovou.,
