vote_event_id,voter_id,option,group_id,
1001,2014-565598-1-804-1,yes,nk_party,
1001,2014-565598-1-808-1,yes,nk_party,
1001,2014-565598-1-805-1,yes,nk_party,
1001,2014-565598-1-801-1,yes,nk_party,
1001,2014-565598-1-807-1,yes,nk_party,
1001,2014-565598-1-802-1,yes,nk_party,
1001,2014-565598-1-803-1,yes,nk_party,
1002,2014-565598-1-804-1,yes,nk_party,
1002,2014-565598-1-808-1,yes,nk_party,
1002,2014-565598-1-805-1,yes,nk_party,
1002,2014-565598-1-801-1,yes,nk_party,
1002,2014-565598-1-807-1,yes,nk_party,
1002,2014-565598-1-802-1,yes,nk_party,
1002,2014-565598-1-803-1,yes,nk_party,
1003,2014-565598-1-804-1,yes,nk_party,
1003,2014-565598-1-808-1,yes,nk_party,
1003,2014-565598-1-805-1,yes,nk_party,
1003,2014-565598-1-801-1,yes,nk_party,
1003,2014-565598-1-807-1,yes,nk_party,
1003,2014-565598-1-802-1,yes,nk_party,
1003,2014-565598-1-803-1,yes,nk_party,
1004,2014-565598-1-804-1,yes,nk_party,
1004,2014-565598-1-808-1,yes,nk_party,
1004,2014-565598-1-805-1,yes,nk_party,
1004,2014-565598-1-801-1,yes,nk_party,
1004,2014-565598-1-807-1,yes,nk_party,
1004,2014-565598-1-802-1,yes,nk_party,
1004,2014-565598-1-803-1,yes,nk_party,
1005,2014-565598-1-804-1,yes,nk_party,
1005,2014-565598-1-808-1,yes,nk_party,
1005,2014-565598-1-805-1,yes,nk_party,
1005,2014-565598-1-801-1,yes,nk_party,
1005,2014-565598-1-807-1,yes,nk_party,
1005,2014-565598-1-802-1,yes,nk_party,
1005,2014-565598-1-803-1,yes,nk_party,
1006,2014-565598-1-804-1,yes,nk_party,
1006,2014-565598-1-808-1,yes,nk_party,
1006,2014-565598-1-805-1,yes,nk_party,
1006,2014-565598-1-801-1,yes,nk_party,
1006,2014-565598-1-807-1,yes,nk_party,
1006,2014-565598-1-802-1,yes,nk_party,
1006,2014-565598-1-803-1,yes,nk_party,
1007,2014-565598-1-804-1,yes,nk_party,
1007,2014-565598-1-808-1,no,nk_party,
1007,2014-565598-1-805-1,abstain,nk_party,
1007,2014-565598-1-801-1,yes,nk_party,
1007,2014-565598-1-807-1,yes,nk_party,
1007,2014-565598-1-802-1,no,nk_party,
1007,2014-565598-1-803-1,yes,nk_party,
1008,2014-565598-1-804-1,yes,nk_party,
1008,2014-565598-1-808-1,yes,nk_party,
1008,2014-565598-1-805-1,yes,nk_party,
1008,2014-565598-1-801-1,abstain,nk_party,
1008,2014-565598-1-807-1,yes,nk_party,
1008,2014-565598-1-802-1,yes,nk_party,
1008,2014-565598-1-803-1,yes,nk_party,
1009,2014-565598-1-804-1,yes,nk_party,
1009,2014-565598-1-808-1,yes,nk_party,
1009,2014-565598-1-805-1,yes,nk_party,
1009,2014-565598-1-801-1,yes,nk_party,
1009,2014-565598-1-807-1,yes,nk_party,
1009,2014-565598-1-802-1,yes,nk_party,
1009,2014-565598-1-803-1,yes,nk_party,
1010,2014-565598-1-804-1,yes,nk_party,
1010,2014-565598-1-808-1,abstain,nk_party,
1010,2014-565598-1-805-1,yes,nk_party,
1010,2014-565598-1-801-1,yes,nk_party,
1010,2014-565598-1-807-1,yes,nk_party,
1010,2014-565598-1-802-1,yes,nk_party,
1010,2014-565598-1-803-1,yes,nk_party,
1011,2014-565598-1-804-1,yes,nk_party,
1011,2014-565598-1-808-1,yes,nk_party,
1011,2014-565598-1-805-1,yes,nk_party,
1011,2014-565598-1-801-1,yes,nk_party,
1011,2014-565598-1-807-1,yes,nk_party,
1011,2014-565598-1-802-1,yes,nk_party,
1011,2014-565598-1-803-1,abstain,nk_party,
1012,2014-565598-1-804-1,yes,nk_party,
1012,2014-565598-1-808-1,yes,nk_party,
1012,2014-565598-1-805-1,yes,nk_party,
1012,2014-565598-1-801-1,yes,nk_party,
1012,2014-565598-1-807-1,yes,nk_party,
1012,2014-565598-1-802-1,yes,nk_party,
1012,2014-565598-1-803-1,yes,nk_party,
1013,2014-565598-1-804-1,yes,nk_party,
1013,2014-565598-1-808-1,yes,nk_party,
1013,2014-565598-1-805-1,yes,nk_party,
1013,2014-565598-1-801-1,yes,nk_party,
1013,2014-565598-1-807-1,yes,nk_party,
1013,2014-565598-1-802-1,yes,nk_party,
1013,2014-565598-1-803-1,yes,nk_party,
1014,2014-565598-1-804-1,yes,nk_party,
1014,2014-565598-1-808-1,yes,nk_party,
1014,2014-565598-1-805-1,yes,nk_party,
1014,2014-565598-1-801-1,yes,nk_party,
1014,2014-565598-1-807-1,abstain,nk_party,
1014,2014-565598-1-802-1,yes,nk_party,
1014,2014-565598-1-803-1,yes,nk_party,
1015,2014-565598-1-804-1,yes,nk_party,
1015,2014-565598-1-808-1,yes,nk_party,
1015,2014-565598-1-805-1,yes,nk_party,
1015,2014-565598-1-801-1,yes,nk_party,
1015,2014-565598-1-807-1,yes,nk_party,
1015,2014-565598-1-802-1,yes,nk_party,
1015,2014-565598-1-803-1,yes,nk_party,
1016,2014-565598-1-804-1,yes,nk_party,
1016,2014-565598-1-808-1,yes,nk_party,
1016,2014-565598-1-805-1,yes,nk_party,
1016,2014-565598-1-801-1,yes,nk_party,
1016,2014-565598-1-807-1,yes,nk_party,
1016,2014-565598-1-802-1,yes,nk_party,
1016,2014-565598-1-803-1,yes,nk_party,
1017,2014-565598-1-804-1,yes,nk_party,
1017,2014-565598-1-808-1,yes,nk_party,
1017,2014-565598-1-805-1,yes,nk_party,
1017,2014-565598-1-801-1,yes,nk_party,
1017,2014-565598-1-807-1,yes,nk_party,
1017,2014-565598-1-802-1,yes,nk_party,
1017,2014-565598-1-803-1,yes,nk_party,
2001,2014-565598-1-804-1,yes,nk_party,
