id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-03,Určení zapisovatele a ověřovatelů,3,"Zastupitelstvo obce Srbeč určuje ověřovateli zápisu pana Pavla Klímu a Libora Nárožného, zapisovatelkou paní Vladimíru Rinágelovou.",
1002,1,2014-11-03,Schválení programu,4,Zastupitelstvo obce Srbeč schvaluje následující program,
1003,1,2014-11-03,Volba starosty a místostarosty obce,5,"Zastupitelstvo obce Srbeč určuje, že pro výkon funkce starosty a místostarosty budou členové zastupitelstva neuvolnění.",
1004,1,2014-11-03,Volba starosty a místostarosty obce,5,Zastupitelstvo obce Srbeč schvaluje veřejný způsob volby starosty a místostarosty.,
1005,1,2014-11-03,Volba starosty a místostarosty obce,5,Zastupitelstvo obce Srbeč volí starostou pana Tomáše Cimrmana.,
1006,1,2014-11-03,Volba starosty a místostarosty obce,5,Zastupitelstvo obce Srbeč volí místostarostkou paní Moniku Noskovou. (Usnesení nebylo schváleno),
1007,1,2014-11-03,Volba starosty a místostarosty obce,5,Zastupitelstvo obce Srbeč volí místostarostou obce Srbeč pana Pavla Doušu.,
1008,1,2014-11-03,Zřízení výborů,6,Zastupitelstvo obce Srbeč zřizuje finanční a kontrolní výbor. Oba výbory budou tříčlenné.,
1009,1,2014-11-03,Zřízení výborů,6,Zastupitelstvo obce Srbeč volí předsedou kontrolního výboru pana Pavla Klímu.,
1010,1,2014-11-03,Zřízení výborů,6,Zastupitelstvo obce Srbeč volí předsedou finančního výboru paní Danielu Kederovou.,
1011,1,2014-11-03,Zřízení výborů,6,Zastupitelstvo obce Srbeč volí členem kontrolního výboru pana Libora Nárožného.,
1012,1,2014-11-03,Zřízení výborů,6,Zastupitelstvo obce Srbeč volí členem kontrolního výboru pana Františka Tintěru.,
1013,1,2014-11-03,Zřízení výborů,6,Zastupitelstvo obce volí členem finančního výboru pana Václava Erlebacha.,
1014,1,2014-11-03,Zřízení výborů,6,Zastupitelstvo obce Srbeč volí členem finančního výboru pana Jaroslava Hotového.,
2001,2,2014-11-25,Určení zapisovatele a ověřovatelů,2,Zastupitelstvo obce Srbeč volí ověřovateli zápisu pana Libora Nárožného a pana Václava Erlebacha. Zapisovatelkou volí paní Vladimíru Rinágelovu.,
2002,2,2014-11-25,Schválení programu zasedání,3,Zastupitelstvo obce Srbeč schvaluje program veřejného zasedání ze dne 25. 11. 2014.,
2003,2,2014-11-25,Odměny členů zastupitelstva a výborů,4,"Zastupitelstvo obce Srbeč v souladu s § 72 a § 84 odst. 2 písm. o) a u) zákona o obcích a na základě nařízení vlády č.37/2003 Sb., o odměnách za výkon funkce členů zastupitelstev, ve znění pozdějších předpisů, stanoví od 1. 12. 2014 odměnu za výkon funkce: starosty obce ve výši 18.802,- Kč, místostarosty obce ve výši 11.421,- Kč, předsedy finančního výboru ve výši 1.340,- Kč, předsedy kontrolního výboru ve výši 1.340,- Kč, zastupitele + člena výboru ve výši 1.030,- Kč, zastupitele ve výši 480,- Kč, člena výboru ve výši 570,- Kč.",
3001,3,2015-02-18,Určení ověřovatelů zápisu a zapisovatele,2,Zastupitelstvo obce Srbeč volí ověřovateli zápisu pana Václava Erlebacha a pana Pavla Doušu. Zapisovatelkou volí paní Vladimíru Rinágelovou.,
3002,3,2015-02-18,Schválení programu,3,Zastupitelstvo obce Srbeč schvaluje program veřejného zasedání ze dne 18. 2. 2015.,
