id,classification_id,classification,name,
kdu-csl_party,party,Navrhující strana,Křesťan.a demokrat.unie-Českosl.strana lidová,
ano-2011_party,party,Navrhující strana,ANO 2011,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
kscm_party,party,Navrhující strana,Komunistická strana Čech a Moravy,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
1_list,list,Kandidátní listina,Křesťan.a demokrat.unie-Českosl.strana lidová,
768_list,list,Kandidátní listina,ANO 2011,
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
47_list,list,Kandidátní listina,Komunistická strana Čech a Moravy,
902_list,list,Kandidátní listina,listina nezávislých kandidátů,
903_list,list,Kandidátní listina,listina nezávislých kandidátů,
