id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-05,Určení ověřovatelů a zapisovatele,1,Zastupitelstvo obce Stachy určuje ověřovateli zápisu pana Ing. L. Sásku a pana Ing. P. Lampu a zapisovatelem Ing. L. Střelečkovou.,
1002,1,2014-11-05,Schválení programu,2,Zastupitelstvo obce Stachy schvaluje program ustavujícího zasedání.,
1003,1,2014-11-05,volba starosty a místostarosty,3,Zastupitelstvo obce Stachy schvaluje zvolení jednoho místostarosty.,
1004,1,2014-11-05,volba starosty a místostarosty,3," Zastupitelstvo obce Stachy v souladu s § 84 odst. 2 písm. k) zákona o obcích určuje, že pro výkon funkce starosty obce bude člen zastupitelstva dlouhodobě uvolněn.",
1005,1,2014-11-05,volba starosty a místostarosty,3,Zastupitelstvo obce Stachy volí starostou Ing. L. Sásku.,
1006,1,2014-11-05,volba starosty a místostarosty,3,Zastupitelstvo obce Stachy volí starostou obce Stachy pana B. Klímu.,
1007,1,2014-11-05,volba starosty a místostarosty,3,Zastupitelstvo obce Stachy volí místostarostou Ing. L. Sásku.,
1008,1,2014-11-05,volba starosty a místostarosty,3,Zastupitelstvo obce Stachy volí místostarostou obce Stachy pana Ing. P. Lampu,
1009,1,2014-11-05,volba starosty a místostarosty,3,Zastupitelstvo obce Stachy volí členem rady obce pana Mgr. Michala Střelečka.,
1010,1,2014-11-05,volba starosty a místostarosty,3,Zastupitelstvo obce Stachy volí členem rady obce pana Mgr. Z. Kluibra.,
1011,1,2014-11-05,volba starosty a místostarosty,3,Zastupitelstvo obce Stachy volí členem rady obce paní J. Brabcovou.,
1012,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Stachy volí předsedou finančního výboru Ing. L. Řezníka.,
1013,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Stachy volí předsedou finančního výboru Ing. Z. Strnada PhD.,
1014,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,"Zastupitelstvo obce Stachy volí předsedou kontrolního výboru Bc. Pavla Vališe, DiS.",
1015,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Stachy volí předsedou kontrolního výboru Mgr. Petru Voldřichovou.,
1016,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Stachy volí za člena finančního výboru : Ing. L. Sásku,
1017,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Stachy volí za člena finančního výboru : Ing. L. Řezníka,
1018,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,"Zastupitelstvo obce Stachy volí za člena finančního výboru: Bc. Pavla Vališe, DiS.",
1019,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Stachy volí za člena finančního výboru: Bc. Zdeňka Švihela.,
1020,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Stachy volí za člena finančního výboru: Marii Klímovou.,
1021,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Stachy volí za člena finančního výboru: J. Maříka,
1022,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Stachy volí za člena finančního výboru Ing. H. Drholcovou,
1023,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Stachy volí za člena finančního výboru: L. Heidenreicha,
1024,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Stachy volí za člena kontrolního výboru: Ing. L. Sásku,
1025,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Stachy volí za člena kontrolního výboru: Ing. L. Řezníka,
1026,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,"Zastupitelstvo obce Stachy volí za člena kontrolního výboru : Bc. Pavla Vališe, DiS.",
1027,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Stachy volí za člena kontrolního výboru: Bc. Zdeňka Švihela.,
1028,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Stachy volí za člena kontrolního výboru: L. Štěpánovou,
1029,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Stachy volí za člena kontrolního výboru: Mgr. Z. Kluibra,
