id,name,organization:party,organization:affiliation,organization:list,
2014-550515-1-1-3,Brabcová Jana,kdu-csl_party,bezpp_affiliation,1_list,
2014-550515-1-768-6,Heidenreich Ladislav,ano-2011_party,bezpp_affiliation,768_list,
2014-550515-1-901-1,Klíma Bořivoj,nk_party,bezpp_affiliation,901_list,
2014-550515-1-47-2,Klímová Marie,kscm_party,bezpp_affiliation,47_list,
2014-550515-1-902-2,Kluibr Zdeněk Mgr.,nk_party,bezpp_affiliation,902_list,
2014-550515-1-902-1,Lampa Petr Ing.,nk_party,bezpp_affiliation,902_list,
2014-550515-1-903-2,Řezník Ladislav Ing.,nk_party,bezpp_affiliation,903_list,
2014-550515-1-903-1,Sáska Luděk Ing.,nk_party,bezpp_affiliation,903_list,
2014-550515-1-902-5,Strnad Zdeněk Ing. Ph.D.,nk_party,bezpp_affiliation,902_list,
2014-550515-1-901-2,Střeleček Michal Mgr.,nk_party,bezpp_affiliation,901_list,
2014-550515-1-768-2,Švihel Zdeněk Bc.,ano-2011_party,bezpp_affiliation,768_list,
2014-550515-1-901-3,Trázník Josef,nk_party,bezpp_affiliation,901_list,
2014-550515-1-903-3,Vališ Pavel Bc. DiS.,nk_party,bezpp_affiliation,903_list,
2014-550515-1-901-4,Voldřichová Petra Mgr.,nk_party,bezpp_affiliation,901_list,
2014-550515-1-903-9,Žižka František,nk_party,bezpp_affiliation,903_list,
