vote_event_id,voter_id,option,group_id,
1001,2014-545082-1-807-1,yes,nk_party,
1001,2014-545082-1-802-1,yes,nk_party,
1001,2014-545082-1-801-1,yes,nk_party,
1001,2014-545082-1-803-1,yes,nk_party,
1001,2014-545082-1-804-1,yes,nk_party,
1001,2014-545082-1-805-1,yes,nk_party,
1001,2014-545082-1-806-1,yes,nk_party,
1002,2014-545082-1-807-1,yes,nk_party,
1002,2014-545082-1-802-1,yes,nk_party,
1002,2014-545082-1-801-1,yes,nk_party,
1002,2014-545082-1-803-1,yes,nk_party,
1002,2014-545082-1-804-1,yes,nk_party,
1002,2014-545082-1-805-1,yes,nk_party,
1002,2014-545082-1-806-1,yes,nk_party,
1003,2014-545082-1-807-1,yes,nk_party,
1003,2014-545082-1-802-1,yes,nk_party,
1003,2014-545082-1-801-1,yes,nk_party,
1003,2014-545082-1-803-1,yes,nk_party,
1003,2014-545082-1-804-1,yes,nk_party,
1003,2014-545082-1-805-1,yes,nk_party,
1003,2014-545082-1-806-1,yes,nk_party,
1004,2014-545082-1-807-1,yes,nk_party,
1004,2014-545082-1-802-1,yes,nk_party,
1004,2014-545082-1-801-1,yes,nk_party,
1004,2014-545082-1-803-1,yes,nk_party,
1004,2014-545082-1-804-1,yes,nk_party,
1004,2014-545082-1-805-1,yes,nk_party,
1004,2014-545082-1-806-1,yes,nk_party,
1005,2014-545082-1-807-1,yes,nk_party,
1005,2014-545082-1-802-1,yes,nk_party,
1005,2014-545082-1-801-1,yes,nk_party,
1005,2014-545082-1-803-1,yes,nk_party,
1005,2014-545082-1-804-1,yes,nk_party,
1005,2014-545082-1-805-1,yes,nk_party,
1005,2014-545082-1-806-1,yes,nk_party,
1006,2014-545082-1-807-1,yes,nk_party,
1006,2014-545082-1-802-1,yes,nk_party,
1006,2014-545082-1-801-1,yes,nk_party,
1006,2014-545082-1-803-1,yes,nk_party,
1006,2014-545082-1-804-1,yes,nk_party,
1006,2014-545082-1-805-1,yes,nk_party,
1006,2014-545082-1-806-1,yes,nk_party,
1007,2014-545082-1-807-1,yes,nk_party,
1007,2014-545082-1-802-1,yes,nk_party,
1007,2014-545082-1-801-1,yes,nk_party,
1007,2014-545082-1-803-1,yes,nk_party,
1007,2014-545082-1-804-1,yes,nk_party,
1007,2014-545082-1-805-1,yes,nk_party,
1007,2014-545082-1-806-1,yes,nk_party,
1008,2014-545082-1-807-1,yes,nk_party,
1008,2014-545082-1-802-1,yes,nk_party,
1008,2014-545082-1-801-1,yes,nk_party,
1008,2014-545082-1-803-1,yes,nk_party,
1008,2014-545082-1-804-1,yes,nk_party,
1008,2014-545082-1-805-1,yes,nk_party,
1008,2014-545082-1-806-1,yes,nk_party,
1009,2014-545082-1-807-1,yes,nk_party,
1009,2014-545082-1-802-1,yes,nk_party,
1009,2014-545082-1-801-1,yes,nk_party,
1009,2014-545082-1-803-1,yes,nk_party,
1009,2014-545082-1-804-1,yes,nk_party,
1009,2014-545082-1-805-1,yes,nk_party,
1009,2014-545082-1-806-1,yes,nk_party,
1010,2014-545082-1-807-1,yes,nk_party,
1010,2014-545082-1-802-1,no,nk_party,
1010,2014-545082-1-801-1,no,nk_party,
1010,2014-545082-1-803-1,yes,nk_party,
1010,2014-545082-1-804-1,no,nk_party,
1010,2014-545082-1-805-1,no,nk_party,
1010,2014-545082-1-806-1,no,nk_party,
1011,2014-545082-1-807-1,yes,nk_party,
1011,2014-545082-1-802-1,yes,nk_party,
1011,2014-545082-1-801-1,yes,nk_party,
1011,2014-545082-1-803-1,yes,nk_party,
1011,2014-545082-1-804-1,yes,nk_party,
1011,2014-545082-1-805-1,yes,nk_party,
1011,2014-545082-1-806-1,yes,nk_party,
1012,2014-545082-1-807-1,yes,nk_party,
1012,2014-545082-1-802-1,yes,nk_party,
1012,2014-545082-1-801-1,yes,nk_party,
1012,2014-545082-1-803-1,yes,nk_party,
1012,2014-545082-1-804-1,yes,nk_party,
1012,2014-545082-1-805-1,yes,nk_party,
1012,2014-545082-1-806-1,yes,nk_party,
1013,2014-545082-1-807-1,yes,nk_party,
1013,2014-545082-1-802-1,yes,nk_party,
1013,2014-545082-1-801-1,yes,nk_party,
1013,2014-545082-1-803-1,yes,nk_party,
1013,2014-545082-1-804-1,yes,nk_party,
1013,2014-545082-1-805-1,yes,nk_party,
1013,2014-545082-1-806-1,yes,nk_party,
1014,2014-545082-1-807-1,yes,nk_party,
1014,2014-545082-1-802-1,yes,nk_party,
1014,2014-545082-1-801-1,yes,nk_party,
1014,2014-545082-1-803-1,yes,nk_party,
1014,2014-545082-1-804-1,yes,nk_party,
1014,2014-545082-1-805-1,yes,nk_party,
1014,2014-545082-1-806-1,yes,nk_party,
1015,2014-545082-1-807-1,yes,nk_party,
1015,2014-545082-1-802-1,yes,nk_party,
1015,2014-545082-1-801-1,yes,nk_party,
1015,2014-545082-1-803-1,yes,nk_party,
1015,2014-545082-1-804-1,yes,nk_party,
1015,2014-545082-1-805-1,yes,nk_party,
1015,2014-545082-1-806-1,yes,nk_party,
1016,2014-545082-1-807-1,yes,nk_party,
1016,2014-545082-1-802-1,yes,nk_party,
1016,2014-545082-1-801-1,yes,nk_party,
1016,2014-545082-1-803-1,yes,nk_party,
1016,2014-545082-1-804-1,yes,nk_party,
1016,2014-545082-1-805-1,yes,nk_party,
1016,2014-545082-1-806-1,yes,nk_party,
1017,2014-545082-1-807-1,yes,nk_party,
1017,2014-545082-1-802-1,yes,nk_party,
1017,2014-545082-1-801-1,yes,nk_party,
1017,2014-545082-1-803-1,yes,nk_party,
1017,2014-545082-1-804-1,yes,nk_party,
1017,2014-545082-1-805-1,yes,nk_party,
1017,2014-545082-1-806-1,yes,nk_party,
1018,2014-545082-1-807-1,yes,nk_party,
1018,2014-545082-1-802-1,yes,nk_party,
1018,2014-545082-1-801-1,yes,nk_party,
1018,2014-545082-1-803-1,yes,nk_party,
1018,2014-545082-1-804-1,yes,nk_party,
1018,2014-545082-1-805-1,yes,nk_party,
1018,2014-545082-1-806-1,yes,nk_party,
1019,2014-545082-1-807-1,yes,nk_party,
1019,2014-545082-1-802-1,yes,nk_party,
1019,2014-545082-1-801-1,yes,nk_party,
1019,2014-545082-1-803-1,yes,nk_party,
1019,2014-545082-1-804-1,yes,nk_party,
1019,2014-545082-1-805-1,yes,nk_party,
1019,2014-545082-1-806-1,yes,nk_party,
1020,2014-545082-1-807-1,yes,nk_party,
1020,2014-545082-1-802-1,yes,nk_party,
1020,2014-545082-1-801-1,yes,nk_party,
1020,2014-545082-1-803-1,yes,nk_party,
1020,2014-545082-1-804-1,yes,nk_party,
1020,2014-545082-1-805-1,yes,nk_party,
1020,2014-545082-1-806-1,yes,nk_party,
1021,2014-545082-1-807-1,yes,nk_party,
1021,2014-545082-1-802-1,yes,nk_party,
1021,2014-545082-1-801-1,yes,nk_party,
1021,2014-545082-1-803-1,yes,nk_party,
1021,2014-545082-1-804-1,yes,nk_party,
1021,2014-545082-1-805-1,yes,nk_party,
1021,2014-545082-1-806-1,yes,nk_party,
1022,2014-545082-1-807-1,yes,nk_party,
1022,2014-545082-1-802-1,yes,nk_party,
1022,2014-545082-1-801-1,yes,nk_party,
1022,2014-545082-1-803-1,yes,nk_party,
1022,2014-545082-1-804-1,yes,nk_party,
1022,2014-545082-1-805-1,yes,nk_party,
1022,2014-545082-1-806-1,yes,nk_party,
1023,2014-545082-1-807-1,yes,nk_party,
1023,2014-545082-1-802-1,yes,nk_party,
1023,2014-545082-1-801-1,yes,nk_party,
1023,2014-545082-1-803-1,yes,nk_party,
1023,2014-545082-1-804-1,yes,nk_party,
1023,2014-545082-1-805-1,yes,nk_party,
1023,2014-545082-1-806-1,yes,nk_party,
1024,2014-545082-1-807-1,yes,nk_party,
1024,2014-545082-1-802-1,yes,nk_party,
1024,2014-545082-1-801-1,yes,nk_party,
1024,2014-545082-1-803-1,yes,nk_party,
1024,2014-545082-1-804-1,yes,nk_party,
1024,2014-545082-1-805-1,yes,nk_party,
1024,2014-545082-1-806-1,yes,nk_party,
1025,2014-545082-1-807-1,yes,nk_party,
1025,2014-545082-1-802-1,yes,nk_party,
1025,2014-545082-1-801-1,yes,nk_party,
1025,2014-545082-1-803-1,yes,nk_party,
1025,2014-545082-1-804-1,yes,nk_party,
1025,2014-545082-1-805-1,yes,nk_party,
1025,2014-545082-1-806-1,yes,nk_party,
1026,2014-545082-1-807-1,yes,nk_party,
1026,2014-545082-1-802-1,yes,nk_party,
1026,2014-545082-1-801-1,yes,nk_party,
1026,2014-545082-1-803-1,yes,nk_party,
1026,2014-545082-1-804-1,yes,nk_party,
1026,2014-545082-1-805-1,yes,nk_party,
1026,2014-545082-1-806-1,yes,nk_party,
1027,2014-545082-1-807-1,yes,nk_party,
1027,2014-545082-1-802-1,yes,nk_party,
1027,2014-545082-1-801-1,yes,nk_party,
1027,2014-545082-1-803-1,yes,nk_party,
1027,2014-545082-1-804-1,yes,nk_party,
1027,2014-545082-1-805-1,yes,nk_party,
1027,2014-545082-1-806-1,yes,nk_party,
1028,2014-545082-1-807-1,yes,nk_party,
1028,2014-545082-1-802-1,yes,nk_party,
1028,2014-545082-1-801-1,yes,nk_party,
1028,2014-545082-1-803-1,yes,nk_party,
1028,2014-545082-1-804-1,yes,nk_party,
1028,2014-545082-1-805-1,yes,nk_party,
1028,2014-545082-1-806-1,yes,nk_party,
