id,name,organization:party,organization:affiliation,organization:list,
2014-555231-1-901-1,Gráf Josef Mgr.,nk_party,bezpp_affiliation,901_list,
2014-555231-1-901-5,Hlatký Jan,nk_party,bezpp_affiliation,901_list,
2014-555231-1-901-4,Kolková Irena,nk_party,bezpp_affiliation,901_list,
2014-555231-1-901-2,Krčál Vladislav Mgr.,nk_party,bezpp_affiliation,901_list,
2014-555231-1-901-9,Křemeček Ladislav Ing.,nk_party,bezpp_affiliation,901_list,
2014-555231-1-7-11,Kubiš Marek,cssd_party,bezpp_affiliation,7_list,
2014-555231-1-901-15,Kubišová Monika,nk_party,bezpp_affiliation,901_list,
2014-555231-1-7-7,Kuchař František,cssd_party,bezpp_affiliation,7_list,
2014-555231-1-7-2,Kutner Jan DiS.,cssd_party,bezpp_affiliation,7_list,
2014-555231-1-7-3,Molík Aleš Ing.,cssd_party,bezpp_affiliation,7_list,
2014-555231-1-901-10,Mrňa Pavel Ing.,nk_party,bezpp_affiliation,901_list,
2014-555231-1-7-1,Paul Martin Ing.,cssd_party,cssd_affiliation,7_list,
2014-555231-1-47-2,Rychlík Pavel,kscm_party,bezpp_affiliation,47_list,
2014-555231-1-7-5,Stará Růžena,cssd_party,bezpp_affiliation,7_list,
2014-555231-1-901-3,Vyskočil Tomáš,nk_party,bezpp_affiliation,901_list,
