vote_event_id,voter_id,option,group_id,
1001,2014-555231-1-901-1,yes,nk_party,
1001,2014-555231-1-901-5,yes,nk_party,
1001,2014-555231-1-901-4,yes,nk_party,
1001,2014-555231-1-901-2,yes,nk_party,
1001,2014-555231-1-901-9,yes,nk_party,
1001,2014-555231-1-7-11,yes,cssd_party,
1001,2014-555231-1-901-15,yes,nk_party,
1001,2014-555231-1-7-7,yes,cssd_party,
1001,2014-555231-1-7-2,yes,cssd_party,
1001,2014-555231-1-7-3,yes,cssd_party,
1001,2014-555231-1-901-10,yes,nk_party,
1001,2014-555231-1-7-1,yes,cssd_party,
1001,2014-555231-1-47-2,yes,kscm_party,
1001,2014-555231-1-7-5,yes,cssd_party,
1001,2014-555231-1-901-3,yes,nk_party,
1002,2014-555231-1-901-1,yes,nk_party,
1002,2014-555231-1-901-5,yes,nk_party,
1002,2014-555231-1-901-4,yes,nk_party,
1002,2014-555231-1-901-2,yes,nk_party,
1002,2014-555231-1-901-9,yes,nk_party,
1002,2014-555231-1-7-11,yes,cssd_party,
1002,2014-555231-1-901-15,yes,nk_party,
1002,2014-555231-1-7-7,yes,cssd_party,
1002,2014-555231-1-7-2,yes,cssd_party,
1002,2014-555231-1-7-3,yes,cssd_party,
1002,2014-555231-1-901-10,yes,nk_party,
1002,2014-555231-1-7-1,yes,cssd_party,
1002,2014-555231-1-47-2,yes,kscm_party,
1002,2014-555231-1-7-5,yes,cssd_party,
1002,2014-555231-1-901-3,yes,nk_party,
1003,2014-555231-1-901-1,abstain,nk_party,
1003,2014-555231-1-901-5,yes,nk_party,
1003,2014-555231-1-901-4,yes,nk_party,
1003,2014-555231-1-901-2,yes,nk_party,
1003,2014-555231-1-901-9,yes,nk_party,
1003,2014-555231-1-7-11,yes,cssd_party,
1003,2014-555231-1-901-15,yes,nk_party,
1003,2014-555231-1-7-7,yes,cssd_party,
1003,2014-555231-1-7-2,yes,cssd_party,
1003,2014-555231-1-7-3,yes,cssd_party,
1003,2014-555231-1-901-10,yes,nk_party,
1003,2014-555231-1-7-1,yes,cssd_party,
1003,2014-555231-1-47-2,yes,kscm_party,
1003,2014-555231-1-7-5,yes,cssd_party,
1003,2014-555231-1-901-3,yes,nk_party,
1004,2014-555231-1-901-1,yes,nk_party,
1004,2014-555231-1-901-5,yes,nk_party,
1004,2014-555231-1-901-4,yes,nk_party,
1004,2014-555231-1-901-2,yes,nk_party,
1004,2014-555231-1-901-9,yes,nk_party,
1004,2014-555231-1-7-11,yes,cssd_party,
1004,2014-555231-1-901-15,yes,nk_party,
1004,2014-555231-1-7-7,yes,cssd_party,
1004,2014-555231-1-7-2,abstain,cssd_party,
1004,2014-555231-1-7-3,yes,cssd_party,
1004,2014-555231-1-901-10,yes,nk_party,
1004,2014-555231-1-7-1,yes,cssd_party,
1004,2014-555231-1-47-2,yes,kscm_party,
1004,2014-555231-1-7-5,yes,cssd_party,
1004,2014-555231-1-901-3,yes,nk_party,
1005,2014-555231-1-901-1,yes,nk_party,
1005,2014-555231-1-901-5,yes,nk_party,
1005,2014-555231-1-901-4,yes,nk_party,
1005,2014-555231-1-901-2,abstain,nk_party,
1005,2014-555231-1-901-9,yes,nk_party,
1005,2014-555231-1-7-11,yes,cssd_party,
1005,2014-555231-1-901-15,yes,nk_party,
1005,2014-555231-1-7-7,yes,cssd_party,
1005,2014-555231-1-7-2,yes,cssd_party,
1005,2014-555231-1-7-3,yes,cssd_party,
1005,2014-555231-1-901-10,yes,nk_party,
1005,2014-555231-1-7-1,abstain,cssd_party,
1005,2014-555231-1-47-2,yes,kscm_party,
1005,2014-555231-1-7-5,yes,cssd_party,
1005,2014-555231-1-901-3,abstain,nk_party,
1006,2014-555231-1-901-1,yes,nk_party,
1006,2014-555231-1-901-5,yes,nk_party,
1006,2014-555231-1-901-4,yes,nk_party,
1006,2014-555231-1-901-2,yes,nk_party,
1006,2014-555231-1-901-9,yes,nk_party,
1006,2014-555231-1-7-11,yes,cssd_party,
1006,2014-555231-1-901-15,yes,nk_party,
1006,2014-555231-1-7-7,yes,cssd_party,
1006,2014-555231-1-7-2,yes,cssd_party,
1006,2014-555231-1-7-3,yes,cssd_party,
1006,2014-555231-1-901-10,yes,nk_party,
1006,2014-555231-1-7-1,yes,cssd_party,
1006,2014-555231-1-47-2,yes,kscm_party,
1006,2014-555231-1-7-5,yes,cssd_party,
1006,2014-555231-1-901-3,yes,nk_party,
2001,2014-555231-1-901-1,yes,nk_party,
2001,2014-555231-1-901-5,yes,nk_party,
2001,2014-555231-1-901-4,yes,nk_party,
2001,2014-555231-1-901-2,yes,nk_party,
2001,2014-555231-1-901-9,yes,nk_party,
2001,2014-555231-1-7-11,yes,cssd_party,
2001,2014-555231-1-901-15,yes,nk_party,
2001,2014-555231-1-7-7,yes,cssd_party,
2001,2014-555231-1-7-2,yes,cssd_party,
2001,2014-555231-1-7-3,yes,cssd_party,
2001,2014-555231-1-901-10,yes,nk_party,
2001,2014-555231-1-7-1,abstain,cssd_party,
2001,2014-555231-1-47-2,abstain,kscm_party,
2001,2014-555231-1-7-5,yes,cssd_party,
2001,2014-555231-1-901-3,yes,nk_party,
2002,2014-555231-1-901-1,yes,nk_party,
2002,2014-555231-1-901-5,yes,nk_party,
2002,2014-555231-1-901-4,yes,nk_party,
2002,2014-555231-1-901-2,yes,nk_party,
2002,2014-555231-1-901-9,yes,nk_party,
2002,2014-555231-1-7-11,yes,cssd_party,
2002,2014-555231-1-901-15,yes,nk_party,
2002,2014-555231-1-7-7,yes,cssd_party,
2002,2014-555231-1-7-2,yes,cssd_party,
2002,2014-555231-1-7-3,yes,cssd_party,
2002,2014-555231-1-901-10,yes,nk_party,
2002,2014-555231-1-7-1,yes,cssd_party,
2002,2014-555231-1-47-2,yes,kscm_party,
2002,2014-555231-1-7-5,yes,cssd_party,
2002,2014-555231-1-901-3,yes,nk_party,
2003,2014-555231-1-901-1,yes,nk_party,
2003,2014-555231-1-901-5,yes,nk_party,
2003,2014-555231-1-901-4,yes,nk_party,
2003,2014-555231-1-901-2,yes,nk_party,
2003,2014-555231-1-901-9,yes,nk_party,
2003,2014-555231-1-7-11,yes,cssd_party,
2003,2014-555231-1-901-15,yes,nk_party,
2003,2014-555231-1-7-7,yes,cssd_party,
2003,2014-555231-1-7-2,yes,cssd_party,
2003,2014-555231-1-7-3,yes,cssd_party,
2003,2014-555231-1-901-10,yes,nk_party,
2003,2014-555231-1-7-1,yes,cssd_party,
2003,2014-555231-1-47-2,yes,kscm_party,
2003,2014-555231-1-7-5,yes,cssd_party,
2003,2014-555231-1-901-3,yes,nk_party,
2004,2014-555231-1-901-1,yes,nk_party,
2004,2014-555231-1-901-5,yes,nk_party,
2004,2014-555231-1-901-4,yes,nk_party,
2004,2014-555231-1-901-2,yes,nk_party,
2004,2014-555231-1-901-9,yes,nk_party,
2004,2014-555231-1-7-11,yes,cssd_party,
