vote_event_id,voter_id,option,group_id,
1001,2014-531782-1-903-1,no,nk_party,
1001,2014-531782-1-901-2,no,nk_party,
1001,2014-531782-1-903-2,yes,nk_party,
1001,2014-531782-1-904-1,yes,nk_party,
1001,2014-531782-1-7-1,yes,cssd_party,
1001,2014-531782-1-47-2,no,kscm_party,
1001,2014-531782-1-904-2,yes,nk_party,
1001,2014-531782-1-47-1,no,kscm_party,
1001,2014-531782-1-905-1,yes,nk_party,
1002,2014-531782-1-903-1,yes,nk_party,
1002,2014-531782-1-901-2,yes,nk_party,
1002,2014-531782-1-903-2,yes,nk_party,
1002,2014-531782-1-904-1,yes,nk_party,
1002,2014-531782-1-7-1,yes,cssd_party,
1002,2014-531782-1-47-2,yes,kscm_party,
1002,2014-531782-1-904-2,yes,nk_party,
1002,2014-531782-1-47-1,yes,kscm_party,
1002,2014-531782-1-905-1,yes,nk_party,
1003,2014-531782-1-903-1,abstain,nk_party,
1003,2014-531782-1-901-2,no,nk_party,
1003,2014-531782-1-903-2,yes,nk_party,
1003,2014-531782-1-904-1,yes,nk_party,
1003,2014-531782-1-7-1,yes,cssd_party,
1003,2014-531782-1-47-2,abstain,kscm_party,
1003,2014-531782-1-904-2,yes,nk_party,
1003,2014-531782-1-47-1,abstain,kscm_party,
1003,2014-531782-1-905-1,yes,nk_party,
1004,2014-531782-1-903-1,abstain,nk_party,
1004,2014-531782-1-901-2,abstain,nk_party,
1004,2014-531782-1-903-2,yes,nk_party,
1004,2014-531782-1-904-1,yes,nk_party,
1004,2014-531782-1-7-1,yes,cssd_party,
1004,2014-531782-1-47-2,no,kscm_party,
1004,2014-531782-1-904-2,yes,nk_party,
1004,2014-531782-1-47-1,abstain,kscm_party,
1004,2014-531782-1-905-1,yes,nk_party,
1005,2014-531782-1-903-1,yes,nk_party,
1005,2014-531782-1-901-2,yes,nk_party,
1005,2014-531782-1-903-2,yes,nk_party,
1005,2014-531782-1-904-1,yes,nk_party,
1005,2014-531782-1-7-1,yes,cssd_party,
1005,2014-531782-1-47-2,yes,kscm_party,
1005,2014-531782-1-904-2,yes,nk_party,
1005,2014-531782-1-47-1,yes,kscm_party,
1005,2014-531782-1-905-1,yes,nk_party,
1006,2014-531782-1-903-1,abstain,nk_party,
1006,2014-531782-1-901-2,yes,nk_party,
