id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-10-30,Jednací řád zastupitelstva obce,2,Zastupitelstvo Obce Těchobuz schvaluje jednací řád zastupitelstva obce Těchobuz,
1002,1,2014-10-30,Volba starosty a místostarosty obce,3,"Zastupitelstvo Obce Těchobuz schvaluje zvolení jednoho místostarosty a to, že žádná funkce v zastupitelstvu obce nebude vykonávána jako uvolněná ve smyslu § 71 zákona o obcích",
1003,1,2014-10-30,Volba starosty a místostarosty obce,3,"Zastupitelstvo Obce Těchobuz volí starostou obce Těchobuz Ing. Pavla Hájka, narozeného 24.6.1979, trvale bytem Těchobuz 13, 395 01 Pacov",
1004,1,2014-10-30,Volba starosty a místostarosty obce,3,"Zastupitelstvo Obce Těchobuz volí místostarostou obce Těchobuz pana Václava Vlčka, narozeného 2.11.1954, trvale bytem Těchobuz 58, 395 01 Pacov",
1005,1,2014-10-30,Volba starosty a místostarosty obce,3,Zastupitelstvo Obce Těchobuz ruší usnesení zastupitelstva obce Těchobuz č.2010/06/78 ze dne 11.11.2010,
1006,1,2014-10-30,"Zřízení výborů, volba jejich předsedů a členů",4,"Zastupitelstvo Obce Těchobuz zřizuje finanční výbor zastupitelstva obce Těchobuz, který bude tříčlenný",
1007,1,2014-10-30,"Zřízení výborů, volba jejich předsedů a členů",4,"Zastupitelstvo Obce Těchobuz zřizuje kontrolní výbor zastupitelstva obce Těchobuz, který bude pětičlenný",
1008,1,2014-10-30,"Zřízení výborů, volba jejich předsedů a členů",4,Zastupitelstvo Obce Těchobuz volí předsedou finančního výboru pana Ludvíka Kadlece a jeho členy paní Marcelu Faktorovou a paní Jarmilu Mrázkovou,
1009,1,2014-10-30,"Zřízení výborů, volba jejich předsedů a členů",4,"Zastupitelstvo Obce Těchobuz volí předsedou kontrolního výboru pana Aleše Boháčka a jeho členy pana Stanislava Mrázka, paní Marii Jarešovou, pana Františka Heřmana a JUDr. Jana Štástku",
1010,1,2014-10-30,"Zřízení výborů, volba jejich předsedů a členů",4,Zastupitelstvo Obce Těchobuz pověřuje kontrolní výbor kontrolou hospodaření v Obecních lesích Těchobuz,
1011,1,2014-10-30,Odměny členům zastupitelstva obce,5,"Zastupitelstvo Obce Těchobuz schvaluje měsíční odměny zastupitelům v plné výši stanovené nařízením vlády 37/2003 Sb. v platném znění pro zastupitele za výkon funkce starosty, místostarosty, předsedy výboru a člena výboru zastupitelstva obce, který je zároveň zastupitelem, vše s účinností od 1.11.2014",
1012,1,2014-10-30,Rozpočtové opatření,6,"Zastupitelstvo Obce Těchobuz pověřuje starostu obce schvalováním rozpočtových opatření v částce do 300 000,- Kč na jedno rozpočtové opatření s tím, že takto schválená rozpočtová opatření budou následně dána zastupitelstvu na vědomí",
1013,1,2014-10-30,Rozpočtové opatření,6,Zastupitelstvo Obce Těchobuz schvaluje rozpočtové opatření č.8/2014,
1014,1,2014-10-30,Rozpočtové opatření,6,Zastupitelstvo Obce Těchobuz bere na vědomí rozpočtová opatření č.7 a 9/2014 schválená v rámci zmocnění zastupitelstva starostou obce,
2001,2,2014-11-27,Zahájení,1,Schválení upraveného návrhu programu,
2002,2,2014-11-27,Informace o projektech realizovaných v roce 2014,2,Zastupitelstvo Obce Těchobuz bere na vědomí informace a schvaluje realizaci projektů v roce 2014 dle tabulky,
2003,2,2014-11-27,Příspěvek pro MO ČRS Těchobuz,3,"Zastupitelstvo Obce Těchobuz schvaluje příspěvek na činnost MO ČRS Těchobuz ve výši 35 000,- Kč",
2004,2,2014-11-27,Mikulášské balíčky,4,"Zastupitelstvo Obce Těchobuz schvaluje nákup 14ti mikulášských balíčků pro děti v obci do 15ti let věku v ceně 150,- Kč za jeden balíček",
2005,2,2014-11-27,Vánoční balíčky pro důchodce,5,"Zastupitelstvo Obce Těchobuz schvaluje nákup desíti vánočních balíčků pro důchodce starší 75 let a pro bývalé obyvatele obce žijících v sociálních zařízeních mimo obec v ceně 500,- Kč za jeden balíček.",
2006,2,2014-11-27,Vánoční balíčky pro důchodce,5,Zastupitelstvo Obce Těchobuz schvaluje pořizování dárkových balíčků k životním jubileím občanů a to k 60. 65. 70. a od 75ti každý rok,
2007,2,2014-11-27,Zápis z jednání finančního výboru zastupitelstva obce,6,Zastupitelstvo Obce Těchobuz schvaluje zápis z jednání finančního výboru konaného dne 12.11.2014,
2008,2,2014-11-27,Rozpočtové opatření,7,Zastupitelstvo Obce Těchobuz schvaluje rozpočtové opatření č. 10/2014,
2009,2,2014-11-27,Projekty Revitalizace zeleně … a Revitalizace stromořadí v obci Těchobuz,8,Zastupitelstvo Obce Těchobuz schvaluje realizaci projektů Revitalizace zeleně v obci Těchobuz a Revitalizace stromořadí v obci Těchobuz,
2010,2,2014-11-27,Projekty Revitalizace zeleně … a Revitalizace stromořadí v obci Těchobuz,8,Zastupitelstvo Obce Těchobuz schvaluje uzavření Smlouvy č.14170376 o poskytnutí podpory ze SFŽP v rámci OPŽP na projekt Revitalizace stromořadí v obci Těchobuz,
2011,2,2014-11-27,Projekty Revitalizace zeleně … a Revitalizace stromořadí v obci Těchobuz,8,Zastupitelstvo Obce Těchobuz schvaluje uzavření Smlouvy č. 14220576 o poskytnutí podpory ze SFŽP v rámci OPŽP na projekt Revitalizace zeleně v obci Těchobuz,
2012,2,2014-11-27,Projekty připravované k realizaci na rok 2015,9,Zastupitelstvo Obce Těchobuz bere na vědomí a schvaluje informace o realizaci projektů v roce 2015 dle tabulky,
2013,2,2014-11-27,Projekty připravované k realizaci na rok 2015,9,Zastupitelstvo Obce Těchobuz vypracování změny stavby před dokončením na nové využití částí čp.87,
2014,2,2014-11-27,Projekty připravované k realizaci na rok 2015,9,Zastupitelstvo Obce Těchobuz schvaluje vypracování projektové dokumentace na zateplení a výměnu zdroje tepla u okálu čp.78 jako přípravu na podání žádosti do dotačních programů,
2015,2,2014-11-27,Projekty připravované k realizaci na rok 2015,9,Zastupitelstvo Obce Těchobuz schvaluje pořízení projektové dokumentace k řešení nové zástavby v lokalitě u hřbitova,
2016,2,2014-11-27,Jednací řád kontrolního výboru zastupitelstva obce Těchobuz,10,Zastupitelstvo Obce Těchobuz schvaluje Jednací řád kontrolního výboru zastupitelstva obce Těchobuz,
2017,2,2014-11-27,Diskuse,11,Zastupitelstvo Obce Těchobuz pověřuje starostu obce schvalováním zveřejňování záměrů nakládání s nemovitostmi dle § 39 zákona 128/2000 Sb. o obcích,
3001,3,2014-12-29,Zahájení,1,Schválení návrhu programu,
3002,3,2014-12-29,Rozpočtová opatření,2,Zastupitelstvo Obce Těchobuz schvaluje rozpočtové opatření č. 11/2014,
3003,3,2014-12-29,Rozpočtová opatření,2,Zastupitelstvo Obce Těchobuz schvaluje rozpočtové opatření č. 12/2014,
3004,3,2014-12-29,Rozpočtový výhled,3,Zastupitelstvo Obce Těchobuz schvaluje rozpočtový výhled na roky 2015 – 2017,
3005,3,2014-12-29,Rozpočtové provizórium,4,"Zastupitelstvo Obce Těchobuz schvaluje rozpočtové provizórium do schválení řádného rozpočtu obce, kdy rozpočtové výdaje za každý započatý měsíc budou v maximální výši 1/12 výdajů roku 2014.",
3006,3,2014-12-29,Zápisy z jednání výborů zastupitelstva obce,5,Zastupitelstvo Obce Těchobuz schvaluje zápis z jednání finančního výboru konaného dne 29.12.2014,
3007,3,2014-12-29,Zápisy z jednání výborů zastupitelstva obce,5,Zastupitelstvo Obce Těchobuz schvaluje zápis ze zasedání kontrolního výboru konaného 29.12.2014,
3008,3,2014-12-29,Zápisy z jednání výborů zastupitelstva obce,5,Zastupitelstvo Obce Těchobuz schvaluje plán činnosti kontrolního výboru na rok 2015,
