id,name,organization:party,organization:affiliation,organization:list,
2010-533751-1-47-3,Buchalová Jarmila,kscm_party,bezpp_affiliation,47_list,
2010-533751-1-53-1,Górska Martina Mgr.,ods_party,bezpp_affiliation,53_list,
2010-533751-1-47-5,Hanelová Iveta,kscm_party,bezpp_affiliation,47_list,
2010-533751-1-53-2,Havlín Radovan Ing.,ods_party,ods_affiliation,53_list,
2010-533751-1-47-4,Jasanský Josef,kscm_party,kscm_affiliation,47_list,
2010-533751-1-47-1,Pop Zdeněk,kscm_party,kscm_affiliation,47_list,
2010-533751-1-47-2,Růžková Lenka,kscm_party,bezpp_affiliation,47_list,
2010-533751-1-47-7,Kardoš Josef,kscm_party,bezpp_affiliation,47_list,
2010-533751-1-47-8,Kocourek Josef,kscm_party,bezpp_affiliation,47_list,
2010-533751-1-47-6,Kučera Petr,kscm_party,bezpp_affiliation,47_list,
