id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-03,Určení ověřovatelů a zapisovatele,1,Zastupitelstvo obce Třebovle určuje ověřovateli zápisu Martinu Dvořákovou a Mgr. Josefa Bureše a zapisovatelem Lenku Bednářovou,
1002,1,2014-11-03,program,2,hlasování o programu,
1003,1,2014-11-03,Volba starosty a místostarosty:,3,Zastupitelstvo obce Třebovle schvaluje veřejný způsob volby starosty a místostarosty,
1004,1,2014-11-03,Volba starosty a místostarosty:,3,Zastupitelstvo obce Třebovle volí starostkou paní Lenku Růžkovou.,
1005,1,2014-11-03,Volba starosty a místostarosty:,3,Zastupitelstvo obce Třebovle volí místostarostkou Martinu Dvořákovou,
1006,1,2014-11-03,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Třebovle zřizuje finanční výbor a kontrolní výbor. Oba výbory budou tříčlenné,
1007,1,2014-11-03,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Třebovle volí předsedou kontrolního výboru Mgr. Bureše,
1008,1,2014-11-03,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Třebovle volí předsedou finančního výboru Patrika Mičecha,
1009,1,2014-11-03,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Třebovle volí členy kontrolního výboru paní Janu Krausovou a Josefa Kocourka,
1010,1,2014-11-03,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Třebovle volí členy finančního výboru Mgr.Ing. Iva Bednáře a paní Janu Břízovou,
1011,1,2014-11-03,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,5,"Zastupitelstvo obce stanoví odměnu za výkon funkce neuvolněného člena zastupitelstva obce, dále odměnu za výkon funkce místostarosty jako neuvolněného člena  zastupitelstva obce a odměnu za výkon funkce předsedy výboru zastupitelstva obce neuvolněným členům zastupitelstva a to v souladu s § 72 zákona o obcích a zařízení vlády č. 37/2003 Sb., o odměnách za výkon funkce členům zastupitelstev, v platném znění - aktuálně nařízení vlády č. 459/2013 Sb. - a to měsíční odměnu v horní hranici, ode dne konání ustavujícího zastupitelstva, tj. 3.11.2014",
2001,2,2014-11-18,program,0,hlasování o programu,
2002,2,2014-11-18,Určení ověřovatelů a zapisovatele,0,Zastupitelstvo obce Třebovle určuje ověřovateli zápisu Josefa Jasanského a Josefa Kocourka a zapisovatelem Lenku Bednářovou,
2003,2,2014-11-18,Zahájení zasedání a kontrola plnění usnesení,1,Zastupitelstvo obce schvaluje plnění přijatých usnesení z minulého zasedání ZO.,
2004,2,2014-11-18,Dodatek č. 1 ke Smlouvě o dílo - silnice Borek,2,Zastupitelstvo obce souhlasí s Dodatkem č. 1 ke smlouvě o dílo se spol. SILMEX s.r.o. a uděluje starostce mandát k jejímu podpisu,
2005,2,2014-11-18,Smlouva o poskytnutí účelové dotace ze Stč. kraje – Hasiči,3,"Zastupitelstvo obce souhlasí se Smlouvou o poskytnutí účelové dotace z rozpočtu Stč. Kraje ze Středočeského Fondu podpory dobrovolných hasičů a složek IZS v rámci Tematického zadání Opravy a rekonstrukce hasičských zbrojnic č. S-2789/KHT ve výši 348.000,-Kč a uděluje starostce mandát k jejímu podpisu",
2006,2,2014-11-18,Smlouva č. 124 o uložení odpadu na řízenou skládku Radim,4,Zastupitelstvo obce souhlasí se Smlouvou č. 124 o uložení odpadu na řízenou skládku Radim pro rok 2015 a uděluje starostce mandát k jejímu podpisu.,
2007,2,2014-11-18,Žádost o poskytnutí dotace na zaměstnance VPP z Úřadu práce,5,Zastupitelstvo obce souhlasí s podáním žádosti o poskytnutí dotace na VPP z Úřadu práce,
2008,2,2014-11-18,Oprava výmolů v obci Miškovice a Království,6,"Zastupitelstvo obce souhlasí s neodkladnou opravu výmolů  v obci Miškovice a Království, paní starostka doplnila - s přihlédnutím ke klimatickým podmínkám, pokud to počasí dovolí",
2009,2,2014-11-18,"Umístění dopravních zrcadel v obci Miškovice, Třebovle a Borek",7,Zastupitelstvo obce ukládá zastupiteli Burešovi zjistit vlastníky pozemků pro umístění jím navrhovaných zrcadel a měřičů rychlostí v obci Třebovle a Miškovice do dalšího jednání zastupitelstva,
2010,2,2014-11-18,Propadání komunikace III. třídy 3344 směr Vrbčany – Miškovice,8,"Návrh na usnesení: Zastupitelstvo obce ukládá starostce projednat propadání komunikace III. třídy 3344 směr Vrbčany – Miškovice se správcem komunikace, neboť se na 3.km propadla ve směru Vrbčany – Miškovice a to do dalšího jednání zastupitelstva",
2011,2,2014-11-18,Příspěvek na rozsvícení stromu v Miškovicích,9,"Zastupitelstvo obce souhlasí s jednorázovým příspěvkem 12.000,-Kč pro občany Miškovic, resp. žadatele Mgr. Bureše za účelem nákupu Vánočních světýlek a konání akce rozsvícení vánočního stromu v Miškovicích",
2012,2,2014-11-18,Prodloužení PP Ladislava Pokorné,11,"Zastupitelstvo obce souhlasí s uzavřením DPP s panem Pokorným od 12/2014 do 02/2015 v částce 150,-Kč/hod.",
2013,2,2014-11-18,Rozpočtové opatření č. 2/2014,12,Zastupitelstvo obce souhlasí s Rozpočtovým opatřením č. 2/2014.,
3001,3,2014-12-18,program,0,hlasování o programu,
3002,3,2014-12-18,Určení ověřovatelů a zapisovatele,0,Zastupitelstvo obce Třebovle určuje ověřovateli zápisu Josefa Jasanského a Martinu Dvořákovou a zapisovatelem Lenku Bednářovou.,
3003,3,2014-12-18,Zahájení zasedání a kontrola plnění usnesení,1,Zastupitelstvo obce schvaluje plnění přijatých usnesení z minulého zasedání ZO.,
3004,3,2014-12-18,Smlouva o odvádění odpadních vod,2,Zastupitelstvo obce souhlasí s podpisem Smlouvy o odvádění odpadních vod s občany,
3005,3,2014-12-18,Kalkulace pro odvod odpadních vod pro rok 2014 a 2015,3,"Zastupitelstvo obce souhlasí se systémem kalkulace odvádění odpadních vod, který bude dle počtu připojených osob x množství vyprodukované odpadní vody na osobu x cena za m3 odvodu odpadní vody 40Kč /m3 bez DPH, přičemž množství odpadních vod bude stanoveno dle směrných čísel spotřeby vody - Vyhl. MZE ČR č.428/2001 Sb., v platném znění.",
3006,3,2014-12-18,Dílčí přezkoumání hospodaření Krajským úřadem Stč.kraje,4,"ZO ukládá starostce dbát na to, aby v případě, že bude schválený rozpočet doplněn o nějaké další položky, jež nebyly uvedeny v jeho zveřejněném návrhu, aby tyto změny byly více zdůrazněny",
3007,3,2014-12-18,Dílčí přezkoumání hospodaření Krajským úřadem Stč.kraje,4,ZO ukládá starostce dbát na častější realizaci rozpočtových opatření.,
3008,3,2014-12-18,Dílčí přezkoumání hospodaření Krajským úřadem Stč.kraje,4,ZO ukládá starostce dbát na přesnější stanovení rozpočtového výhledu pro další roky,
3009,3,2014-12-18,Dílčí přezkoumání hospodaření Krajským úřadem Stč.kraje,4,ZO ukládá starostce dbát na nezveřejňování žadatele o odkup při zveřejňování záměru o prodeji pozemku,
3010,3,2014-12-18,Dílčí přezkoumání hospodaření Krajským úřadem Stč.kraje,4,"ZO ukládá účetní do příštího ZO připravit vyčíslení pohledávek k účtům 311, 315 a 377 za předchozí roky pro tvorbu opravnýchpoložek / jejich odpis.",
3011,3,2014-12-18,Dílčí přezkoumání hospodaření Krajským úřadem Stč.kraje,4,ZO ukládá účetní dbát na druhové třídění rozpočtové skladby,
3012,3,2014-12-18,Dílčí přezkoumání hospodaření Krajským úřadem Stč.kraje,4,"ZO ukládá účetní kontrolovat, aby se údaje z Rozvahy zobrazily i v její příloze a pokud se tak nestane, dopsat je manuálně",
3013,3,2014-12-18,Dílčí přezkoumání hospodaření Krajským úřadem Stč.kraje,4,"ZO ukládá starostce určit správce rozpočtu, který se podepisuje na likvidační lístky účetních dokladů, který bude rozdílný odpříkazce operace",
3014,3,2014-12-18,Dílčí přezkoumání hospodaření Krajským úřadem Stč.kraje,4,ZO ukládá starostce dbát na včasné zasílání zprávy o přijetí nápravných opatření,
