id,classification_id,classification,name,
kscm_party,party,Navrhující strana,Komunistická strana Čech a Moravy,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
cssd_party,party,Navrhující strana,Česká strana sociálně demokratická,
kscm_affiliation,affiliation,Stranická příslušnost,Komunistická strana Čech a Moravy,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
cssd_affiliation,affiliation,Stranická příslušnost,Česká strana sociálně demokratická,
top-09_affiliation,affiliation,Stranická příslušnost,TOP 09,
47_list,list,Kandidátní listina,Komunistická strana Čech a Moravy,
902_list,list,Kandidátní listina,listina nezávislých kandidátů,
904_list,list,Kandidátní listina,listina nezávislých kandidátů,
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
7_list,list,Kandidátní listina,Česká strana sociálně demokratická,
903_list,list,Kandidátní listina,listina nezávislých kandidátů,
