id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2011-02-02,Chodník na Štěnovice,3,"Hlasování pro všechny tři dokumenty – návrh dohody, kupní smlouvy, darovací smlouvy",
1002,1,2011-02-02,Chodník na Štěnovice,3,"K ocenění bezúplatně nabytého pozemku parc.č. 117/2 (ostatní plocha, jiná plocha) bude použita vyhláška č. 3/2008 Sb. – reprodukční cena Kč 189,-/m2, tj. cena celkem Kč 756,-.",
1003,1,2011-02-02,Inventarizace majetku obce,4,výsledek inventarizace majetku obce za rok 2010,
1004,1,2011-02-02,Výroční zpráva,5,Výroční zpráva,
1005,1,2011-02-02,Různé,8,zřízení babyboxu,
2001,2,2011-03-16,Hostinec a sál Útušice,3,proplacení opravy plynového kotle,
2002,2,2011-03-16,Rozpočet obce na rok 2011,4,celková částka přijmů i výdajů 7 067 410 Kč,
2003,2,2011-03-16,Údržba veřejné zeleně,5,prořezání a pokácení olší,
2004,2,2011-03-16,Údržba veřejné zeleně,5,odstranění černých skládek,
2005,2,2011-03-16,Chodník Útušice,6,návrh kupní smlouvy mezi Obcí Útušice a manžely Dědkovými,
2006,2,2011-03-16,Různé,7,změna ve složení hlídkové služby,
2007,2,2011-03-16,Různé,7,"žádost účetní obce o koupi programu pro evidenci majetku, pokladny a došlých faktur v ceně 19 950 Kč bez DPH",
3001,3,2011-06-01,Hostinec Útušice,3,proplacení opravy elektrického sporáku,
3002,3,2011-06-01,Předškolní zařízení,4,"využití stávajíci ubytovny, stavba garáže, zpracování projektové dokumentace – Drda",
3003,3,2011-06-01,Nové autobusové zastávky Útušice,5,splátka pojištění,
3004,3,2011-06-01,Vybavení pro zásahové jednotky SDH,6,projekt „Nákup vybavení pro zásahové jednotky SDH obcí  Mikroregionu Radyně“,
3005,3,2011-06-01,Chodníky Útušice,7,"zadání práce Ing.Budínovi, Plzeň",
5001,5,2011-09-07,Parkování na veřejném prostranství,4,žádost p. Strycha,
5002,5,2011-09-07,různé,7,zapracování pozemků pč. PK 165 a pč. PK 166 v k.ú. Robčice do nově zpracovávaného územního plánu,
5003,5,2011-09-07,různé,7,chata č. E 74 Útušice – odkoupení části pozemku,
