id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-05,Určení ověřovatelů a zapisovatele,2,Ověřovateli zápisu byli určeni p. Drda Stanislav a p. Vlček Jiří. Zapisovatelkou zápisu byla určena p. Haišmanová Ludmila.,
1002,1,2014-11-05,program,3,hlasování o programu,
1003,1,2014-11-05,Volba starosty a místostarosty,4,"Předsedající navrhl, aby zastupitelstvo volilo pouze jednoho místostarostu",
1004,1,2014-11-05,Volba starosty a místostarosty,4,"Předsedající navrhl, aby funkce starosty obce a místostarosty obce byly vykonávány jako neuvolněné. Jiné návrhy nebyly vzneseny.",
1005,1,2014-11-05,Volba starosty a místostarosty,4,"Předsedající konstatoval, že nestanoví-li zastupitelstvo jinak, probíhá volba starosty a místostarosty veřejně hlasováním. Změnu způsobu hlasování musí schválit zastupitelstvo. V případě tajné volby budou hlasy jednotlivými členy odevzdány do připravené hlasovací urny, následně budou předsedajícím spočítány a případným členům zastupitelstva bude umožněno výsledek sčítání zkontrolovat. Předsedající vyzval členy zastupitelstva k přednesení návrhů na změnu způsobu hlasování. Žádné návrhy nebyly podány.",
1006,1,2014-11-05,Volba starosty a místostarosty,4,Předsedající vyzval členy zastupitelstva k podávání návrhů na funkci starosty a navrhl zvolit do funkce starosty Ing. Václava Finka. Před hlasováním byla dána možnost zastupitelům sdělit své stanovisko. Žádné stanovisko sděleno nebylo.,
1007,1,2014-11-05,Volba starosty a místostarosty,4,Předsedající vyzval členy zastupitelstva k podávání návrhů na funkci místostarosty a navrhl zvolit do této funkce p. Josefa Noska. Před hlasováním byla dána možnost zastupitelům sdělit své stanovisko. Žádné stanovisko sděleno nebylo.,
1008,1,2014-11-05,"Zřízení finančního, kontrolního a kulturního výboru",5,"Předsedající navrhl, aby každý z výborů měl tři členy",
1009,1,2014-11-05,"Zřízení finančního, kontrolního a kulturního výboru",5,"Předsedající vyzval členy zastupitelstva k podávání návrhů na funkci předsedy a členů finančního výboru a navrhl předsedou Ing. Holečka, členy Mgr. Štollovou a p. Drdu.",
1010,1,2014-11-05,"Zřízení finančního, kontrolního a kulturního výboru",5,"Předsedající vyzval členy zastupitelstva k podávání návrhů na funkci předsedy a členů kontrolního výboru a navrhl předsedou MVDr. Koukolíka, členy Ing. Nedvěd, p. Vlčka. Jiný návrh podán nebyl",
1011,1,2014-11-05,"Zřízení finančního, kontrolního a kulturního výboru",5,"Předsedající vyzval členy zastupitelstva k podávání návrhů na funkci předsedy a členů kulturního výboru. Ing. Fink navrhl předsedou p. Annu Kocourkovou, členy p. Noska a Mgr. Štollovou. Jiný návrh podán nebyl. Nepřítomná p. Kocourková před konáním ustavujícího zastupitelstva vyjádřila ústní souhlas se členstvím - předsedáním tomuto výboru",
1012,1,2014-11-05,Stanovení odměn za výkon funkcí neuvolněných členů ZO,6,"Předsedající navrhl, aby neuvolněným členům zastupitelstva byla v souladu s § 72 zákona o obcích a nařízením vlády č. 37/2003 Sb., o odměnách za výkon funkce členům zastupitelstev, v platném znění, poskytována ode dne 5.11.2014 měsíční odměna v následující výši: starosta obce Kč 18 277,-; místostarosta obce Kč 13 810,-; předseda výboru Kč 880,- ; člen výboru Kč 623,- ; člen ZO bez dalších funkcí Kč 382,-.",
1013,1,2014-11-05,Stanovení odměn za výkon funkcí neuvolněných členů ZO,6,"Předsedající dále navrhl, aby přítomní v souladu s § 77 odst. 3 písm. b) zákona o obcích určili, že v případě souběhu odměn za výkon funkce neuvolněným členem ZO bude takovémuto členovi ZO poskytována odměna pouze za výkon funkce, za níž podle rozhodnutí zastupitelstva náleží nejvyšší odměna",
1014,1,2014-11-05,Jednací řád ZO,7,Předložen návrh nového jednacího řádu zastupitelstva obce,
1015,1,2014-11-05,Rozpočtové opatření č. 6/2014,9,Předložen návrh rozpočtového opatření č. 6/2014,
1016,1,2014-11-05,různé,10,"Český ústav zeměměřičský a katastrální zaslal obci výzvu k odstranění nesouladu v katastru nemovitostí – chata E 55, jejíž majitelem je p. Čechura, stojí na obecním pozemku. Obec majitele kontaktovala a ten žádá o vyřešení – prodej pozemku parc.č. 347 o výměře 15 m2. V dané věci bylo jednáno již v letech 1999-2000, ale nebylo rozhodnuto. V této době obec nabízela prodej za Kč 150,-/m2 nebo dlouhodobý pronájem za Kč 15,-/m2 a rok. Starosta navrhuje prodej pozemku za výše uvedených podmínek.",
1017,1,2014-11-05,různé,10,"Starosta navrhuje zachování stávající poradní komise pro stavební záležitosti obce ve složení Ing. Karel Nedvěd, Ing. Petr Jirák a p. Stanislav Drda, Ing. Václav Fink.",
1018,1,2014-11-05,různé,10,"Obec Útušice je členem Mikroregionu Radyně. V souvislosti s konáním voleb do ZO a s konáním valné hromady tohoto mikroregionu, žádá starosta přítomné o projednání a stanovení svého pověřeného zástupce obce a jeho náhradníka do Mikroregionu Radyně. Přítomní po projednání navrhují zachovat stávajícího zástupce, p. Josefa Noska, jeho náhradníkem pak Ing. Václava Finka.",
1019,1,2014-11-05,různé,10,"Předloženy Podpisové vzory starosty obce, místostarosty obce a účetní",
1020,1,2014-11-05,různé,10,Předloženy Zásady pro poskytování a účtování cestovních náhrad starostovi a místostarostovi obce,
1021,1,2014-11-05,různé,10,Předložen návrh Smlouvy o dílo mezi Obcí Útušice a Ing. Petrem Jirákem – technická pomoc pro vydávání stanovisek obce v rámci posuzování projektových dokumentací včetně kontroly jejich naplnění v rámci řízení; pro období od 1.12.2014 do 30.11.2015.,
1022,1,2014-11-05,různé,10,"Rada města Plzně projednala naši žádost o darování pozemků příp. jejich částí, nacházejících se v k.ú. Útušice a Štěnovice a plánovaných pro využití pro stavbu cyklostezky. Svým usnesením souhlasí s darováním pozemků",
1023,1,2014-11-05,různé,10,"Problematika financování nákladů za telefonní hovory uskutečňované z mobilní sítě starostou obce, místostarostou obce a p. Pechanem – všichni mají uzavřeny smlouvy na Obec Útušice, přítomní navrhují zachování dosavadního způsobu – jmenovaní uhradí za soukromé hovory u měsíčního vyúčtování částku nad 1 000,- Kč. Dále starosta navrhuje zachování povolení úhrady výdajů za volání z vlastního mobilního telefonu i pro p. Kocourkovou – proplacení na základě předloženého dokladu ve výši max. 400 Kč měsíčně.",
1024,1,2014-11-05,různé,10,"Starosta obce jednal s majiteli výše uvedeného pozemku o možnosti jeho koupě. Majitel podal informaci, že v současné době prodává nemovitost sousedící s tímto pozemkem a provádí oddělení části pozemku v šíři cca 3m za nemovitostí (pro jednodušší opravy nemovitosti). Tato část bude prodána s domem č.p. 10. Zbývající část pozemku parc. č . … k.ú Útušice nabízí k prodeji za cenu 1000 Kč/m2. Zastupitelé navrhují jednat o nižší ceně a v případě shody na ceně max. 750 Kč/m2 nechat připravit návrh kupní smlouvy.",
2001,2,2014-12-17,program,3,hlasování o programu,
2002,2,2014-12-17,Určení ověřovatelů a zapisovatele,4,Ověřovateli zápisu byli navrženi p. Mgr. Renata Štollová a ing. Karel Nedvěd Zapisovatelem byl navržen pan Josef Nosek,
2003,2,2014-12-17,Pronájem obecního pozemku,6,Hlasování pro uzavření pachtovní smlouvy,
2004,2,2014-12-17,Koupě pozemku,7,Hlasování pro koupi pozemku,
2005,2,2014-12-17,Rozpočet obce na rok 2015,8,Rozpočet byl zveřejněn od 1.12.2014 do 17.12.2014. Přítomní po projednání navrhují zveřejněný rozpočet schválit beze změn.,
2006,2,2014-12-17,Stočné z domácností pro rok 2015,9,"Předloženo vyúčtování položek výpočtu ceny podle cenových předpisů pro vodné a stočné pro rok 2015 – cena činí Kč 26,05/m3 bez DPH, cena včetně DPH činí Kč 29,96/m3. Cena zůstává stejná",
2007,2,2014-12-17,Obecně závazná vyhláška obce o poplatku za komunální odpad,10,Předložen návrh nové obecně závazné vyhlášky o poplatku za komunální odpad včetně ceníku poplatků pro rok 2015. Přítomní je po projednání navrhují schválit,
2008,2,2014-12-17,Rozpočtové opatření č. 7/2014,11,Předložen návrh rozpočtového opatření č. 7/2014.,
2009,2,2014-12-17,různé,12,Inventarizace majetku 2014: p. Nosek předložil plán inventur majetku obce za rok 2014; termín inventarizace – 31.12.2014; navrženo složení hlavní inventarizační komise a dvou dílčích inventarizačních komisí,
2010,2,2014-12-17,různé,12,Pan Nosek seznámil přítomné se složením Povodňové komise a stávajícím Povodňovým plánem obce Útušice. Přítomní navrhují tyto změny: členem povodňové hlídky bude na místo p. Tomáše Vrby p. Martin Benda.,
2011,2,2014-12-17,různé,12,"Předložena Smlouva o uzavření budoucí smlouvy o zřízení věcného břemene – služebnosti a smlouva o právu provést stavbu č. IE-12-0005639/VB/003 Útušice, ČOV – vNN; smluvní strany: Obec Útušice a ČEZ Distribuce a.s. Děčín zastoupená společností SEG s.r.o. Plzeň; pozemky parc.č. 336/5 KN, 337/5 KN, 337/6 KN, 385/2 KN – vše ostatní plocha, k.ú. Útušice; stavba: nadzemní vedení NN, sloup, zemní kabelové vedení NN, skříň SP100; předpokládaný rozsah omezení dotčených nemovitostí věcným břemenem činí 30,1 m2; jednorázová náhrada za zřízení výše uvedených práv Kč 2 600,- bez DPH (bude upraveno vlastní smlouvou).",
2012,2,2014-12-17,různé,12,"Přípojka splaškové kanalizace Robčice - Pan Končelík, zástupce společnosti REALPE, seznámil přítomné s posunem jednání ve věci rekolaudace kanalizační přípojky ve vlastnictví MWM Mechanika na hlavní kanalizační řad. MWM Mechanika souhlasí pouze s postupem, že Obec Útušice převezme kanalizační přípojku ve stávajícím stavu a do určité doby provede rekolaudaci. Společnost REALPE navrhuje převzít kanalizační přípojku od MWM a uzavřít s obcí smlouvu, ve které se zaváže, že zajistí změnu kanalizační přípojky na hlavní řad a vyřeší věcná břemena, případnou opravu a zaměření stavby na náklady jejich firmy do stanovené doby. Zastupitelé navrhují jako jistinu složení částky ve výši přesahující odhad na zřízení věcných břemen a nákladů spojených s rekolaudací přípojky. Fa. REALPE zjistí přibližně ceny věcných břemen majitelů dotčených pozemků, na kterých je kanalizační přípojka uložena a toto pošle obci Útušice.",
2013,2,2014-12-17,různé,12,"SDH Robčice - Pan Jiří Vlček požádal zastupitelstvo obce Útušice o zakoupení materiálu na vybavení výjezdové jednotky SDH Robčice v ceně do 60 000,- Kč. Jedná se o boty, rukavice, vesty, žebřík atd",
2014,2,2014-12-17,různé,12,"Žádost o příspěvek - pí. Kocourková požádala přítomné o příspěvek na kostýmy pro ženy na přípravu obecního bálu konaného 7. února 2015. Přítomní se dohodli na proplacení části faktury za kostýmy příspěvku ve výši do 2500,- Kč.",
2015,2,2014-12-17,různé,12,Bio-odpad - S ohledem na nové nařízení zákona o odpadech ve věci třídění bio-odpadu se přítomní dohodli dát do obecního zpravodaje informaci o možnosti vývozu individuelních nádob (stejně jako u SKO). Případní zájemci by se nahlásili na OU. Na základě tohoto zájmu poté jednat se společností AVE.cz.,
2016,2,2014-12-17,různé,12,"Žádost o odkoupení obecního pozemku - P. Jiří Bartoš podal žádost na odkoupení části pozemku parc.č. 393/2 k.ú. Útušice, na kterém je postavena jeho nemovitostí. Jelikož se jedná o nápravu historického řešení, přítomní se dohodli na prodeji tohoto pozemku za cenu 50,- Kč/m. Pan Jiří Bartoš nechá připravit kupní smlouvu a zaplatí všechny náklady s tím související.",
