id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-07,program,1,hlasování o programu,
1002,1,2014-11-07,Určení ověřovatelů zápisu a zapisovatele,2,Výsledek hlasování pro Karla Škraňku,
1003,1,2014-11-07,Určení ověřovatelů zápisu a zapisovatele,2,Výsledek hlasování pro Mgr. Annu Pišovou,
1004,1,2014-11-07,Určení ověřovatelů zápisu a zapisovatele,2,Výsledek hlasování pro Ing. Jaroslava Řezáče,
1005,1,2014-11-07,Určení ověřovatelů zápisu a zapisovatele,2,Výsledek hlasování pro paní Hanu Urbanovou:,
1006,1,2014-11-07,volba starosty a místostarosty,3,Zastupitelstvo obce schválilo zvolení jednoho místostarosty,
1007,1,2014-11-07,volba starosty a místostarosty,3,"Zastupitelstvo obce v souladu s § 84 odst. 2 písm. k) zákona o obcích určuje, že pro výkon funkce starosty obce bude člen zastupitelstva dlouhodobě uvolněn",
1008,1,2014-11-07,volba starosty a místostarosty,3,Zastupitelstvo obce schvaluje tajný způsob volby starosty a místostarosty,
1009,1,2014-11-07,volba starosty a místostarosty,3,"Zastupitelstvo obce volí starostou Ing. Václava Matyáše,",
1010,1,2014-11-07,volba starosty a místostarosty,3,"Zastupitelstvo obce volí místostarostou Josefa Hloužka, Vážany nad Litavou č.p. 109,.",
1011,1,2014-11-07,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce zřizuje finanční výbor a kontrolní výbor vždy o třech členech.,
1012,1,2014-11-07,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce volí předsedou finančního výboru Karla Škraňku.,
1013,1,2014-11-07,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce volí předsedou kontrolního výboru Mgr. Annu Pišovou,
1014,1,2014-11-07,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce volí členem finančního výboru Ing. Evu Dudovou,
1015,1,2014-11-07,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce volí členem kontrolního výboru Ing. Jaroslava Řezáče,
1016,1,2014-11-07,Zřízení dalších výboru,5,"Zastupitelstvo obce volí předsedou výboru pro kulturu, školství a ostatní zájmovou činnost Ludmilu Pilátovou.",
1017,1,2014-11-07,Zřízení dalších výboru,5,Zastupitelstvo obce volí předsedou výboru pro bezpečnost a pořádek: Petra Smejsíka.,
1018,1,2014-11-07,Zřízení dalších výboru,5,Zastupitelstvo obce volí předsedou výboru pro životní prostředí Ing. Jaroslava Řezá,
1019,1,2014-11-07,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva (§ 72 zákona o obcích),6,Starosta Ing. Matyáš navrhl rozdělit hlasování o odměnách členů výborů a zvlášť hlasovat o odměně místostarosty.,
1020,1,2014-11-07,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva (§ 72 zákona o obcích),6,Zastupitelstvo obce stanoví odměnu místostarostovy ve výši 100% dle vyhlášky,
1021,1,2014-11-07,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva (§ 72 zákona o obcích),6,Zastupitelstvo obce stanoví odměnu místostarostovy ve výši 70% dle vyhlášky.,
1022,1,2014-11-07,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva (§ 72 zákona o obcích),6,Zastupitelstvo obce stanoví odměnu místostarostovy ve výši 50% dle vyhlášky,
1023,1,2014-11-07,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva (§ 72 zákona o obcích),6,Zastupitelstvo obce stanoví odměnu místostarostovy ve výši 75% dle vyhlášky.,
2001,2,2014-12-15,program,1,hlasování o programu,
2002,2,2014-12-15,Určení zapisovatele a ověřovatelů zápisu,3,Výsledek hlasování pro J. Řezáče,
2003,2,2014-12-15,Určení zapisovatele a ověřovatelů zápisu,3,Výsledek hlasování pro K. Škraňku,
2004,2,2014-12-15,"Rozpočtové opatření č. 8 ze září, č. 9 z října a č. 10 z listopadu 2014",4,ZO pověřuje starostu provádět rozpočtové opatření v období mezi zasedáním zastupitelstva.,
2005,2,2014-12-15,"Rozpočtové opatření č. 8 ze září, č. 9 z října a č. 10 z listopadu 2014",4,ZO schvaluje rozpočtové opatření č. 8 ze září 2014,
