vote_event_id,voter_id,option,group_id,
1001,2014-593664-1-901-1,yes,nk_party,
1001,2014-593664-1-7-1,yes,cssd_party,
1001,2014-593664-1-47-2,yes,kscm_party,
1001,2014-593664-1-339-3,yes,nestran._party,
1001,2014-593664-1-339-1,yes,nestran._party,
1001,2014-593664-1-7-2,yes,cssd_party,
1001,2014-593664-1-901-2,yes,nk_party,
1002,2014-593664-1-901-1,yes,nk_party,
1002,2014-593664-1-7-1,yes,cssd_party,
1002,2014-593664-1-47-2,yes,kscm_party,
1002,2014-593664-1-339-3,yes,nestran._party,
1002,2014-593664-1-339-1,yes,nestran._party,
1002,2014-593664-1-7-2,yes,cssd_party,
1002,2014-593664-1-901-2,abstain,nk_party,
1003,2014-593664-1-901-1,yes,nk_party,
1003,2014-593664-1-7-1,yes,cssd_party,
1003,2014-593664-1-47-2,yes,kscm_party,
1003,2014-593664-1-339-3,abstain,nestran._party,
1003,2014-593664-1-339-1,yes,nestran._party,
1003,2014-593664-1-7-2,yes,cssd_party,
1003,2014-593664-1-901-2,yes,nk_party,
1004,2014-593664-1-901-1,yes,nk_party,
1004,2014-593664-1-7-1,yes,cssd_party,
1004,2014-593664-1-47-2,yes,kscm_party,
1004,2014-593664-1-339-3,yes,nestran._party,
1004,2014-593664-1-339-1,abstain,nestran._party,
1004,2014-593664-1-7-2,yes,cssd_party,
1004,2014-593664-1-901-2,yes,nk_party,
1005,2014-593664-1-901-1,yes,nk_party,
1005,2014-593664-1-7-1,yes,cssd_party,
1005,2014-593664-1-47-2,yes,kscm_party,
1005,2014-593664-1-339-3,yes,nestran._party,
1005,2014-593664-1-339-1,yes,nestran._party,
1005,2014-593664-1-7-2,yes,cssd_party,
1005,2014-593664-1-901-2,yes,nk_party,
1006,2014-593664-1-901-1,yes,nk_party,
1006,2014-593664-1-7-1,yes,cssd_party,
1006,2014-593664-1-47-2,yes,kscm_party,
1006,2014-593664-1-339-3,yes,nestran._party,
1006,2014-593664-1-339-1,yes,nestran._party,
1006,2014-593664-1-7-2,yes,cssd_party,
1006,2014-593664-1-901-2,yes,nk_party,
1007,2014-593664-1-901-1,yes,nk_party,
1007,2014-593664-1-7-1,yes,cssd_party,
1007,2014-593664-1-47-2,yes,kscm_party,
1007,2014-593664-1-339-3,yes,nestran._party,
1007,2014-593664-1-339-1,yes,nestran._party,
1007,2014-593664-1-7-2,yes,cssd_party,
1007,2014-593664-1-901-2,yes,nk_party,
1008,2014-593664-1-901-1,no,nk_party,
1008,2014-593664-1-7-1,no,cssd_party,
1008,2014-593664-1-47-2,no,kscm_party,
1008,2014-593664-1-339-3,yes,nestran._party,
1008,2014-593664-1-339-1,no,nestran._party,
1008,2014-593664-1-7-2,no,cssd_party,
1008,2014-593664-1-901-2,no,nk_party,
1009,2014-593664-1-901-1,yes,nk_party,
1009,2014-593664-1-7-1,abstain,cssd_party,
1009,2014-593664-1-47-2,yes,kscm_party,
1009,2014-593664-1-339-3,yes,nestran._party,
1009,2014-593664-1-339-1,yes,nestran._party,
1009,2014-593664-1-7-2,yes,cssd_party,
1009,2014-593664-1-901-2,yes,nk_party,
1010,2014-593664-1-901-1,yes,nk_party,
1010,2014-593664-1-7-1,yes,cssd_party,
1010,2014-593664-1-47-2,yes,kscm_party,
1010,2014-593664-1-339-3,no,nestran._party,
1010,2014-593664-1-339-1,no,nestran._party,
1010,2014-593664-1-7-2,no,cssd_party,
1010,2014-593664-1-901-2,yes,nk_party,
1011,2014-593664-1-901-1,yes,nk_party,
1011,2014-593664-1-7-1,yes,cssd_party,
1011,2014-593664-1-47-2,yes,kscm_party,
1011,2014-593664-1-339-3,yes,nestran._party,
1011,2014-593664-1-339-1,yes,nestran._party,
1011,2014-593664-1-7-2,yes,cssd_party,
1011,2014-593664-1-901-2,yes,nk_party,
1012,2014-593664-1-901-1,yes,nk_party,
1012,2014-593664-1-7-1,yes,cssd_party,
1012,2014-593664-1-47-2,yes,kscm_party,
1012,2014-593664-1-339-3,yes,nestran._party,
1012,2014-593664-1-339-1,yes,nestran._party,
1012,2014-593664-1-7-2,yes,cssd_party,
1012,2014-593664-1-901-2,abstain,nk_party,
1013,2014-593664-1-901-1,yes,nk_party,
1013,2014-593664-1-7-1,yes,cssd_party,
1013,2014-593664-1-47-2,yes,kscm_party,
1013,2014-593664-1-339-3,abstain,nestran._party,
1013,2014-593664-1-339-1,yes,nestran._party,
1013,2014-593664-1-7-2,yes,cssd_party,
1013,2014-593664-1-901-2,yes,nk_party,
1014,2014-593664-1-901-1,yes,nk_party,
1014,2014-593664-1-7-1,yes,cssd_party,
1014,2014-593664-1-47-2,yes,kscm_party,
1014,2014-593664-1-339-3,yes,nestran._party,
1014,2014-593664-1-339-1,yes,nestran._party,
1014,2014-593664-1-7-2,yes,cssd_party,
1014,2014-593664-1-901-2,yes,nk_party,
1015,2014-593664-1-901-1,yes,nk_party,
1015,2014-593664-1-7-1,yes,cssd_party,
1015,2014-593664-1-47-2,yes,kscm_party,
1015,2014-593664-1-339-3,yes,nestran._party,
1015,2014-593664-1-339-1,abstain,nestran._party,
1015,2014-593664-1-7-2,yes,cssd_party,
1015,2014-593664-1-901-2,yes,nk_party,
1016,2014-593664-1-901-1,yes,nk_party,
1016,2014-593664-1-7-1,yes,cssd_party,
1016,2014-593664-1-47-2,abstain,kscm_party,
1016,2014-593664-1-339-3,yes,nestran._party,
1016,2014-593664-1-339-1,yes,nestran._party,
1016,2014-593664-1-7-2,yes,cssd_party,
1016,2014-593664-1-901-2,yes,nk_party,
1017,2014-593664-1-901-1,yes,nk_party,
1017,2014-593664-1-7-1,yes,cssd_party,
1017,2014-593664-1-47-2,yes,kscm_party,
1017,2014-593664-1-339-3,yes,nestran._party,
1017,2014-593664-1-339-1,yes,nestran._party,
1017,2014-593664-1-7-2,abstain,cssd_party,
1017,2014-593664-1-901-2,yes,nk_party,
1018,2014-593664-1-901-1,yes,nk_party,
1018,2014-593664-1-7-1,yes,cssd_party,
1018,2014-593664-1-47-2,yes,kscm_party,
1018,2014-593664-1-339-3,yes,nestran._party,
1018,2014-593664-1-339-1,abstain,nestran._party,
1018,2014-593664-1-7-2,yes,cssd_party,
1018,2014-593664-1-901-2,yes,nk_party,
1019,2014-593664-1-901-1,yes,nk_party,
1019,2014-593664-1-7-1,yes,cssd_party,
1019,2014-593664-1-47-2,yes,kscm_party,
1019,2014-593664-1-339-3,yes,nestran._party,
1019,2014-593664-1-339-1,yes,nestran._party,
1019,2014-593664-1-7-2,yes,cssd_party,
1019,2014-593664-1-901-2,yes,nk_party,
1020,2014-593664-1-901-1,abstain,nk_party,
1020,2014-593664-1-7-1,abstain,cssd_party,
1020,2014-593664-1-47-2,yes,kscm_party,
1020,2014-593664-1-339-3,no,nestran._party,
1020,2014-593664-1-339-1,no,nestran._party,
1020,2014-593664-1-7-2,no,cssd_party,
1020,2014-593664-1-901-2,abstain,nk_party,
1021,2014-593664-1-901-1,abstain,nk_party,
1021,2014-593664-1-7-1,abstain,cssd_party,
1021,2014-593664-1-47-2,abstain,kscm_party,
1021,2014-593664-1-339-3,abstain,nestran._party,
1021,2014-593664-1-339-1,yes,nestran._party,
1021,2014-593664-1-7-2,abstain,cssd_party,
1021,2014-593664-1-901-2,no,nk_party,
1022,2014-593664-1-901-1,abstain,nk_party,
1022,2014-593664-1-7-1,no,cssd_party,
1022,2014-593664-1-47-2,no,kscm_party,
1022,2014-593664-1-339-3,no,nestran._party,
1022,2014-593664-1-339-1,no,nestran._party,
1022,2014-593664-1-7-2,yes,cssd_party,
1022,2014-593664-1-901-2,no,nk_party,
1023,2014-593664-1-901-1,yes,nk_party,
1023,2014-593664-1-7-1,yes,cssd_party,
1023,2014-593664-1-47-2,yes,kscm_party,
1023,2014-593664-1-339-3,abstain,nestran._party,
1023,2014-593664-1-339-1,abstain,nestran._party,
1023,2014-593664-1-7-2,no,cssd_party,
1023,2014-593664-1-901-2,yes,nk_party,
2001,2014-593664-1-901-1,yes,nk_party,
2001,2014-593664-1-7-1,yes,cssd_party,
2001,2014-593664-1-47-2,yes,kscm_party,
2001,2014-593664-1-339-3,yes,nestran._party,
2001,2014-593664-1-339-1,yes,nestran._party,
2001,2014-593664-1-7-2,absent,cssd_party,
2001,2014-593664-1-901-2,yes,nk_party,
2002,2014-593664-1-901-1,yes,nk_party,
2002,2014-593664-1-7-1,yes,cssd_party,
2002,2014-593664-1-47-2,yes,kscm_party,
2002,2014-593664-1-339-3,yes,nestran._party,
2002,2014-593664-1-339-1,abstain,nestran._party,
2002,2014-593664-1-7-2,absent,cssd_party,
2002,2014-593664-1-901-2,yes,nk_party,
2003,2014-593664-1-901-1,yes,nk_party,
2003,2014-593664-1-7-1,yes,cssd_party,
2003,2014-593664-1-47-2,yes,kscm_party,
2003,2014-593664-1-339-3,yes,nestran._party,
2003,2014-593664-1-339-1,yes,nestran._party,
2003,2014-593664-1-7-2,absent,cssd_party,
2003,2014-593664-1-901-2,abstain,nk_party,
2004,2014-593664-1-901-1,yes,nk_party,
2004,2014-593664-1-7-1,abstain,cssd_party,
2004,2014-593664-1-47-2,yes,kscm_party,
2004,2014-593664-1-339-3,yes,nestran._party,
2004,2014-593664-1-339-1,yes,nestran._party,
2004,2014-593664-1-7-2,absent,cssd_party,
2004,2014-593664-1-901-2,yes,nk_party,
2005,2014-593664-1-901-1,yes,nk_party,
2005,2014-593664-1-7-1,yes,cssd_party,
2005,2014-593664-1-47-2,yes,kscm_party,
2005,2014-593664-1-339-3,yes,nestran._party,
2005,2014-593664-1-339-1,yes,nestran._party,
2005,2014-593664-1-7-2,absent,cssd_party,
2005,2014-593664-1-901-2,yes,nk_party,
2006,2014-593664-1-901-1,yes,nk_party,
2006,2014-593664-1-7-1,yes,cssd_party,
2006,2014-593664-1-47-2,yes,kscm_party,
2006,2014-593664-1-339-3,yes,nestran._party,
2006,2014-593664-1-339-1,yes,nestran._party,
2006,2014-593664-1-7-2,absent,cssd_party,
2006,2014-593664-1-901-2,yes,nk_party,
2007,2014-593664-1-901-1,yes,nk_party,
2007,2014-593664-1-7-1,yes,cssd_party,
2007,2014-593664-1-47-2,yes,kscm_party,
2007,2014-593664-1-339-3,yes,nestran._party,
2007,2014-593664-1-339-1,yes,nestran._party,
2007,2014-593664-1-7-2,absent,cssd_party,
