id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-12-17,"Zapisovatelé, ověřovatelé",-1,Zapisovatelkou byla určena Markéta Moravcová a ověřovateli zápisu Milena Doležalová a Lydie Kučerová.,
1002,1,2014-12-17,Program,0,Hlasování o navrženém programu:,
1003,1,2014-12-17,Kontrola plnění usnesení,1,ZO bere na vědomí informace o kontrole přijatých usnesení.,
1004,1,2014-12-17,Schválení rozpočtu na rok 2015,2,"ZO schvaluje rozpočet obce Velichov na rok 2015 jako schodkový s tím, že příjmy jsou ve výši 6 041 600 Kč, výdaje ve výši 6 638 600 Kč. Schodek rozpočtu bude financován zapojením zůstatků finančních prostředků na bankovních účtech obce. Závaznými ukazateli jsou paragrafy. Doplněný návrh je přílohou zápisu č. 1.",
1005,1,2014-12-17,Zpráva o dílčí kontrole hospodaření MŠ Velichov,3,ZO bere na vědomí zprávu o dílčí kontrole v MŠ Velichov.,
1006,1,2014-12-17,Inventarizace majetku a závazků,4,"ZO schvaluje směrnici č. 1/2014 k inventarizaci majetku a závazků. ZO jmenuje předsedou inventarizační komise Jana Škuthana, členy Miroslava Kučeru a Karla Kolaříka.",
1007,1,2014-12-17,Smlouva o kooperačním příspěvku – Krajská knihovna Karlovy Vary,5,ZO schvaluje uzavření Smlouvy o kooperačním příspěvku na nákup a zpracování knižního fondu a na servis AKS Clavius REKS mezí Obcí Velichov a Krajskou knihovnou Karlovy Vary. ZO pověřuje starostku obce podpisem smlouvy.,
1008,1,2014-12-17,"Záměr obce pronajmout pozemky p. č. 897/6, 897/11, 897/12, 897/13, 897/26, 897/27 v k. ú. Velichov",6,"ZO schvaluje záměr obce pronajmout pozemky p. č. 897/6, 897/11, 897/12, 897/13, 897/26, 897/27 v k. ú. Velichov. ZO pověřuje starostku obce vypracováním záměru.",
1009,1,2014-12-17,Záměr obce pronajmout pozemky p. č. 954/15 a 959/3 v k. ú. Velichov,7,ZO schvaluje záměr obce pronajmout pozemky p. č. 954/15 a 959/3 v k. ú. Velichov. ZO pověřuje starostku obce vypracováním záměru.,
1010,1,2014-12-17,"Darovací smlouva – Karlovarské minerální vody, a. s.",8,"ZO schvaluje darovací smlouvu uzavřenou mezi Obcí Velichov a Karlovarskými minerálními vodami, a.s. – poskytnutí daru pro financování požární ochrany.",
