id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-27,Schválení programu zasedání,2,Zastupitelstvo  obce  schvaluje program  prvního zasedání  ZO v předloženém znění.,
1002,1,2014-11-27,Rozpočtové opatření č. 8,3,Zastupitelstvo  obce  schvaluje po projednání změny dle rozpočtového opatření č. 8/2014 podle předloženého návrhu.,
1003,1,2014-11-27,Záměr pronájmu obecního bytu č. 2 o velikosti 1+1 ve Veselíčku čp. 24,4,Zastupitelstvo obce projednalo pronájem obecního bytu č. 2 velikosti 1+1 ve Veselíčku č.p. 24 a  schválilo vyhlásit záměr k pronajmutí tohoto bytu za těchto podmínek: 1. Nájemné ve výši 1.400 Kč za 1 měsíc + 50 Kč zálohu na energie za společné prostory. 2. Jistotu na nájem včetně zálohy na společné prostory ve výši nájmu za 3 měsíce s úhradou před předáním bytu.,
1004,1,2014-11-27,Smlouva o zřízení věcného břemene na pozemku par.c č. 98/10 ,5,Zastupitelstvo obce projednalo návrh Smlouvy  o zřízení věcného břemene se společností E.ON  Distribuce a.s. na stavbu „ Příp. STL Veselíčko 92 “ na pozemku par.č. 98/10 a schvaluje uzavření této smlouvy za jednorázovou náhradu 1.105 Kč.,
1005,1,2014-11-27,Vyžádání dotace na úhradu výdajů obce souvisejících s její spoluúčastí při čerpání dotace na opravy chodníků a místních komunikací po povodni v červnu 2013,6,"Zastupitelstvo obce projednalo možnost čerpání dotace z Národního fondu k opatřením Fondu solidarity Evropské unie – povodně 2013, 4. kolo žádostí a schvaluje podání žádosti o dotaci na 15 % podíl obce při čerpání dotace ministerstva dopravy v roce 2013. Dotace u této žádosti činí 26.999 Kč.",
1006,1,2014-11-27,Vyžádání dotace na opravu hřbitovní zdi a márnice v Bilině a na opravu zdí u dětského hřiště ve Veselíčku v rámci POV 2015,7,Zastupitelstvo obce projednalo možnost podání žádosti o dotaci na opravu hřbitovní zdi a márnice v Bilině a na opravu zdi u dětského hřiště ve Veselíčku a schvaluje podat jednu žádost o dotaci na opravu hřbitovní zdi a márnice v Bilině a druhou žádost o dotaci z POV na rok 2015 na opravu zdi u dětského hřiště ve Veselíčku.,
1007,1,2014-11-27,,,Zastupitelstvo obce projednalo zabezpečení rozsvícení vánočního stromku ve Veselíčku dne 30.11.2014 v 17.30 hod. a v Bilině dne 29.11.2014 v 17.00 hod. a schvaluje úhradu občerstvení na tyto akce ve Veselíčku ve výši 1.500 Kč a v Bilině ve výši 1.000 Kč.,
1008,1,2014-11-27,Zabezpečení mikulášské besídky dne 6.12.2014,9,Zastupitelstvo obce projednalo zabezpečení mikulášské besídky pro děti dne 6.2.2014 od 14.00 hod. v Klabo-Salonu ve Veselíčku a schvaluje úhradu malého občerstvení pro děti a balíčků po 60 Kč pro 27 dětí.,
1009,1,2014-11-27,Zabezpečení setkání s důchodci dne 12.12.2014,10,"Zastupitelstvo obce zabezpečení setkání s důchodci dne 12.12. 2014 od 16.00 hod. v jídelně ve Veselíčku a schvaluje honorář hudbě  2.000 Kč, občerstvení na 1 důchodce do 70 Kč a dárkový balíček po 100 Kč.",
1010,1,2014-11-27,Zabezpečení vánočního turnaje ve stolním  tenisu dne 13.12.2014,11,ZO projednalo zabezpečení vánočního turnaje ve stolním tenisu ve škole ve Veselíčku dne 13.12.2014 od 10.00 hod. a schvaluje nákup cen do 1.000 Kč.,
1011,1,2014-11-27,,,ZO zvolilo za členy kontrolního výboru  p. Pavla Vondrušku a p. Karla Procházku.,
1012,1,2014-11-27,,,ZO zvolilo za členy finančního výboru  paní Annu Schafferovou a paní Dagmar Koutníkovou.,
1013,1,2014-11-27,,,"ZO projednalo a schválilo úpravu znění projektu č. 18 Místního programu obnovy venkova na období 2011-2015 takto: „ Oprava hřbitovní zdi, budovy márnice v Bilině a zdi u hřiště ve Veselíčku “.",
