vote_event_id,voter_id,option,group_id,
1001,2010-566250-1-901-7,absent,nk_party,
1001,2010-566250-1-901-1,yes,nk_party,
1001,2010-566250-1-901-4,yes,nk_party,
1001,2010-566250-1-901-5,yes,nk_party,
1001,2010-566250-1-901-2,yes,nk_party,
1001,2010-566250-1-901-6,yes,nk_party,
1001,2010-566250-1-901-3,yes,nk_party,
1001,2010-566250-1-901-8,abstain,nk_party,
1002,2010-566250-1-901-7,absent,nk_party,
1002,2010-566250-1-901-1,yes,nk_party,
1002,2010-566250-1-901-4,yes,nk_party,
1002,2010-566250-1-901-5,yes,nk_party,
1002,2010-566250-1-901-2,yes,nk_party,
1002,2010-566250-1-901-6,yes,nk_party,
1002,2010-566250-1-901-3,yes,nk_party,
1002,2010-566250-1-901-8,abstain,nk_party,
1003,2010-566250-1-901-7,absent,nk_party,
1003,2010-566250-1-901-1,yes,nk_party,
1003,2010-566250-1-901-4,yes,nk_party,
1003,2010-566250-1-901-5,yes,nk_party,
1003,2010-566250-1-901-2,yes,nk_party,
1003,2010-566250-1-901-6,yes,nk_party,
1003,2010-566250-1-901-3,yes,nk_party,
1003,2010-566250-1-901-8,abstain,nk_party,
1004,2010-566250-1-901-7,absent,nk_party,
1004,2010-566250-1-901-1,yes,nk_party,
1004,2010-566250-1-901-4,yes,nk_party,
1004,2010-566250-1-901-5,yes,nk_party,
1004,2010-566250-1-901-2,yes,nk_party,
1004,2010-566250-1-901-6,yes,nk_party,
1004,2010-566250-1-901-3,yes,nk_party,
1004,2010-566250-1-901-8,abstain,nk_party,
2001,2010-566250-1-901-7,absent,nk_party,
2001,2010-566250-1-901-1,yes,nk_party,
2001,2010-566250-1-901-4,yes,nk_party,
2001,2010-566250-1-901-5,yes,nk_party,
2001,2010-566250-1-901-2,yes,nk_party,
2001,2010-566250-1-901-6,yes,nk_party,
2001,2010-566250-1-901-3,yes,nk_party,
2001,2010-566250-1-901-8,abstain,nk_party,
2002,2010-566250-1-901-7,absent,nk_party,
2002,2010-566250-1-901-1,yes,nk_party,
2002,2010-566250-1-901-4,yes,nk_party,
2002,2010-566250-1-901-5,yes,nk_party,
2002,2010-566250-1-901-2,yes,nk_party,
2002,2010-566250-1-901-6,yes,nk_party,
2002,2010-566250-1-901-3,yes,nk_party,
2002,2010-566250-1-901-8,abstain,nk_party,
2003,2010-566250-1-901-7,absent,nk_party,
2003,2010-566250-1-901-1,yes,nk_party,
2003,2010-566250-1-901-4,yes,nk_party,
2003,2010-566250-1-901-5,yes,nk_party,
2003,2010-566250-1-901-2,yes,nk_party,
2003,2010-566250-1-901-6,yes,nk_party,
2003,2010-566250-1-901-3,yes,nk_party,
2003,2010-566250-1-901-8,abstain,nk_party,
2004,2010-566250-1-901-7,absent,nk_party,
2004,2010-566250-1-901-1,yes,nk_party,
2004,2010-566250-1-901-4,yes,nk_party,
2004,2010-566250-1-901-5,yes,nk_party,
2004,2010-566250-1-901-2,yes,nk_party,
2004,2010-566250-1-901-6,yes,nk_party,
2004,2010-566250-1-901-3,yes,nk_party,
2004,2010-566250-1-901-8,abstain,nk_party,
2005,2010-566250-1-901-7,absent,nk_party,
2005,2010-566250-1-901-1,yes,nk_party,
2005,2010-566250-1-901-4,yes,nk_party,
2005,2010-566250-1-901-5,yes,nk_party,
2005,2010-566250-1-901-2,yes,nk_party,
2005,2010-566250-1-901-6,yes,nk_party,
2005,2010-566250-1-901-3,yes,nk_party,
2005,2010-566250-1-901-8,abstain,nk_party,
2006,2010-566250-1-901-7,absent,nk_party,
2006,2010-566250-1-901-1,yes,nk_party,
2006,2010-566250-1-901-4,yes,nk_party,
2006,2010-566250-1-901-5,yes,nk_party,
2006,2010-566250-1-901-2,yes,nk_party,
2006,2010-566250-1-901-6,yes,nk_party,
2006,2010-566250-1-901-3,yes,nk_party,
2006,2010-566250-1-901-8,abstain,nk_party,
2007,2010-566250-1-901-7,absent,nk_party,
2007,2010-566250-1-901-1,yes,nk_party,
2007,2010-566250-1-901-4,yes,nk_party,
2007,2010-566250-1-901-5,yes,nk_party,
2007,2010-566250-1-901-2,yes,nk_party,
2007,2010-566250-1-901-6,yes,nk_party,
2007,2010-566250-1-901-3,yes,nk_party,
2007,2010-566250-1-901-8,abstain,nk_party,
2008,2010-566250-1-901-7,absent,nk_party,
2008,2010-566250-1-901-1,yes,nk_party,
2008,2010-566250-1-901-4,yes,nk_party,
2008,2010-566250-1-901-5,yes,nk_party,
2008,2010-566250-1-901-2,yes,nk_party,
2008,2010-566250-1-901-6,yes,nk_party,
2008,2010-566250-1-901-3,yes,nk_party,
2008,2010-566250-1-901-8,abstain,nk_party,
2009,2010-566250-1-901-7,absent,nk_party,
2009,2010-566250-1-901-1,yes,nk_party,
2009,2010-566250-1-901-4,yes,nk_party,
2009,2010-566250-1-901-5,yes,nk_party,
2009,2010-566250-1-901-2,yes,nk_party,
2009,2010-566250-1-901-6,yes,nk_party,
2009,2010-566250-1-901-3,yes,nk_party,
2009,2010-566250-1-901-8,abstain,nk_party,
3001,2010-566250-1-901-7,yes,nk_party,
3001,2010-566250-1-901-1,yes,nk_party,
3001,2010-566250-1-901-4,yes,nk_party,
3001,2010-566250-1-901-5,yes,nk_party,
