id,classification_id,classification,name,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
kscm_party,party,Navrhující strana,Komunistická strana Čech a Moravy,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
kscm_affiliation,affiliation,Stranická příslušnost,Komunistická strana Čech a Moravy,
902_list,list,Kandidátní listina,listina nezávislých kandidátů,
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
903_list,list,Kandidátní listina,listina nezávislých kandidátů,
905_list,list,Kandidátní listina,listina nezávislých kandidátů,
47_list,list,Kandidátní listina,Komunistická strana Čech a Moravy,
904_list,list,Kandidátní listina,listina nezávislých kandidátů,
