id,legislative_session:number,start_date,item:title,item:number,motion:title,
5001,5,2015-01-12,Zahájení (Hlasování o návrhu programu jednání),1,Zastupitelstvo města schvaluje program jednání,
5002,5,2015-01-12,Stanovení ověřovatelů zápisu,2,ZM schvaluje ověřovatele zápisu paní Hvězdovou Vladimíru a pana Vítka Vlastimila,
5003,5,2015-01-12,Výroční zpráva za rok 2014,4,"ZM schvaluje výroční zprávu za rok 2014 dle zákona 106/1999 Sb., o svobodném přístupu k informacím",
5004,5,2015-01-12,Grantový program města,5,ZM schvaluje finanční příspěvek dle žádosti o grant města na rok 2015 Fotbalovému klubu Vroutek ve výši 39 000 Kč,
5005,5,2015-01-12,Grantový program města,5,"ZM schvaluje finanční příspěvek dle žádosti o grant města na rok 2015 Krušnohorskému sportovnímu klubu psích spřežení ve výši 10 000,- Kč",
5006,5,2015-01-12,Grantový program města,5,"ZM schvaluje finanční příspěvek dle žádosti o grant města na rok 2015 Českému svazu chovatelů ZO Vroutek ve výši 15 000,- Kč",
5007,5,2015-01-12,Grantový program města,5,"ZM schvaluje finanční příspěvek dle žádosti o grant města na rok 2015 Českému červenému kříži MS Vroutek ve výši 5 000,- Kč",
5008,5,2015-01-12,Grantový program města,5,"ZM schvaluje finanční příspěvek dle žádosti o grant města na rok 2015 Českému svazu včelařů  ZO Vroutek ve výši 10 000,- Kč",
5009,5,2015-01-12,Grantový program města,5,"ZM schvaluje finanční příspěvek dle žádosti o grant města na rok 2015 Davidu Lněníčkovi ve výši 7 000,- Kč na pořádání staročeského masopustu",
5010,5,2015-01-12,Grantový program města,5,"ZM schvaluje finanční příspěvek dle žádosti o grant města na rok 2015 Sdružení přátel kostela sv. Martina ve Vidhosticích ve výši 35 000,- Kč",
5011,5,2015-01-12,Grantový program města,5,"ZM schvaluje finanční příspěvek dle žádosti o grant města na rok 2015 Daně Bohaté ve výši 10 000,- Kč na činnost Cvičení pro všechny",
5012,5,2015-01-12,Grantový program města,5,"ZM schvaluje finanční příspěvek dle žádosti o grant města na rok 2015 Svazu tělesně postižených v České republice, o. s., MO Podbořany ve výši 6 000,- Kč",
5013,5,2015-01-12,Grantový program města,5,"ZM schvaluje finanční příspěvek dle žádosti o grant města na rok 2015 o. s., Budíček ve výši 5 000,- Kč",
5014,5,2015-01-12,Grantový program města,5,"ZM schvaluje finanční příspěvek dle žádosti o grant města na rok 2015 o. s., Budíček ve výši 3 000,- Kč",
5015,5,2015-01-12,Grantový program města,5,"ZM schvaluje finanční příspěvek dle žádosti o grant města na rok 2015 Stará garda Černý lev ve výši 7 000,- Kč",
5016,5,2015-01-12,Městská zeleň,6,"ZM schvaluje návrh na výsadbu městské zeleně ve výši 50 000,- Kč",
5017,5,2015-01-12,Investiční akce,7,"ZM schvaluje smlouvu na nákup 6 kusů kontejnerů a štěpkovače ve výši 689 700,- Kč včetně DPH dle výběrového řízení ze dne 05. 01. 2015 s dotací z OPŽP ",
