vote_event_id,voter_id,option,group_id,
1001,2010-571105-1-901-2,yes,nk_party,
1001,2010-571105-1-902-6,abstain,nk_party,
1001,2010-571105-1-902-3,yes,nk_party,
1001,2010-571105-1-901-1,yes,nk_party,
1001,2010-571105-1-902-5,yes,nk_party,
1001,2010-571105-1-902-4,yes,nk_party,
1001,2010-571105-1-902-7,yes,nk_party,
1001,2010-571105-1-902-1,abstain,nk_party,
1001,2010-571105-1-902-2,abstain,nk_party,
1002,2010-571105-1-901-2,yes,nk_party,
1002,2010-571105-1-902-6,abstain,nk_party,
1002,2010-571105-1-902-3,yes,nk_party,
1002,2010-571105-1-901-1,yes,nk_party,
1002,2010-571105-1-902-5,yes,nk_party,
1002,2010-571105-1-902-4,yes,nk_party,
1002,2010-571105-1-902-7,yes,nk_party,
1002,2010-571105-1-902-1,abstain,nk_party,
1002,2010-571105-1-902-2,abstain,nk_party,
1003,2010-571105-1-901-2,yes,nk_party,
1003,2010-571105-1-902-6,abstain,nk_party,
1003,2010-571105-1-902-3,yes,nk_party,
1003,2010-571105-1-901-1,yes,nk_party,
1003,2010-571105-1-902-5,yes,nk_party,
1003,2010-571105-1-902-4,yes,nk_party,
1003,2010-571105-1-902-7,yes,nk_party,
1003,2010-571105-1-902-1,abstain,nk_party,
1003,2010-571105-1-902-2,abstain,nk_party,
1004,2010-571105-1-901-2,yes,nk_party,
1004,2010-571105-1-902-6,abstain,nk_party,
1004,2010-571105-1-902-3,yes,nk_party,
1004,2010-571105-1-901-1,yes,nk_party,
1004,2010-571105-1-902-5,yes,nk_party,
1004,2010-571105-1-902-4,yes,nk_party,
1004,2010-571105-1-902-7,yes,nk_party,
1004,2010-571105-1-902-1,abstain,nk_party,
1004,2010-571105-1-902-2,abstain,nk_party,
1005,2010-571105-1-901-2,yes,nk_party,
1005,2010-571105-1-902-6,abstain,nk_party,
1005,2010-571105-1-902-3,no,nk_party,
1005,2010-571105-1-901-1,yes,nk_party,
1005,2010-571105-1-902-5,no,nk_party,
