id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-03,Určení ověřovatel zápisu (§95 odst. 1 zákona o obcích) a zapisovatele,1,"Zastupitelstvo obce Jinačovice určuje ověřovateli zápisu pana Ing. Jana Urbana a paní Bc. Kateřinu Dobiášovou, zapisovatelkou byla jmenována paní Michaela Kačírková",
1002,1,2014-11-03,Schválení programu,2,"Zastupitelstvo obce Jinačovice schvaluje následující program ustavujícího zasedání: 1) Určení ověřovatelů zápisu (§95 odst. 1 zákona o obcích) a zapisovatele 2) Schválení programu 3) Volba starosty a místostarosty a) určení počtu místostarostů b) určení, které funkce budou členové zastupitelstva vykonávat jako dlouhodobě uvolnění (§ 71 zákona o obcích) c) určení způsobu volby starosty a místostarosty d) volba starosty e) volba místostarosty 4) Zřízení finančního, kontrolního výboru a) určení počtu člen finančního a kontrolního výboru b) volba předsedy finančního výboru c) volba předsedy kontrolního výboru d) volba člen finančního výboru e) volba člen kontrolního výboru 5) Zřízení výbor zastupitelstva: stavebního a pro kulturu, sport, školství a sociální záležitosti a) určení počtu členů těchto výborů b) volba předsedů těchto výborů c) volba členů těchto výborů 6) Rozhodnutí o odměnách za výkon funkcí neuvolněných člen zastupitelstva (§ 72 zákona o obcích) 7) Schválení Smlouvy o poskytnutí dotace ze SFŽP 8) Schválení rozpočtového opatření- 13/2014, 14/2014 9) Projednání a schválení pověřeného zastupitele pro jednání ve věci změny č. II územního plánu obce Jinačovice 10) Diskuse",
1003,1,2014-11-03,Volba starosty a místostarosty,3,Zastupitelstvo obce Jinačovice schválilo zvolení jednoho místostarosty.,
1004,1,2014-11-03,Volba starosty a místostarosty,3,"Zastupitelstvo obce Jinačovice v souladu s § 84 odst. 2 písm. k) zákona o obcích určuje, že pro výkon funkce starosty obce bude člen zastupitelstva dlouhodobě uvolněn.",
1005,1,2014-11-03,Volba starosty a místostarosty,3,Zastupitelstvo obce Jinačovice schvaluje volbu starosty a místostarosty veřejným hlasováním.,
1006,1,2014-11-03,Volba starosty a místostarosty,3,"Zastupitelstvo obce Jinačovice volí do funkce starosty obce pro volební období 2014-2018pana Ing. Jana Kazdu, Jinačovice č. p. 253.",
1007,1,2014-11-03,Volba starosty a místostarosty,3,"Zastupitelstvo obce Jinačovice volí do funkce místostarosty obce pana Mgr. Tomáše Dvořáka, Ph.D., Jinačovice č.p 57.",
1008,1,2014-11-03,"Zřízení finančního, kontrolního výboru",4,Zastupitelstvo obce Jinačovice zřizuje finanční a kontrolní výbor. Oba výbory budou tříčlenné.,
1009,1,2014-11-03,"Zřízení finančního, kontrolního výboru",4,Zastupitelstvo obce Jinačovice volí předsedou finančního výboru paní Ing. LibušiDvořáčkovou.,
1010,1,2014-11-03,"Zřízení finančního, kontrolního výboru",4,Zastupitelstvo obce Jinačovice volí předsedou kontrolního výboru pana Jana Kachlíka.,
1011,1,2014-11-03,"Zřízení finančního, kontrolního výboru",4,Zastupitelstvo obce Jinačovice schvaluje členy finančního výboru pana Marka Haluzu a panaIng. Martina Černého.,
1012,1,2014-11-03,"Zřízení finančního, kontrolního výboru",4,Zastupitelstvo obce Jinačovice schvaluje členy finančního výboru pana Marka Haluzu a panaIng. Martina Černého.,
1013,1,2014-11-03,"Zřízení výbor zastupitelstva: stavebního a pro kulturu, sport, školství a sociální záležitosti",5,Zastupitelstvo obce Jinačovice zřizuje výbor stavebné a územního plánování. Oba výbory budou pětičlenné.,
1014,1,2014-11-03,"Zřízení výbor zastupitelstva: stavebního a pro kulturu, sport, školství a sociální záležitosti",5,Zastupitelstvo obce Jinačovice volí předsedou výboru stavebního a územního plánování panaIng. Jana Urbana.,
1015,1,2014-11-03,"Zřízení výbor zastupitelstva: stavebního a pro kulturu, sport, školství a sociální záležitosti",5,"Zastupitelstvo obce Jinačovice volí předsedou kulturního, sportu, školství a sociální záležitosti paní Bc. Kateřinu Dobiášovou.",
1016,1,2014-11-03,"Zřízení výbor zastupitelstva: stavebního a pro kulturu, sport, školství a sociální záležitosti",5,"Zastupitelstvo obce Jinačovice schvaluje členy výboru stavebního a územního plánování Ing. Ondřeje Šimáčka, Ing. Tomáše Indry, pana Jana Kachlíka, pana Marka Haluzu.",
1017,1,2014-11-03,"Zřízení výbor zastupitelstva: stavebního a pro kulturu, sport, školství a sociální záležitosti",5,"Zastupitelstvo obce Jinačovice schvaluje členy výboru kulturního, sportu, školství a sociální záležitosti Ing. Magdu Haklovou, Ing. Jana Urbana, pana Jiřího Kučeru a paní Annu Kučerovou ml.",
1018,1,2014-11-03,Rozhodnutí o odměnách za výkon funkcí neuvolněných člen zastupitelstva,6,"Zastupitelstvo obce Jinačovice v souladu s § 72 a § 84 odst. 2 písm. n) zákona o obcích stanoví měsíční odměny za výkon jednotlivých funkcí neuvolněných člen zastupitelstva takto: místostarosta 4 500 Kč, předseda výboru 1 060 Kč, člen výboru 750 Kč, člen zastupitelstva bez dalších funkcí 0 Kč.",
