id,name,organization:party,organization:affiliation,organization:list,
2014-597449-1-902-1,Adámek Vlastimil,nk_party,bezpp_affiliation,902_list,
2014-597449-1-47-2,Boháčková Ludmila Ing.,kscm_party,bezpp_affiliation,47_list,
2014-597449-1-902-2,Čanaklis Christos Ing.,nk_party,bezpp_affiliation,902_list,
2014-597449-1-901-2,Grigoriadisová Renata Bc.,nk_party,bezpp_affiliation,901_list,
2014-597449-1-902-5,Hanuščáková Jana,nk_party,bezpp_affiliation,902_list,
2014-597449-1-902-7,Harcovová Helena,nk_party,bezpp_affiliation,902_list,
2014-597449-1-144-1,Havlová Olga,vv_party,vv_affiliation,144_list,
2014-597449-1-902-3,Jaroš Petr,nk_party,bezpp_affiliation,902_list,
2014-597449-1-144-3,Jurečka Petr,vv_party,bezpp_affiliation,144_list,
2014-597449-1-901-1,Korduliak Martin,nk_party,bezpp_affiliation,901_list,
2014-597449-1-792-4,Kučeriková Jana Ing.,usvit_party,bezpp_affiliation,792_list,
2014-597449-1-792-3,Muroň Jaroslav,usvit_party,bezpp_affiliation,792_list,
2014-597449-1-144-2,Skalíková Romana,vv_party,vv_affiliation,144_list,
2014-597449-1-792-2,Skalská Jaroslava Mgr.,usvit_party,bezpp_affiliation,792_list,
2014-597449-1-902-4,Vůjtek Pavel Ing.,nk_party,bezpp_affiliation,902_list,
