id,legislative_session:number,start_date,item:title,item:number,motion:title,
3001,3,2010-12-21,Určení ověřovatelů a zapisovatele,1,"Zastupitelstvo Kohoutov schvaluje, že oveřovateli zápisů ze zasedání zastupitelstva budou neuvolnění zastupitelé, kteří nejsou předsedy výboru zastupitelstva a to paní Ing. Tyrnerová Jarmila a pan Stoklasa Ondřej a zapisovatelem Ing. Grega Ladislav.",
3002,3,2010-12-21,Schválení programu zasedání,2,Zastupitelstvo obce  Kohoutov  schvaluje program ustavujícího zasedání.,
3003,3,2010-12-21,Kontrola  usnesení ze  zasedání  dne  23.11.2010  ,3,"Zastupitelstvo obce  Kohoutov  schvaluje navýšení  nákladů  v žádosti o dotaci „Zlepšení akustiky    v tělocvičně Kohoutov“  z Programu obnovy venkova  z Královéhradeckého kraje   z  částky    100 000,- Kč  na  celkovou částku 120 000,- Kč.",
3004,3,2010-12-21,Kontrola  usnesení ze  zasedání  dne  23.11.2010  ,3,"Zastupitelstvo obce  Kohoutov  schvaluje  příspěvek na  dopravu nákupů  občanům  obce Kohoutov , zajišťovanou společností  Diakonie  Broumov , středisko  Dvůr Králové nad Labem  ve výši  640,- Kč  / měsíc",
3005,3,2010-12-21,Připomínky občanů  -   pan Kysel Petr a paní  Andrea Kysel Horaisová ,4, Zastupitelstvo obce  schvaluje  odklad  prodeje  pozemkových parcel  číslo 214/1 a 214/2  v k.ú. Kohoutov  do doby  zaměření  trasy  vodního toku  Drahyně  přes tyto pozemkové parcely.  Zaměření provede pan Kysel na vlastní náklady.  Obec Kohoutov  souhlasí s případným dělením  pozemkových parcel  dle   zaměření.,
3006,3,2010-12-21,Připomínky občanů  -   pan Kysel Petr a paní  Andrea Kysel Horaisová ,4,"Zastupitelstvo obce  neschvaluje  cenu  za m2  pozemků  ppč. 214/1 a 214/2  v k.ú. Kohoutov  dle  skutečného  zaměření  prodávaných  pozemků  zajištěných panem  Kyselem  a to  za cenu  150,- Kč / m2  ",
3007,3,2010-12-21,Připomínky občanů  -   pan Kysel Petr a paní  Andrea Kysel Horaisová ,4,"Zastupitelstvo obce  schvaluje  cenu  za m2  pozemků  ppč. 214/1 a 214/2  v k.ú. Kohoutov  dle  skutečného  zaměření  prodávaných  pozemků  zajištěných panem  Kyselem  a to  za cenu  100,- Kč / m2 ",
3008,3,2010-12-21,Schválení  členů výborů  ,5,Zastupitelstvo obce Kohoutov  schvaluje  revokování  usnesení  č.2/2010 - usnesení č.  8  „Zastupitelstvo obce Kohoutov  schvaluje  zřízení  rozvojového výboru o počtu 5- členů a výboru  pro Lidová řemesla o počtu 3 členů“  a  zároveň schvaluje  zřízení rozvojového výboru o počtu 5 členů a výboru pro lidová řemesla o počtu 4 členů .,
3009,3,2010-12-21,Schválení  členů výborů  ,5,"Zastupitelstvo obce  schvaluje  složení : -  rozvojového  výboru  obce Kohoutov  -  Mgr .  Černá Hana – předsedkyně  a  členové výboru Ing. Tyrnerová Jarmila, Stoklasa Ondřej, Pindl Pavel a  Švorcová Kamila; -  finančního výboru obce Kohoutov -  Ing. Mitrovič Libor – předseda výboru a členové výboru Puhlovská Marie, čp.76 a  Albrechtová  Jitka; -  kontrolního výboru obce Kohoutov – Černý Josef- předseda výboru a členové výboru Pavlas Robert a Pivoňková Jana; - výboru pro Lidová řemesla Kohoutov -  Horáček Pavel – předseda výboru a členové výboru  Ing. Bucek Jan ,  Ing. Rezek Radek a Mgr. Černá  Hana",
3010,3,2010-12-21,Majetkové záležitosti  obce,6," Zastupitelstvo obce  schvaluje   směnu a prodej  pozemkových parcel  číslo 217/1 , 1233 a 1234  za  stavební parcelu   93  a  pozemkové parcely  číslo  216 a 217/2 ve vlastnictví  paní Malé Hany , bytem Jaroměř ,  vše v katastrálním území Kohoutov.  Pozemky budou směněny  m2 za m2  a  zbývající  část pozemkových parcel   ve vlastnictví obce  bude  prodána  paní  Malé  za  cenu 20,- Kč/m2 . Skutečné  m2  budou   odsouhlaseny  geometrickým plánem .  Náklady  za vyměření , vklad  do Katastru nemovitostí a  souhlas s dělením a scelováním pozemků   zajistí obec Kohoutov  na své náklady.  Zastupitelstvo obce  pověřuje  starostu obce  zajištěním geometrického plánu a souhlasu o scelování a dělení pozemkových parcel  na Městském úřadě  ve Dvoře Králové nad Labem. ",
