id,legislative_session:number,start_date,item:title,item:number,motion:title,
2001,2,2014-12-10,Zahájení a schválení programu,1,ZO schvaluje progra m zasedání ze dne 10. prosince 2014,
2002,2,2014-12-10,Rozpočtové opatření č. 5/2014,3,Usnesení: schváleno 4 hlasy,
2003,2,2014-12-10,Rozpočtové opatření č. 6/2014,4,Usnesení: schváleno 4 hlasy,
2004,2,2014-12-10,Rozpočtové provizorium na rok 201 5,5,Usnesení: schváleno 4 hlasy,
2005,2,2014-12-10,Rozpočtový výhled,6,Usnesení: schváleno 4 hlasy,
2006,2,2014-12-10,Smlouva o poskytnutí příspěvku na zajištění dopravní obslužnosti Olomouckého kraje,7,Usnesení: schváleno 4 hlasy,
2007,2,2014-12-10,Kupní smlouva,8,Usnesení: schváleno 4 hlasy,
3001,3,2015-03-09,Doplnění programu - Schválení zápisu ze dne 10. 12. 2014.,0,Program zasedání byl doplněn o bod č. 3 - Schválení zápisu ze dne 10. 1. 2014.,
3002,3,2015-03-09,Zahájení a schválení programu,1,ZO schvaluje doplněný program 2. zasedání ze dne 9. března 2015,
3003,3,2015-03-09,Schválení zápisu z 10.12. 2014,3,ZO bere na vědomí zápis z 10. 12. 2014,
3004,3,2015-03-09,Inventarizační zpráva za rok 2014,4,Usnesení: schváleno hlasy,
